scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,event_count,max_event_size,p99_event_size,event_timestep_rate,propagated_share_total,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
c-0p80__money-uniform__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-uniform__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,0.8,uniform,biased,preferential_debt,high_wealth,complete,375,5,3.0,0.0375751503006012,0.1316397228637413,375,5,1,5,30,ok,1.0,3.5845147036414575,0.005184560175469866,375.0,2.0,-166.34361175653345,10.0,10.0,0.5454545454545454,0.006658647378136429,0.012175527424503094,ok,0.13394919168591224,2.0102947174560706,4.182870117948255,1.132273057651956,0.25751965352177963,-1.6457741841539442,0.9833215236278464,True,False,24.0,-0.7407067961585401,-1.0575654512529324,0.29025360039103243,ok,120.0,1.0,3.584429496119236,0.005184890121842645,375.0,2.0,-166.34306836315233,10.0,10.0,0.9090909090909091,0.007723041701237587,0.013824266840647276,0.0005433933811218594
c-0p70__money-normal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,money-normal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,0.7,normal,biased,preferential_debt,high_income,complete,390,5,3.0,0.0393700787401574,0.1305309734513274,390,4,1,5,30,ok,1.0,3.5059394307508414,0.013689950277222751,390.0,2.0,-182.80838291699885,10.0,10.0,0.09090909090909091,0.0060425118927863505,0.010271100614254085,ok,0.13716814159292037,1.9865477947871395,-2.1035977638659427,-0.5948196151791495,0.5519640544617757,-0.619320462432105,0.6897290472893223,True,False,24.0,-3.169854005376232,-1.622953303119856,0.10459938762565608,ok,120.0,1.0,3.5058227078924045,0.01368152151858204,390.0,2.0,-182.80753992786822,10.0,10.0,0.09090909090909091,0.007164785479096758,0.011608204382605555,0.0008429891306320769
c-0p70__money-pareto__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,0.7,pareto,biased,preferential_debt,high_wealth,complete,311,5,3.0,0.0316700610997963,0.1288515406162464,311,5,1,5,30,ok,1.0,3.5938968398480777,0.011320561977133492,311.0,2.0,-137.05320360297762,10.0,10.0,0.2727272727272727,0.006512888838351239,0.011904147268256692,ok,0.12885154061624648,2.049094385290544,0.10537056611334616,0.029494096544497472,0.9764705271699552,-0.8020485231226001,0.7389207039162727,True,False,24.0,-1.6802080541302757,-1.1014999209546976,0.2706791388777229,ok,120.0,1.0,3.5938146703923177,0.01131503432479064,311.0,2.0,-137.05277394940197,10.0,10.0,0.18181818181818182,0.00652221350926181,0.010792552807321727,0.00042965357565094564
c-0p70__money-normal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-normal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,0.7,normal,biased,preferential_debt,high_both,complete,401,5,3.0,0.0404233870967741,0.1255411255411255,401,5,1,5,30,ok,1.0,3.566337219420944,0.012970271250227872,401.0,2.0,-180.15320019443544,10.0,10.0,0.09090909090909091,0.00789559826405114,0.010721655884176466,ok,0.13203463203463203,2.0246910269084277,0.13594142082168958,0.030229255743186845,0.9758842164794685,-0.743830820749051,0.7239631961138144,True,False,24.0,-2.407749758865369,-1.2121230045450728,0.22546529898042011,ok,120.0,1.0,3.566245505836443,0.012963963543448975,401.0,2.0,-180.15256282835725,10.0,10.0,0.09090909090909091,0.0064708535653238645,0.010741298776491355,0.0006373660781946455
c-0p80__money-normal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,money-normal__income-biased__growth-preferential_debt__spend-high_income__topo-complete,0.8,normal,biased,preferential_debt,high_income,complete,385,5,3.0,0.0385771543086172,0.1227272727272727,385,5,1,5,30,ok,1.0,3.6382602928720393,0.008241145946017436,385.0,2.0,-164.50222920433208,10.0,10.0,0.36363636363636365,0.006707693071111853,0.010232375959508332,ok,0.125,2.0794415416798357,1.2766417485000896,0.3439339812871346,0.7308959356866788,-1.0269844992459223,0.8029577467645905,True,False,24.0,-1.4405619390892295,-1.1393012026009515,0.2545775469777194,ok,120.0,1.0,3.6381916601415294,0.008236693044204046,385.0,2.0,-164.50180472766988,10.0,10.0,0.36363636363636365,0.007093052452423499,0.009192233783514503,0.00042447666220368774
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-complete,0.6,lognormal,biased,preferential_debt,high_wealth,complete,322,5,3.0,0.0572546230440967,0.1222826086956521,322,5,1,5,30,ok,1.0,3.631332605519695,0.010400347697391732,322.0,2.0,-138.2477096245057,10.0,10.0,0.09090909090909091,0.005231290486676976,0.007269646891481646,ok,0.125,2.0794415416798357,0.40370971786306864,0.11154779294672004,0.9111819687530779,-0.8533454393340129,0.7491896265371298,True,False,24.0,-1.5457764737290836,-1.0601457642658199,0.2890782905629308,ok,120.0,1.0,3.631261975314572,0.010395738677603239,322.0,2.0,-138.2473418824173,10.0,10.0,0.36363636363636365,0.008520839187923212,0.015279276663329908,0.0003677420884002913
c-0p80__money-normal__income-biased__growth-preferential_debt__spend-low__topo-sw_k12,money-normal__income-biased__growth-preferential_debt__spend-low__topo-sw_k12,0.8,normal,biased,preferential_debt,low,sw_k12,210,5,3.0,0.0318181818181818,0.1213389121338912,210,5,1,5,30,ok,1.0,3.7258346168366256,0.0031440237368995927,210.0,1.0,-84.45564159912435,10.0,10.0,1.0,0.009569689304894557,0.01556345598502165,ok,0.12133891213389122,2.1091677219450364,3.8749867922305463,1.1944107740421843,0.23231732438286867,-2.6564813194455725,1.1740998671364742,True,False,24.0,-0.14220592349948086,-0.6626430027375128,0.5075592219438607,ok,120.0,1.0,3.7257863919229988,0.003143622359577769,210.0,1.0,-84.45549321417005,10.0,10.0,1.0,0.008318251851367142,0.012220394965720116,0.00014838495430069543
c-0p60__money-pareto__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k24,money-pareto__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k24,0.6,pareto,biased,preferential_debt,high_income,sw_k24,368,5,3.0,0.0385542168674698,0.119047619047619,368,5,1,5,30,ok,1.0,3.623285522262459,0.015590139913924439,368.0,2.0,-158.8842129209442,10.0,10.0,0.09090909090909091,0.006738038640787858,0.010478713265153441,ok,0.1238095238095238,2.089010992695987,-1.6164287968311573,-0.4032930669375399,0.6867326414626331,-0.5501549609164095,0.6413014367163464,True,False,24.0,-3.0101753574796124,-1.2783713784885096,0.2011185109022915,ok,120.0,1.0,3.6232125134533075,0.015591637577284434,368.0,2.0,-158.883775093827,10.0,10.0,0.09090909090909091,0.005603115726175034,0.009713095898230748,0.00043782711719586587
c-0p80__money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k24,money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k24,0.8,equal,uniform,random,high_wealth,ba_k24,101,5,3.0,0.0101202404809619,0.1130434782608695,101,4,1,5,30,ok,1.0,3.760567324489493,0.0050991593420540715,101.0,1.0,-39.66101887615424,10.0,10.0,0.9090909090909091,0.017836630075038107,0.03751135825567262,ok,0.1217391304347826,2.1058747987479913,2.932201070038703,1.0921073048574856,0.27478593901490045,-5.614936332774817,1.6426569596732452,True,False,24.0,-0.0511718245167076,-0.42766189730513676,0.6688972944035343,ok,120.0,1.0,3.7605253527596263,0.00509845829322686,101.0,1.0,-39.66095904654681,10.0,10.0,0.8181818181818182,0.009283881254570747,0.016471269452242466,5.982960743011745e-05
c-0p40__money-pareto__income-biased__growth-random__spend-high_income__topo-sw_k24,money-pareto__income-biased__growth-random__spend-high_income__topo-sw_k24,0.4,pareto,biased,random,high_income,sw_k24,310,5,3.0,0.1211410707307542,0.1111111111111111,310,5,1,5,30,ok,1.0,3.7560638299354414,0.004290830541346158,310.0,1.0,-122.10863990074121,10.0,10.0,0.7272727272727273,0.007510446718306862,0.012521757458002205,ok,0.1168091168091168,2.147214156761558,4.433457582351569,1.2620771968002211,0.20692100972162786,-2.247681870500552,1.084282201112101,True,False,24.0,-0.2921507327731485,-0.8077898618249787,0.41921156233389234,ok,120.0,1.0,3.7560210889465995,0.004290111812603636,310.0,1.0,-122.10845201937498,10.0,10.0,0.9090909090909091,0.008609405195777686,0.014543261373496236,0.00018788136623015816
