c,scenarios,mean_large_event_rate,mean_event_fraction,mean_event_timestep_rate,mean_event_period_occupancy,mean_events_per_period,mean_propagated_share,mean_repeat_default_share,saturated_scenarios
0.1,1000,0.0,0.005509649450068483,0.01965147842021346,0.18095,0.30060000000000003,0.006928640809199271,0.141539526639322,0
0.2,1000,0.0,0.00696268587884947,0.025433773606601297,0.35295,0.94575,0.013944838704834314,0.21146128704567924,0
0.3,1000,0.0,0.00778440264711398,0.03735945763418543,0.53265,2.708,0.028262527169924685,0.2967926995675592,0
0.4,1000,0.0,0.008262751407479956,0.056838289521166666,0.68445,7.4719,0.04051676020476983,0.37950405956128413,0
0.5,1000,0.0,0.008621189912701235,0.08972671415051725,0.8081499999999999,22.20125,0.05010508321298604,0.4870058093594516,0
0.6,1000,0.0,0.008773886343101766,0.12441477359836392,0.8872000000000001,46.7164,0.05591596319410711,0.5848636872156747,11
0.7,1000,0.0,0.008860855363845776,0.152930766413279,0.94325,66.451,0.058210684321571525,0.6681891943724642,12
0.8,1000,0.0,0.008898873821779504,0.17018937847558063,0.96325,80.16810000000001,0.060241655364291526,0.716772509250005,19
