scenario_id,c_timestep,money_distribution_timestep,income_distribution_rule_timestep,growth_rule_timestep,spending_label_timestep,topology_label_timestep,event_large_event_rate_timestep,mean_event_fraction_timestep,propagated_share_total_timestep,event_occupancy_timestep,c_period,money_distribution_period,income_distribution_rule_period,growth_rule_period,spending_label_period,topology_label_period,event_large_event_rate_period,mean_event_fraction_period,propagated_share_total_period,event_occupancy_period
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-ba_k24,0.1,equal,uniform,random,high_income,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,ba_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k6,0.1,equal,uniform,random,high_income,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k12,0.1,equal,uniform,random,high_income,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_income__topo-sw_k24,0.1,equal,uniform,random,high_income,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_income,sw_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.1,equal,uniform,random,high_wealth,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k6,0.1,equal,uniform,random,high_wealth,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k12,0.1,equal,uniform,random,high_wealth,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,er_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-er_k24,0.1,equal,uniform,random,high_wealth,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,er_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k6,0.1,equal,uniform,random,high_wealth,ba_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,ba_k6,0.0,0.0083333333333333,0.0,0.0055555555555555
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k12,0.1,equal,uniform,random,high_wealth,ba_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,ba_k12,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-ba_k24,0.1,equal,uniform,random,high_wealth,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,ba_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k6,0.1,equal,uniform,random,high_wealth,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k12,0.1,equal,uniform,random,high_wealth,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_wealth__topo-sw_k24,0.1,equal,uniform,random,high_wealth,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_wealth,sw_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.1,equal,uniform,random,high_both,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-er_k6,0.1,equal,uniform,random,high_both,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-er_k12,0.1,equal,uniform,random,high_both,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,er_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-er_k24,0.1,equal,uniform,random,high_both,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,er_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-ba_k6,0.1,equal,uniform,random,high_both,ba_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,ba_k6,0.0,0.0083333333333333,0.0,0.0305555555555555
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-ba_k12,0.1,equal,uniform,random,high_both,ba_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,ba_k12,0.0,0.0091666666666666,0.0909090909090909,0.0277777777777777
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-ba_k24,0.1,equal,uniform,random,high_both,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,ba_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-sw_k6,0.1,equal,uniform,random,high_both,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-sw_k12,0.1,equal,uniform,random,high_both,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-random__spend-high_both__topo-sw_k24,0.1,equal,uniform,random,high_both,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,random,high_both,sw_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-complete,0.1,equal,uniform,preferential_debt,low,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-er_k6,0.1,equal,uniform,preferential_debt,low,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-er_k12,0.1,equal,uniform,preferential_debt,low,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,er_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-er_k24,0.1,equal,uniform,preferential_debt,low,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,er_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-ba_k6,0.1,equal,uniform,preferential_debt,low,ba_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,ba_k6,0.0,0.0083333333333333,0.0,0.0194444444444444
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-ba_k12,0.1,equal,uniform,preferential_debt,low,ba_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,ba_k12,0.0,0.0083333333333333,0.0,0.0111111111111111
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-ba_k24,0.1,equal,uniform,preferential_debt,low,ba_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,ba_k24,0.0,0.0083333333333333,0.0,0.0138888888888888
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-sw_k6,0.1,equal,uniform,preferential_debt,low,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-sw_k12,0.1,equal,uniform,preferential_debt,low,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-low__topo-sw_k24,0.1,equal,uniform,preferential_debt,low,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,low,sw_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-complete,0.1,equal,uniform,preferential_debt,baseline,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,complete,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-er_k6,0.1,equal,uniform,preferential_debt,baseline,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,er_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-er_k12,0.1,equal,uniform,preferential_debt,baseline,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,er_k12,0.0,0.0083333333333333,0.0,0.0055555555555555
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-er_k24,0.1,equal,uniform,preferential_debt,baseline,er_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,er_k24,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-ba_k6,0.1,equal,uniform,preferential_debt,baseline,ba_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,ba_k6,0.0,0.0090579710144927,0.04,0.0638888888888888
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-ba_k12,0.1,equal,uniform,preferential_debt,baseline,ba_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,ba_k12,0.0,0.009090909090909,0.0416666666666666,0.0611111111111111
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-ba_k24,0.1,equal,uniform,preferential_debt,baseline,ba_k24,0.0,0.0083333333333333,0.0,0.0047619047619047,0.1,equal,uniform,preferential_debt,baseline,ba_k24,0.0,0.0083333333333333,0.0,0.0388888888888888
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k6,0.1,equal,uniform,preferential_debt,baseline,sw_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,sw_k6,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k12,0.1,equal,uniform,preferential_debt,baseline,sw_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,sw_k12,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k24,0.1,equal,uniform,preferential_debt,baseline,sw_k24,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,baseline,sw_k24,0.0,0.0,0.0,0.0
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-complete,0.1,equal,uniform,preferential_debt,high_income,complete,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,complete,0.0,0.0083333333333333,0.0,0.0027777777777777
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-er_k6,0.1,equal,uniform,preferential_debt,high_income,er_k6,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,er_k6,0.0,0.0083333333333333,0.0,0.0138888888888888
c-0p10__money-equal__income-uniform__growth-preferential_debt__spend-high_income__topo-er_k12,0.1,equal,uniform,preferential_debt,high_income,er_k12,0.0,0.0,0.0,0.0,0.1,equal,uniform,preferential_debt,high_income,er_k12,0.0,0.0083333333333333,0.0,0.0111111111111111
