c,scenarios,mean_large_event_rate,mean_event_fraction,mean_event_timestep_rate,mean_event_period_occupancy,mean_events_per_period,mean_propagated_share,mean_repeat_default_share,saturated_scenarios,period_mean_large_event_rate,period_mean_event_fraction,period_mean_event_occupancy,period_mean_propagated_share
0.1,1000,0.0,0.005509649450068483,0.01965147842021346,0.18095,0.30060000000000003,0.006928640809199271,0.141539526639322,0,0.0001314032368509839,0.009436809691061088,0.19125277777777774,0.02761965103261464
0.2,1000,0.0,0.00696268587884947,0.025433773606601297,0.35295,0.94575,0.013944838704834314,0.21146128704567924,0,0.03706633757912722,0.019492540061228053,0.37198055555555554,0.05719557951126502
0.3,1000,0.0,0.00778440264711398,0.03735945763418543,0.53265,2.708,0.028262527169924685,0.2967926995675592,0,0.1176994994409426,0.03716331013341995,0.5324249999999999,0.08864385201992012
0.4,1000,0.0,0.008262751407479956,0.056838289521166666,0.68445,7.4719,0.04051676020476983,0.37950405956128413,0,0.21236153050700987,0.06407541424358058,0.6654638888888889,0.12161329480867512
0.5,1000,0.0,0.008621189912701235,0.08972671415051725,0.8081499999999999,22.20125,0.05010508321298604,0.4870058093594516,0,0.3250685758366184,0.1074693365677857,0.7798305555555555,0.15354363826326528
0.6,1000,0.0,0.008773886343101766,0.12441477359836392,0.8872000000000001,46.7164,0.05591596319410711,0.5848636872156747,11,0.5026141644581393,0.16521467262948508,0.8709972222222223,0.18743459223453163
0.7,1000,0.0,0.008860855363845776,0.152930766413279,0.94325,66.451,0.058210684321571525,0.6681891943724642,12,0.6152572356129522,0.21329046756009284,0.9331583333333333,0.21532630992403182
0.8,1000,0.0,0.008898873821779504,0.17018937847558063,0.96325,80.16810000000001,0.060241655364291526,0.716772509250005,19,0.757552579527183,0.26366787732333347,0.9749361111111111,0.24252421357663062
