scenario_id,scenario_base_id,scenario_index,protocol,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_settlements_completed,mean_checks_completed,mean_capped_periods,mean_max_uncapped_period_length_steps,mean_max_period_length_steps,mean_avalanche_count,event_count,events_per_run,events_per_period,event_timestep_rate,event_occupancy,event_period_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_repeat_default_share,mean_unique_default_nodes,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p50__money-pareto__income-biased__growth-random__spend-low__topo-complete,money-pareto__income-biased__growth-random__spend-low__topo-complete,4900,timestep_settle_check,0.5,120,pareto,biased,random,low,0.01,0.1,complete,complete,0,1,1.0,0.0,20.0,1344.0,1344.0,1344.0,0.0,300.0,300.0,34.0,34,34.0,1.7,0.025297619047619,0.025297619047619,0.8,0.0,1.2647058823529411,0.0105392156862745,1.0,1.6999999999999993,4.0,4,1.0,0.2647058823529412,0.2093023255813953,0.7906976744186046,535.0,823.0,0.4074239900041649,0.7091246702762739,0.3488372093023256,28.0,119.0,1.0,0.0
c-0p80__money-uniform__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,money-uniform__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,7280,timestep_settle_check,0.8,120,uniform,uniform,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,1,1.0,0.0,20.0,9980.0,9980.0,9980.0,19.0,617.0,500.0,167.0,167,167.0,8.35,0.0167334669338677,0.0167334669338677,1.0,0.0,1.2634730538922156,0.0105289421157684,1.0,2.0,3.0,7,1.0059880239520955,0.2574850299401197,0.2037914691943128,0.7962085308056872,38.0,986.0,0.3177172503242542,0.2398184176394293,0.4312796208530806,120.0,119.0,1.0,0.0
c-0p50__money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-er_k24,money-equal__income-uniform__growth-preferential_debt__spend-baseline__topo-er_k24,4063,timestep_settle_check,0.5,120,equal,uniform,preferential_debt,baseline,0.02,0.2,er_k24,er,24,1,1.0,0.0,20.0,2347.0,2347.0,2347.0,0.0,300.0,300.0,23.0,23,23.0,1.15,0.0097997443544951,0.0097997443544951,0.7,0.0,1.2608695652173914,0.0105072463768115,1.0,2.0,3.0,3,1.0,0.2608695652173913,0.2068965517241379,0.7931034482758621,474.0,1210.0,0.0,0.223861111111111,0.0,29.0,24.0,0.1974460770592618,0.1582053576374238
c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,money-lognormal__income-uniform__growth-preferential_debt__spend-high_wealth__topo-complete,4680,timestep_settle_check,0.5,120,lognormal,uniform,preferential_debt,high_wealth,0.04,0.2,complete,complete,0,1,1.0,0.0,20.0,3331.0,3331.0,3331.0,0.0,300.0,300.0,77.0,77,77.0,3.85,0.0231161813269288,0.0231161813269288,0.95,0.0,1.2597402597402598,0.0104978354978354,1.0,2.0,4.47999999999999,6,1.0,0.2597402597402597,0.2061855670103092,0.7938144329896907,127.0,693.0,0.5180217461863033,0.2252353132099966,0.0927835051546391,88.0,119.0,1.0,0.0
c-0p60__money-equal__income-biased__growth-preferential_debt__spend-low__topo-complete,money-equal__income-biased__growth-preferential_debt__spend-low__topo-complete,5150,timestep_settle_check,0.6,120,equal,biased,preferential_debt,low,0.01,0.1,complete,complete,0,1,1.0,0.0,20.0,2031.0,2031.0,2031.0,0.0,360.0,360.0,27.0,27,27.0,1.35,0.0132939438700147,0.0132939438700147,0.85,0.0,1.2592592592592593,0.0104938271604938,1.0,2.0,2.7399999999999984,3,1.0,0.2592592592592592,0.2058823529411764,0.7941176470588235,617.0,981.0,0.0,0.3100902777777778,0.0,34.0,119.0,1.0,0.0
c-0p40__money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-complete,3190,timestep_settle_check,0.4,120,equal,biased,preferential_debt,high_both,0.04,0.4,complete,complete,0,1,1.0,0.0,20.0,4131.0,4131.0,4131.0,0.0,240.0,240.0,93.0,93,93.0,4.65,0.0225127087872185,0.0225127087872185,0.9,0.0,1.2580645161290325,0.0104838709677419,1.0,2.0,4.159999999999997,6,1.0,0.2580645161290322,0.2051282051282051,0.7948717948717948,485.0,829.0,0.0,0.3738888888888889,0.1452991452991453,100.0,119.0,1.0,0.0
c-0p30__money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k24,money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k24,2199,timestep_settle_check,0.3,120,equal,biased,preferential_debt,high_both,0.04,0.4,sw_k24,sw,24,1,1.0,0.0,20.0,2204.0,2204.0,2204.0,0.0,180.0,180.0,47.0,47,47.0,2.35,0.0213248638838475,0.0213248638838475,0.9,0.0,1.25531914893617,0.0104609929078014,1.0,2.0,3.539999999999999,4,1.0,0.2553191489361702,0.2033898305084746,0.7966101694915254,385.0,642.0,0.0,0.3200763888888889,0.0,59.0,24.0,0.5440850835959531,0.0610953262442299
c-0p10__money-lognormal__income-biased__growth-random__spend-high_income__topo-er_k24,money-lognormal__income-biased__growth-random__spend-high_income__topo-er_k24,723,timestep_settle_check,0.1,120,lognormal,biased,random,high_income,0.02,0.4,er_k24,er,24,1,1.0,0.0,20.0,306.0,306.0,306.0,0.0,60.0,60.0,28.0,28,28.0,1.4,0.0915032679738562,0.0915032679738562,0.65,0.0,1.25,0.0104166666666666,1.0,2.0,4.190000000000001,5,1.0,0.25,0.2,0.8,21.0,221.0,0.5292555846749034,0.6241076999875204,0.4285714285714285,20.0,24.0,0.1998659718444221,0.1764490273684138
c-0p20__money-lognormal__income-biased__growth-random__spend-low__topo-complete,money-lognormal__income-biased__growth-random__spend-low__topo-complete,1700,timestep_settle_check,0.2,120,lognormal,biased,random,low,0.01,0.1,complete,complete,0,1,1.0,0.0,20.0,278.0,278.0,278.0,0.0,120.0,120.0,8.0,8,8.0,0.4,0.0287769784172661,0.0287769784172661,0.25,0.0,1.25,0.0104166666666666,1.0,2.0,2.0,2,1.0,0.25,0.2,0.8,172.0,238.0,0.5272556390977443,0.6043076441102757,0.2,8.0,119.0,1.0,0.0
c-0p30__money-pareto__income-biased__growth-preferential_debt__spend-baseline__topo-complete,money-pareto__income-biased__growth-preferential_debt__spend-baseline__topo-complete,2960,timestep_settle_check,0.3,120,pareto,biased,preferential_debt,baseline,0.02,0.2,complete,complete,0,1,1.0,0.0,20.0,919.0,919.0,919.0,0.0,180.0,180.0,12.0,12,12.0,0.6,0.0130576713819368,0.0130576713819368,0.55,0.0,1.25,0.0104166666666666,1.0,1.9000000000000004,2.890000000000001,3,1.0,0.25,0.2,0.8,303.0,661.0,0.246024784182679,0.3974380395433028,0.0,15.0,119.0,1.0,0.0
