axis,level,scenarios,mean_large_event_rate,mean_event_fraction,mean_event_timestep_rate,mean_event_period_occupancy,mean_propagated_share,mean_repeat_default_share
money_distribution,equal,1600,0.0,0.006604127711214284,0.044444721197406355,0.5095624999999999,0.04281531686898999,0.2871199686293958
money_distribution,lognormal,1600,0.0,0.008626991003593478,0.1259590585874939,0.774,0.0400928861676762,0.5174996200922087
money_distribution,normal,1600,0.0,0.008454846432697016,0.0771850229973926,0.7039687499999999,0.03553583118393774,0.48986297109794513
money_distribution,pareto,1600,0.0,0.0075193487193523844,0.0828117439640827,0.6154375000000001,0.042946672313453414,0.36647323558604955
money_distribution,uniform,1600,0.0,0.008591120398730443,0.09243984814106673,0.7425624999999999,0.03493813907949535,0.5178746877265508
income_distribution_rule,biased,4000,0.0,0.008205405562537831,0.15682430307576922,0.7801625,0.039468767833415457,0.5689400696389827
income_distribution_rule,uniform,4000,0.0,0.007713168143697212,0.01231185487920769,0.5580499999999999,0.03906277041200562,0.30259212361387733
growth_rule,preferential_debt,4000,0.0,0.008420454317231358,0.028311548992341038,0.7219,0.05031640721929549,0.33314726355644686
growth_rule,random,4000,0.0,0.007498119389003684,0.14082460896263588,0.6163125,0.028215131026125582,0.5383849296964132
spending_label,baseline,1600,0.0,0.007822453007444816,0.07191906685936346,0.6285625,0.037601634924906466,0.40225767572074483
spending_label,high_both,1600,0.0,0.008398390414663972,0.11502389963248869,0.78375,0.043331183601498034,0.5285773842103404
spending_label,high_income,1600,0.0,0.008209517122883293,0.10439293481051269,0.7397812500000001,0.04089190494728975,0.49923467365767027
spending_label,high_wealth,1600,0.0,0.008078716206664638,0.08550961717602032,0.6925312499999999,0.04321153545840829,0.440069246649736
spending_label,low,1600,0.0,0.007287357513930887,0.04599487640905711,0.50090625,0.03129258668145016,0.30869150289365843
topology_label,ba_k12,800,0.0,0.008367784819461375,0.0925675071225462,0.7403125,0.03937200427652489,0.5229289241926282
topology_label,ba_k24,800,0.0,0.008233493215559226,0.08737015678040948,0.70575,0.04668839125121355,0.4593503597354086
topology_label,ba_k6,800,0.0,0.008361557257727414,0.10017483886674228,0.7693125000000001,0.03584367979818682,0.5927598526518887
topology_label,complete,800,0.0,0.007922716935845646,0.07754320036379217,0.6254375,0.0561144231316476,0.3716675708478984
topology_label,er_k12,800,0.0,0.007891491992259154,0.08231369475449472,0.6610625,0.03868808021971872,0.4094120592186116
topology_label,er_k24,800,0.0,0.007847434168593183,0.08006570299048371,0.6421250000000001,0.04448576324492135,0.385963806630834
topology_label,er_k6,800,0.0,0.007918125868081455,0.08837099308323694,0.6775,0.03117695200217593,0.4584323778946665
topology_label,sw_k12,800,0.0,0.007686512195740823,0.07987236165066953,0.6204999999999999,0.03301911767182208,0.38532544920246076
topology_label,sw_k24,800,0.0,0.007720704407356623,0.07782766636507325,0.625875,0.03975255477992391,0.3766929544164909
topology_label,sw_k6,800,0.0,0.007643047670550308,0.07957466779743629,0.6231875,0.027516724850970533,0.39512761147341224
