scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,fit_status,alpha,bootstrap_p,bounded_alpha,bounded_bootstrap_p,pl_vs_exponential_R,pl_vs_lognormal_R,gate_event_count,gate_not_saturated,gate_has_transition,gate_propagation,gate_tail_plausible,gate_alternative_not_better,soc_screen_score,quick_soc_candidate
stage2__c-0p740__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.74,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.875,240.0,166290.75,162.375,3897,162.375,0.6765625,0.0138568129330254,2.8398768283294844,0.023665640236079,2.0,6.0,13.0,29,1.6458814472671286,1.1939953810623556,0.4204391433992952,0.5795608566007048,1368.5416666666667,18041.33333333333,0.2834266726167953,0.2973385086174518,119.0,1.0,0.0,ok,4.926274393953006,0.8095238095238095,4.924403021436383,0.3333333333333333,0.33189838217850043,-0.5314529517536819,True,True,False,True,True,True,5,True
stage2__c-0p750__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.75,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.875,240.0,183713.91666666663,169.125,4059,169.125,0.7046875,0.0123183050012318,3.0288248337028825,0.0252402069475239,2.0,6.0,12.0,24,1.7309682187730968,1.2978566149297857,0.4285017081503172,0.5714982918496828,5356.75,16787.583333333332,0.0,0.2959817708333334,119.0,1.0,0.0,ok,5.5372666392327705,0.47619047619047616,5.536929659043303,0.42857142857142855,0.916652467654548,-0.3838916702872881,True,True,False,True,True,True,5,True
stage2__c-0p575__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.575,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.875,240.0,188483.4583333333,178.33333333333334,4280,178.33333333333334,0.7430555555555556,0.0121495327102803,3.1266355140186914,0.0260552959501557,2.0,6.0,12.0,23,1.817289719626168,1.3093457943925233,0.4187714840830967,0.5812285159169033,3084.083333333333,16290.166666666666,0.3102111394291309,0.2866682196124272,119.0,1.0,0.0,ok,5.458284739749113,0.3333333333333333,5.457883789366166,0.38095238095238093,0.2788200445020952,-0.7376653538115763,True,True,False,True,True,True,5,True
stage2__c-0p570__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.57,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.875,240.0,179748.625,177.16666666666666,4252,177.16666666666666,0.7381944444444445,0.0119943555973659,2.987770460959549,0.0248980871746628,2.0,6.0,12.0,20,1.7638758231420508,1.2238946378174975,0.4096347607052896,0.5903652392947103,2380.1666666666665,16197.208333333334,0.3227146385708268,0.2977220218367071,119.0,1.0,0.0,ok,8.675212401382675,0.38095238095238093,8.675209006153603,0.47619047619047616,0.17803080788748127,-0.0011220709626940106,True,True,False,True,True,True,5,True
stage2__c-0p480__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.48,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,74813.58333333333,59.208333333333336,1421,59.208333333333336,0.2467013888888889,0.011963406052076,1.8233638282899367,0.0151946985690827,1.0,3.0,12.0,39,1.167487684729064,0.6558761435608726,0.3597066769587032,0.6402933230412968,6109.416666666667,26806.875,0.0,0.277333912037037,119.0,1.0,0.0,ok,2.7965134702890495,0.6666666666666666,2.7901340617181574,0.7142857142857143,59.99692001234169,-0.5889856740819277,True,True,False,True,True,True,5,True
stage2__c-0p570__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.57,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.8333333333333334,240.0,180379.2083333333,171.41666666666666,4114,171.41666666666666,0.7142361111111111,0.0114244044725328,2.99708313077297,0.0249756927564413,2.0,6.0,12.0,26,1.7467185221195916,1.2503646086533786,0.4171938361719383,0.5828061638280616,1644.0,16226.583333333334,0.2709176010624137,0.2882679805768913,119.0,1.0,0.0,ok,7.248673347365202,0.9047619047619048,7.248609057571595,0.8095238095238095,0.24475153004165806,-0.014156970482556375,True,True,False,True,True,True,5,True
stage2__c-0p560__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.56,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.875,240.0,163124.41666666666,160.79166666666666,3859,160.79166666666666,0.6699652777777778,0.0108836486136304,2.794506348795025,0.0232875529066251,2.0,6.0,12.0,23,1.6398030577869915,1.1547032910080333,0.4132047477744807,0.5867952522255193,2873.5416666666665,15887.75,0.3081138532604355,0.2926661316298591,119.0,1.0,0.0,ok,5.048202607013189,0.47619047619047616,5.047226933589332,0.47619047619047616,1.1847706751382077,-0.21360676586811778,True,True,False,True,True,True,5,True
stage2__c-0p565__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.565,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.8333333333333334,240.0,172740.54166666666,164.95833333333334,3959,164.95833333333334,0.6873263888888889,0.0108613286183379,2.9497347815104824,0.0245811231792539,2.0,6.0,12.0,29,1.7080070724930538,1.2417277090174286,0.4209624935776674,0.5790375064223325,5177.666666666667,16821.916666666668,0.0,0.2934988425925926,119.0,1.0,0.0,ok,6.35779915990607,0.3333333333333333,6.357647587768755,0.23809523809523808,1.027908264313796,-0.008365778625204712,True,True,False,True,True,True,5,True
stage2__c-0p710__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.71,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.875,240.0,129984.66666666669,134.95833333333334,3239,134.95833333333334,0.5623263888888889,0.0104970669959864,2.36091386230318,0.0196742821858597,2.0,5.0,12.0,25,1.4424205001543686,0.9184933621488114,0.389041454165032,0.610958545834968,1178.5,19425.666666666668,0.2760095604416194,0.2892089005975229,119.0,1.0,0.0,ok,3.690340462645956,0.7619047619047619,3.6867181890769687,0.6666666666666666,8.806034837021013,-1.1915419537001384,True,True,False,True,True,True,5,True
stage2__c-0p560__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.56,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.875,240.0,162317.25,162.625,3903,162.625,0.6776041666666667,0.0102485267742761,2.7747886241352804,0.0231232385344606,2.0,6.0,11.980000000000018,22,1.6295157571099157,1.1452728670253651,0.4127423822714681,0.5872576177285319,1628.375,16748.75,0.2746681864425607,0.2931943731730835,119.0,1.0,0.0,ok,5.63439124794295,0.38095238095238093,5.6339570785528394,0.47619047619047616,0.04626469697784841,-0.3130201815030267,True,True,False,True,True,True,5,True
