scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,fit_status,alpha,bootstrap_p,bounded_alpha,bounded_bootstrap_p,pl_vs_exponential_R,pl_vs_lognormal_R,gate_event_count,gate_not_saturated,gate_has_transition,gate_propagation,gate_tail_plausible,gate_alternative_not_better,soc_screen_score,quick_soc_candidate
stage2__c-0p675__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.675,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.625,240.0,100399.75,98.45833333333331,2363,98.45833333333331,0.4102430555555555,0.0076174354633939,1.9911129919593735,0.016592608266328,1.0,4.0,10.0,22,1.2699957680914091,0.7211172238679645,0.3621679064824654,0.6378320935175346,1257.1666666666667,22811.666666666668,0.2710317906083979,0.2871434118022442,119.0,1.0,0.0,ok,3.256409963966053,0.09523809523809523,3.2498228620645118,0.23809523809523808,3.8784775531901587,-2.642388048466753,True,True,False,True,True,True,5,True
stage2__c-0p710__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.71,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.625,240.0,130223.5,132.25,3174,132.25,0.5510416666666667,0.0075614366729678,2.388468809073724,0.0199039067422809,2.0,5.0,11.0,24,1.4521109010712034,0.9363579080025204,0.3920327133623532,0.6079672866376468,2612.125,20579.541666666668,0.3046584052252503,0.2975641801468923,119.0,1.0,0.0,ok,4.152824026858022,0.8095238095238095,4.150918438179673,0.7619047619047619,4.371567997870596,-0.6764210897017975,True,True,False,True,True,True,5,True
stage2__c-0p545__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.545,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.625,240.0,140386.20833333334,138.29166666666666,3319,138.29166666666666,0.5762152777777778,0.0075323892738776,2.5423320277191923,0.0211861002309932,2.0,5.0,11.0,23,1.507080445917445,1.0352515818017476,0.4072054989333965,0.5927945010666035,5704.5,17560.25,0.0,0.2846626157407407,119.0,1.0,0.0,ok,4.897252506607179,0.8571428571428571,4.89638027652415,0.7619047619047619,1.805818013609741,-0.19543381048263164,True,True,False,True,True,True,5,True
stage2__c-0p515__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.515,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.6666666666666666,240.0,103995.41666666669,101.95833333333331,2447,101.95833333333331,0.4248263888888889,0.0073559460563955,2.1025745811197383,0.0175214548426644,1.0,4.0,9.539999999999964,25,1.2913771965672252,0.8111973845525133,0.3858114674441205,0.6141885325558795,4853.333333333333,21130.875,0.0,0.2816044560185185,119.0,1.0,0.0,ok,3.7087871547414077,0.3333333333333333,3.705330546738967,0.3333333333333333,0.4270415894906985,-2.199796434913501,True,True,False,True,True,True,5,True
stage2__c-0p490__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.49,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5,240.0,82322.54166666667,74.04166666666667,1777,74.04166666666667,0.3085069444444444,0.0073157006190208,1.8137310073157007,0.0151144250609641,1.0,3.0,9.240000000000007,25,1.18458075407991,0.6291502532357907,0.3468817871548247,0.6531182128451753,1377.5833333333333,24808.916666666668,0.2722873639132723,0.2763086117412082,119.0,1.0,0.0,ok,3.076870410527038,0.8571428571428571,3.0709610343952454,0.8571428571428571,23.68884630415585,-0.35383692674063427,True,True,False,True,True,True,5,True
stage2__c-0p490__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.49,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,81910.04166666667,74.54166666666667,1789,74.54166666666667,0.3105902777777777,0.0072666294019005,1.854108440469536,0.0154509036705794,1.0,3.0,10.0,26,1.2062604807154835,0.6478479597540525,0.3494121193849864,0.6505878806150136,2289.625,25401.08333333333,0.3427685242416829,0.2848990946028292,119.0,1.0,0.0,ok,2.780022789922432,0.23809523809523808,2.7732983750186078,0.14285714285714285,40.68308646150013,-4.10140358307947,True,True,False,True,True,True,5,True
stage2__c-0p680__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.68,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5,240.0,103131.83333333331,103.79166666666669,2491,103.79166666666669,0.4324652777777777,0.0072260136491368,2.028101164191088,0.0169008430349256,1.0,4.0,10.0,21,1.2966680048173425,0.7314331593737455,0.3606492478226445,0.6393507521773555,1143.4166666666667,22866.416666666668,0.2735245510093605,0.2859538524566771,119.0,1.0,0.0,ok,3.8215420175895445,0.8571428571428571,3.817304608212602,0.8571428571428571,1.0198830557192082,-0.7245492035262062,True,True,False,True,True,True,5,True
stage2__c-0p525__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,115779.75,115.70833333333331,2777,115.70833333333331,0.4821180555555555,0.007202016564638,2.1908534389629097,0.0182571119913575,1.0,4.0,10.0,21,1.3510983075261074,0.8397551314368024,0.3833004602235371,0.6166995397764629,1447.375,20899.291666666668,0.2734413457112228,0.2909643499543578,119.0,1.0,0.0,ok,3.3251807371167565,0.14285714285714285,3.3196991825082125,0.047619047619047616,2.8661169557453094,-4.7447961849392275,True,True,False,True,True,True,5,True
stage2__c-0p705__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.705,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5833333333333334,240.0,125296.29166666669,127.79166666666669,3067,127.79166666666669,0.5324652777777777,0.0071731333550701,2.2712748614281058,0.0189272905119008,2.0,5.0,10.0,26,1.4059341375937398,0.8653407238343658,0.3809933964972725,0.6190066035027275,2525.4166666666665,22236.75,0.3124427928167037,0.2843917659997086,119.0,1.0,0.0,ok,4.128551728771502,0.3333333333333333,4.1265296850216195,0.5714285714285714,3.490497205103355,-0.7999543630029136,True,True,False,True,True,True,5,True
stage2__c-0p705__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.705,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.625,240.0,125238.20833333331,127.875,3069,127.875,0.5328125,0.007168458781362,2.2639296187683287,0.0188660801564027,2.0,4.0,10.0,25,1.3884001303356142,0.8755294884327143,0.3867299942429476,0.6132700057570524,1181.4583333333333,21062.166666666668,0.2746864518732814,0.2921598302909157,119.0,1.0,0.0,ok,4.274707612866575,0.42857142857142855,4.272420062695302,0.19047619047619047,0.4141606050609221,-0.9268737575233326,True,True,False,True,True,True,5,True
stage2__c-0p510__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.51,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,98189.33333333331,99.08333333333331,2378,99.08333333333331,0.4128472222222222,0.0071488645920941,2.037005887300252,0.0169750490608354,1.0,4.0,10.0,26,1.28174936921783,0.7552565180824222,0.3707679603633361,0.629232039636664,1934.8333333333333,21250.0,0.2737386184335007,0.2832065875461877,119.0,1.0,0.0,ok,4.21406361153958,0.6190476190476191,4.211433476178237,0.5714285714285714,1.279463168814325,-0.29178164624345193,True,True,False,True,True,True,5,True
stage2__c-0p685__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.685,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.6666666666666666,240.0,106160.41666666669,111.70833333333331,2681,111.70833333333331,0.4654513888888889,0.0070869078701976,2.068258112644536,0.0172354842720377,1.0,4.0,9.199999999999818,33,1.3155538977993286,0.752704214845207,0.3639314697926059,0.6360685302073941,1472.4166666666667,20277.20833333333,0.27849095920145,0.288998692098517,119.0,1.0,0.0,ok,3.381143063033029,0.5238095238095238,3.376426650125616,0.3333333333333333,12.702911483265124,-1.4808630313129418,True,True,False,True,True,True,5,True
stage2__c-0p535__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.535,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7083333333333334,240.0,126390.375,131.08333333333334,3146,131.08333333333334,0.5461805555555556,0.0069930069930069,2.3566433566433567,0.0196386946386946,2.0,5.0,11.0,31,1.4221233312142405,0.9345200254291164,0.3965470731049366,0.6034529268950634,2707.75,19251.33333333333,0.3082937758782664,0.28865578013173,119.0,1.0,0.0,ok,3.6592369228573447,0.42857142857142855,3.6553174360971274,0.47619047619047616,7.342961841311361,-1.526579336580041,True,True,False,True,True,True,5,True
stage2__c-0p475__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.475,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,71542.16666666667,59.625,1431,59.625,0.2484375,0.0069881201956673,1.7330538085255067,0.0144421150710458,1.0,3.0,9.0,33,1.1516422082459818,0.5814116002795248,0.3354838709677419,0.6645161290322581,3007.875,26428.70833333333,0.321259544333576,0.2736938628613983,119.0,1.0,0.0,ok,3.026843185164099,0.38095238095238093,3.0200147062568194,0.23809523809523808,26.7729182467223,0.006120402705409145,True,True,False,True,True,True,5,True
stage2__c-0p540__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.54,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.625,240.0,133213.70833333334,132.75,3186,132.75,0.553125,0.0069052102950408,2.4579409918392967,0.0204828415986607,2.0,5.0,11.0,20,1.4783427495291903,0.9795982423101068,0.3985442472225769,0.601455752777423,5573.0,18655.875,0.0,0.2884976851851852,119.0,1.0,0.0,ok,6.064757182080094,0.8571428571428571,6.064582577504474,1.0,0.22400953934159462,-0.11184187599697815,True,True,False,True,True,True,5,True
stage2__c-0p520__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.52,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.6666666666666666,240.0,110616.66666666669,111.125,2667,111.125,0.4630208333333333,0.0067491563554555,2.100112485939257,0.0175009373828271,1.0,4.0,10.0,28,1.328458942632171,0.7716535433070866,0.3674343867166577,0.6325656132833423,1237.625,21521.916666666668,0.2728131899710637,0.2811555147702077,119.0,1.0,0.0,ok,3.7359402427933524,1.0,3.7327148207977823,1.0,8.950127190666173,-0.3138655251901419,True,True,False,True,True,True,5,True
stage2__c-0p500__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,89599.0,86.70833333333333,2081,86.70833333333333,0.3612847222222222,0.0067275348390197,1.897645362806343,0.0158137113567194,1.0,4.0,9.199999999999818,29,1.2200864968765015,0.6775588659298414,0.3570524183337554,0.6429475816662447,2594.833333333333,24082.875,0.328591474268075,0.2791343788269026,119.0,1.0,0.0,ok,3.4638288425480104,0.23809523809523808,3.460056909791812,0.19047619047619047,19.065398762468995,-0.0258579949219504,True,True,False,True,True,True,5,True
stage2__c-0p485__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.485,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.375,240.0,79025.16666666667,68.29166666666667,1639,68.29166666666667,0.2845486111111111,0.0067114093959731,1.8023184868822453,0.0150193207240186,1.0,3.0,10.0,35,1.1702257474069555,0.6320927394752898,0.3507109004739336,0.6492890995260664,2282.875,26715.0,0.2744167278378964,0.2703416783248127,119.0,1.0,0.0,ok,3.0043134600164803,0.5238095238095238,2.9970274008921765,0.42857142857142855,17.423209381680792,-1.0673142711581014,True,True,False,True,True,True,5,True
stage2__c-0p505__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.505,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5,240.0,93973.79166666669,93.79166666666669,2251,93.79166666666669,0.3907986111111111,0.0066637050199911,1.96756996890271,0.0163964164075225,1.0,4.0,10.0,28,1.245224344735673,0.7223456241670368,0.36712576202303,0.63287423797697,3256.458333333333,21533.541666666668,0.319039703904989,0.2772468247969568,119.0,1.0,0.0,ok,3.527732563063724,0.6666666666666666,3.5222735574787754,0.8571428571428571,3.0606066360488278,-0.9339534678321018,True,True,False,True,True,True,5,True
stage2__c-0p700__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.7,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.6666666666666666,240.0,120910.0,125.83333333333331,3020,125.83333333333331,0.5243055555555556,0.0066225165562913,2.2552980132450333,0.0187941501103752,2.0,4.0,10.0,25,1.4026490066225166,0.8526490066225165,0.3780648950227573,0.6219351049772427,1417.9583333333333,19444.125,0.2779070311988762,0.2859929643234041,119.0,1.0,0.0,ok,5.571247244070585,0.8095238095238095,5.5704995188568605,0.5238095238095238,0.6232795234947341,-0.0011611678975800288,True,True,False,True,True,True,5,True
stage2__c-0p480__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.48,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.2916666666666667,240.0,74654.25,63.125,1515,63.125,0.2630208333333333,0.0066006600660066,1.741254125412541,0.0145104510451044,1.0,3.0,9.0,36,1.1524752475247524,0.5887788778877888,0.3381349507202426,0.6618650492797574,2947.75,26739.166666666668,0.3473439095443204,0.2837354475197209,119.0,1.0,0.0,ok,3.059796526322234,0.7619047619047619,3.053587915204397,0.8095238095238095,19.485214401793368,-0.2946735336398545,True,True,False,True,True,True,5,True
stage2__c-0p680__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.68,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5,240.0,103538.5,101.58333333333331,2438,101.58333333333331,0.4232638888888889,0.0065627563576702,2.068498769483183,0.0172374897456931,1.0,4.0,9.0,25,1.284659557013946,0.783839212469237,0.3789411064842355,0.6210588935157644,5329.208333333333,22166.25,0.0,0.2849528356481481,119.0,1.0,0.0,ok,3.983390176729006,0.7619047619047619,3.980515625425241,0.6190476190476191,2.468366587114196,-0.5244094264539019,True,True,False,True,True,True,5,True
stage2__c-0p540__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.54,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7916666666666666,240.0,130731.29166666669,140.41666666666666,3370,140.41666666666666,0.5850694444444444,0.0065281899109792,2.4044510385756674,0.0200370919881305,2.0,5.0,10.0,20,1.4804154302670622,0.9240356083086052,0.3843021103295075,0.6156978896704924,1112.4583333333333,18315.70833333333,0.2770614730019005,0.2833469144202415,119.0,1.0,0.0,ok,4.200920228227554,0.19047619047619047,4.199225812835853,0.19047619047619047,0.4472275138531083,-1.7471955310639808,True,True,False,True,True,True,5,True
stage2__c-0p710__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.71,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5416666666666666,240.0,130825.5,130.54166666666666,3133,130.54166666666666,0.5439236111111111,0.0063836578359399,2.3999361634216405,0.0199994680285136,2.0,5.0,11.0,30,1.4443025853814235,0.9556335780402172,0.3981912488362814,0.6018087511637186,4508.958333333333,18574.0,0.0,0.2905381944444444,119.0,1.0,0.0,ok,4.701003665283163,0.14285714285714285,4.70015810329863,0.2857142857142857,5.393468514484466,-0.01319095189335684,True,True,False,True,True,True,5,True
stage2__c-0p675__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.675,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.4583333333333333,240.0,99412.70833333331,93.45833333333331,2243,93.45833333333331,0.3894097222222222,0.0062416406598305,2.0445831475702185,0.0170381928964184,1.0,4.0,10.0,34,1.273294694605439,0.7712884529647793,0.3772350632359355,0.6227649367640645,5387.166666666667,23541.75,0.0,0.2742997685185185,119.0,1.0,0.0,ok,3.9635857405870856,0.7619047619047619,3.958935918578738,0.6190476190476191,3.054615503820162,-0.07266803039366376,True,True,False,True,True,True,5,True
stage2__c-0p680__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.68,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.4583333333333333,240.0,103422.95833333331,103.04166666666669,2473,103.04166666666669,0.4293402777777778,0.0060655074807925,2.0618681763040843,0.017182234802534,1.0,4.0,10.0,22,1.31257581884351,0.7492923574605742,0.3634045891351245,0.6365954108648755,2753.083333333333,22237.291666666668,0.3234032126197744,0.2875956601303073,119.0,1.0,0.0,ok,4.955540577497265,0.6666666666666666,4.953777100150306,0.5714285714285714,0.04613528555488333,-0.11080652751889275,True,True,False,True,True,True,5,True
stage2__c-0p525__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4583333333333333,240.0,114160.70833333331,117.91666666666669,2830,117.91666666666669,0.4913194444444444,0.0060070671378091,2.2056537102473497,0.0183804475853945,1.0,5.0,10.0,19,1.3618374558303887,0.8438162544169612,0.3825696892021787,0.6174303107978212,2896.5,20776.83333333333,0.325736907941552,0.2864002504906401,119.0,1.0,0.0,ok,3.9416773489783634,0.47619047619047616,3.939775774491992,0.5238095238095238,1.3761872048908095,-2.078251842807468,True,True,False,True,True,True,5,True
stage2__c-0p715__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.715,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.5,240.0,135750.70833333334,139.91666666666666,3358,139.91666666666666,0.5829861111111111,0.0056581298391899,2.4163192376414533,0.020135993647012,2.0,5.0,10.0,24,1.4776652769505658,0.9386539606908876,0.3884643825486812,0.6115356174513187,2785.458333333333,18993.416666666668,0.3292198066366549,0.2906791201526372,119.0,1.0,0.0,ok,4.5907079817117316,0.8095238095238095,4.5896116925235715,0.6666666666666666,3.7070261935997877,-0.15570109631509155,True,True,False,True,True,True,5,True
stage2__c-0p480__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.48,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.3333333333333333,240.0,76238.41666666667,62.54166666666666,1501,62.54166666666666,0.2605902777777777,0.0053297801465689,1.7614923384410393,0.0146791028203419,1.0,3.0,10.0,29,1.1685542971352432,0.5929380413057961,0.3366111951588502,0.6633888048411498,1824.3333333333333,27727.791666666668,0.2704428721068962,0.2783582372957083,119.0,1.0,0.0,ok,3.2068576731472263,0.7619047619047619,3.2028116922686323,0.6666666666666666,17.396614839435365,-0.25785159794615176,True,True,False,True,True,True,5,True
stage2__c-0p500__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,89520.20833333333,81.91666666666667,1966,81.91666666666667,0.3413194444444444,0.005086469989827,1.915055951169888,0.0159587995930823,1.0,4.0,9.0,30,1.21617497456765,0.698880976602238,0.3649402390438247,0.6350597609561753,5423.125,23048.33333333333,0.0,0.2765402199074074,119.0,1.0,0.0,ok,3.8610117701977544,0.42857142857142855,3.8551571956214157,0.38095238095238093,1.9785782389742246,-0.09358253429073127,True,True,False,True,True,True,5,True
stage2__c-0p510__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.51,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.375,240.0,98713.08333333331,98.5,2364,98.5,0.4104166666666666,0.0050761421319796,1.9851945854483928,0.0165432882120699,1.0,4.0,8.0,22,1.277072758037225,0.7081218274111675,0.3567014702748775,0.6432985297251225,3234.375,22582.70833333333,0.311507969703057,0.2866035482864645,119.0,1.0,0.0,ok,4.021705036029022,0.42857142857142855,4.020160020183592,0.5714285714285714,6.132704925379548,-0.15723286246355084,True,True,False,True,True,True,5,True
stage2__c-0p475__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.475,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.25,240.0,72110.875,57.54166666666666,1381,57.54166666666666,0.2397569444444444,0.005068790731354,1.6915278783490224,0.0140960656529084,1.0,3.0,8.200000000000045,22,1.1390296886314264,0.5524981897175959,0.3266267123287671,0.6733732876712328,1075.5833333333333,29023.95833333333,0.2774902281940336,0.2739822771574486,119.0,1.0,0.0,ok,3.199973174359022,0.23809523809523808,3.1958447221171,0.14285714285714285,7.744940193594391,-1.1135993749375763,True,True,False,True,True,True,5,True
stage2__c-0p470__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.47,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.25,240.0,68576.875,54.29166666666666,1303,54.29166666666666,0.2262152777777777,0.0046047582501918,1.6400613967766693,0.0136671783064722,1.0,3.0,8.0,21,1.1396776669224866,0.5003837298541827,0.3051006083294338,0.6948993916705662,3324.375,30458.33333333333,0.3358471009578845,0.2685610767485505,119.0,1.0,0.0,ok,2.9665442698927116,0.5238095238095238,2.962857581403654,0.5238095238095238,23.47678204605067,-1.6909402746455804,True,True,False,True,True,True,5,True
stage2__c-0p505__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.505,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.375,240.0,93543.83333333331,93.29166666666669,2239,93.29166666666669,0.3887152777777777,0.0044662795891022,1.9495310406431443,0.0162460920053594,1.0,4.0,8.61999999999989,34,1.2518981688253683,0.6976328718177758,0.3578465063001145,0.6421534936998855,1166.2916666666667,22528.58333333333,0.2763518936347025,0.2798567774697881,119.0,1.0,0.0,ok,3.5294985247082113,0.38095238095238093,3.526343679595656,0.3333333333333333,11.473977821432323,-0.6474843096740601,True,True,False,True,True,True,5,True
stage2__c-0p495__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.495,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.3333333333333333,240.0,85973.25,78.625,1887,78.625,0.3276041666666666,0.0042395336512983,1.8659247482776893,0.015549372902314,1.0,3.0,10.0,18,1.208267090620032,0.6576576576576577,0.3524566884407838,0.6475433115592162,1048.0833333333333,25092.58333333333,0.276137012889584,0.2757371034409593,119.0,1.0,0.0,ok,3.2188775307946282,0.5238095238095238,3.2149717800637205,0.38095238095238093,8.962294776576863,-2.332993057934376,True,True,False,True,True,True,5,True
stage2__c-0p675__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.675,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.375,240.0,99359.58333333331,98.66666666666669,2368,98.66666666666669,0.4111111111111111,0.0042229729729729,1.9911317567567568,0.0165927646396396,1.0,4.0,9.329999999999927,20,1.288851351351351,0.7022804054054054,0.3527041357370095,0.6472958642629905,2502.2916666666665,23110.58333333333,0.3169521083819347,0.283968915875922,119.0,1.0,0.0,ok,3.7353599140717333,0.23809523809523808,3.7321295427728933,0.38095238095238093,1.4330439362966088,-1.262131005124052,True,True,False,True,True,True,5,True
stage2__c-0p485__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.485,120,pareto,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.2916666666666667,240.0,78444.29166666667,70.29166666666667,1687,70.29166666666667,0.2928819444444444,0.0041493775933609,1.7877889745109663,0.014898241454258,1.0,3.0,9.0,20,1.1819798458802608,0.6058091286307054,0.3388594164456233,0.6611405835543767,2805.0,25182.166666666668,0.3190674907802106,0.278960364705078,119.0,1.0,0.0,ok,3.226746980233296,0.42857142857142855,3.2229304452455785,0.7619047619047619,14.548074513156248,-0.8315646505130752,True,True,False,True,True,True,5,True
stage2__c-0p470__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.47,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.125,240.0,70382.33333333333,50.833333333333336,1220,50.833333333333336,0.2118055555555555,0.0024590163934426,1.6655737704918032,0.0138797814207649,1.0,3.0,9.0,17,1.1229508196721312,0.5426229508196722,0.3257874015748031,0.6742125984251969,1480.0,30409.83333333333,0.2707662481320735,0.2778581124540344,119.0,1.0,0.0,ok,2.790694662953035,0.3333333333333333,2.7841954904390955,0.23809523809523808,15.196946217871005,-2.871525242539861,True,True,False,True,True,True,5,True
stage2__c-0p800__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,279604.0833333333,208.16666666666663,4996,208.16666666666663,0.8673611111111111,0.0350280224179343,4.130904723779024,0.0344242060314918,3.0,8.0,15.0,25,2.254603682946357,1.876301040832666,0.4542106793293924,0.5457893206706076,971.25,15134.083333333334,0.2730494858832356,0.2948815869842589,119.0,1.0,0.0,ok,7.685846044306668,0.9047619047619048,7.685801957900009,1.0,-0.5984433514156609,-0.532843179288311,True,False,True,True,True,False,4,False
