scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
stage2__c-0p570__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.57,equal,uniform,random,high_both,complete,4132,21,1,21,30,ok,11,6.190000585613113,0.03534317847419721,76,13,-145.27607796940003,20,20,0.5238095238095238,0.03520365023726278,0.0468635902203388,ok,0.6651982378854626,0.40767018066647825,-0.5574132219363612,-0.5644388937370592,0.5724554756144964,1.4907656218763785,0.48424564618940513,True,False,24,-0.48670727343633136,-0.6943023786844584,0.48749259957814006,ok,120,11,6.189786413975667,0.03533283565180012,76,13,-145.27583488311905,20,20,0.7142857142857143,0.03918435642785773,0.04805958397478221,0.00024308628098879126
stage2__c-0p755__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.755,equal,uniform,random,high_wealth,complete,4130,20,1,20,30,ok,8,4.88308794536881,0.033986233324960535,274,14,-529.6434176136127,20,20,0.14285714285714285,0.022324053159970575,0.035512196283925226,ok,0.6698795180722892,0.4006574065400612,-3.204358711033402,-1.214150565647211,0.22469023372937802,1.3546449407154237,0.5379448488503156,True,False,24,-3.0851249657333293,-1.621544262072142,0.10490096537861346,ok,120,8,4.882187446216352,0.033919736877792483,274,14,-529.6376423146203,20,20,0.14285714285714285,0.023408971226048257,0.034775420362738334,0.00577529899237561
stage2__c-0p750__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.75,pareto,uniform,random,high_wealth,complete,4122,22,1,22,30,ok,8,4.599072181878103,0.023315663240992324,231,14,-468.3226450359379,20,20,0.6190476190476191,0.026940992973881465,0.04188496747849933,ok,0.6960526315789474,0.3623300014220774,-1.5520073264262457,-0.6077901218885764,0.5433266816400699,1.0997304394888512,0.6284016736075856,True,False,24,-2.054366867417743,-1.4011254033233063,0.16117657631299787,ok,120,8,4.597374257544284,0.02319802119522435,231,14,-468.31193809090286,20,20,0.8571428571428571,0.03189450988152047,0.04228179244972648,0.01070694503505365
stage2__c-0p570__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.57,normal,uniform,random,high_both,complete,4114,21,1,26,30,ok,13,7.248673347365202,0.02535305824340872,35,13,-65.3508877736298,20,20,0.9047619047619048,0.037978107946782774,0.05626517520314702,ok,0.6568627450980392,0.420280193893305,0.24475153004165806,0.30114847059889543,0.7633012813250349,-2.12733901028997,0.8929610156619616,True,False,24,-0.014156970482556375,-0.1052280099199751,0.916194885398823,ok,120,13,7.248609057571595,0.025356388230988847,35,13,-65.35086265066468,20,20,0.8095238095238095,0.03998120508668894,0.053577440473338574,2.5122965112700513e-05
stage2__c-0p745__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.745,pareto,uniform,random,high_wealth,complete,4076,20,1,20,30,ok,7,4.403331212377869,0.03963524387086714,309,13,-605.465262425367,20,20,0.09523809523809523,0.023567036480758245,0.039407703211824976,ok,0.6761006289308176,0.3914133546525141,-4.661028758378295,-1.4959849867259465,0.13465756755891448,1.3013954455352443,0.5664210164280195,True,False,24,-4.410506680526696,-1.9439253200932967,0.05190445739927706,ok,120,7,4.401632237033512,0.039482687822268714,309,13,-605.4500686558872,20,20,0.047619047619047616,0.023421785554661494,0.03205641377502369,0.015193769479765251
stage2__c-0p565__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.565,normal,uniform,random,high_both,complete,4070,20,1,23,30,ok,13,7.478812834768661,0.04802536832959792,37,13,-67.5691101159037,20,20,0.42857142857142855,0.046725036961910174,0.058620941075372246,ok,0.6407766990291263,0.4450742462032102,-0.3132000698316131,-0.503540526440298,0.6145842947827798,1.959435700354213,0.36187736984143865,True,False,24,-0.29312662621297925,-0.4663093866331605,0.6409940608624034,ok,120,13,7.47877165997506,0.04802349370689407,37,13,-67.56909433704925,20,20,0.6190476190476191,0.04837241070929758,0.06169739500121346,1.5778854447034973e-05
stage2__c-0p750__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.75,normal,uniform,random,high_wealth,complete,4068,22,1,23,30,ok,12,6.4222201704936825,0.04277112177370124,62,13,-120.84085948979981,20,20,0.7142857142857143,0.04580355369057281,0.05601625411892887,ok,0.675392670157068,0.3924610236849578,-0.4547667683448715,-0.5310333928953817,0.5953956391704187,1.6280453062691793,0.4613913903169438,True,False,24,-0.4041116965000908,-0.6362196305735592,0.5246332799476899,ok,120,12,6.422011426841005,0.042761158060053206,62,13,-120.84067543439002,20,20,0.3333333333333333,0.039254549906878315,0.05141533396276876,0.00018405540978960744
stage2__c-0p750__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.75,equal,uniform,random,high_wealth,complete,4059,21,1,24,30,ok,9,5.5372666392327705,0.03142043724172894,180,13,-335.7706767001448,20,20,0.47619047619047616,0.031480748987838626,0.04958690368171523,ok,0.655831739961759,0.4218510168989831,0.916652467654548,0.4014568102745146,0.6880838302809482,-0.13255337176023452,0.7721150035466833,True,False,24,-0.3838916702872881,-0.5622054160591179,0.5739760717432127,ok,120,9,5.536929659043303,0.031396973777233717,180,13,-335.7695885726395,20,20,0.42857142857142855,0.02752909510837548,0.0384567992997487,0.0010881275052838646
stage2__c-0p745__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.745,normal,uniform,random,high_wealth,complete,4053,22,1,25,30,ok,12,6.109093713512444,0.03464384619149341,62,13,-125.1550925525238,20,20,0.5714285714285714,0.036934699663379665,0.048197963955662226,ok,0.696078431372549,0.3622929362429557,0.13161213952163964,0.12917244477329384,0.8972211994016952,0.4289747638054285,0.6841753161377583,True,False,24,-0.13539256499037577,-0.3676876019319606,0.7131061861718484,ok,120,12,6.108708095921334,0.0346270405258039,62,13,-125.15470881395436,20,20,0.8095238095238095,0.04141224860968762,0.05360809761664371,0.0003837385694396289
stage2__c-0p565__money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,money-pareto__income-uniform__growth-random__spend-high_both__topo-complete,0.565,pareto,uniform,random,high_both,complete,4005,20,1,23,30,ok,10,5.39007676545431,0.044569517896402344,113,13,-227.4568307431128,20,20,0.14285714285714285,0.03340506729270727,0.05281482714484876,ok,0.6920980926430518,0.36802758103603367,-0.8667598442882722,-0.5488983429934858,0.5830752153887178,1.5079291439698306,0.5132232831779656,True,False,24,-1.0194976323822589,-0.9102327736896162,0.36269976350852806,ok,120,10,5.38935463959894,0.044528366692974,113,13,-227.45519114482605,20,20,0.09523809523809523,0.03273299611829165,0.04344386091453558,0.0016395982867436487
