scenario_id,family,n_nodes,period_length_rule,drive_value,size_bin_left,size_bin_right,event_count,mean_size,mean_duration,median_duration,p95_duration
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,14.0,19.0,1070,15.658878504672897,2.276635514018692,2.0,3.0
fixed_k_transition__N-200__fixed-K-26,fixed_k_transition,200,fixed,26.0,19.0,26.0,252,20.202380952380953,2.8134920634920637,3.0,5.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,1.0,2.0,145,1.0,1.0,1.0,1.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,2.0,3.0,171,2.0,1.0584795321637428,1.0,2.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,3.0,4.0,197,3.0,1.1928934010152283,1.0,2.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,4.0,5.0,173,4.0,1.1965317919075145,1.0,2.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,5.0,7.0,405,5.481481481481482,1.3308641975308642,1.0,2.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,7.0,9.0,439,7.466970387243736,1.5444191343963554,1.0,2.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,9.0,12.0,791,10.037926675094816,1.7737041719342603,2.0,3.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,12.0,17.0,1389,13.93304535637149,2.0770338372930164,2.0,3.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,17.0,23.0,890,18.88314606741573,2.512359550561798,2.0,4.0
fixed_k_transition__N-200__fixed-K-28,fixed_k_transition,200,fixed,28.0,23.0,32.0,83,24.433734939759034,3.5060240963855422,3.0,5.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,1.0,2.0,463,1.0,1.0,1.0,1.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,2.0,3.0,565,2.0,1.0548672566371682,1.0,2.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,3.0,4.0,618,3.0,1.1440129449838188,1.0,2.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,4.0,5.0,648,4.0,1.248456790123457,1.0,2.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,5.0,7.0,1053,5.50332383665717,1.4396961063627731,1.0,2.3999999999999773
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,7.0,9.0,741,7.426450742240216,1.6666666666666667,2.0,3.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,9.0,12.0,411,9.630170316301703,2.1143552311435525,2.0,4.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,12.0,15.0,67,12.432835820895523,2.4477611940298507,2.0,4.0
income_c_transition__N-200__income-c-0.14,income_c_transition,200,income,0.14,15.0,20.0,7,16.285714285714285,3.4285714285714284,3.0,4.699999999999999
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,1.0,2.0,272,1.0,1.0,1.0,1.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,2.0,3.0,413,2.0,1.0532687651331718,1.0,2.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,3.0,4.0,455,3.0,1.1472527472527472,1.0,2.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,4.0,6.0,966,4.491718426501035,1.303312629399586,1.0,2.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,6.0,7.0,492,6.0,1.4329268292682926,1.0,2.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,7.0,10.0,1214,7.956342668863262,1.672158154859967,2.0,3.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,10.0,13.0,646,10.778637770897832,2.0108359133126936,2.0,3.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,13.0,17.0,195,13.733333333333333,2.4974358974358974,2.0,4.0
income_c_transition__N-200__income-c-0.16,income_c_transition,200,income,0.16,17.0,23.0,15,18.2,3.3333333333333335,3.0,5.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,1.0,2.0,182,1.0,1.0,1.0,1.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,2.0,3.0,205,2.0,1.048780487804878,1.0,1.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,3.0,5.0,585,3.499145299145299,1.2085470085470085,1.0,2.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,5.0,6.0,341,5.0,1.3372434017595307,1.0,2.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,6.0,9.0,1068,7.02808988764045,1.550561797752809,1.0,3.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,9.0,12.0,1082,9.94362292051756,1.8216266173752311,2.0,3.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,12.0,16.0,916,13.256550218340612,2.158296943231441,2.0,3.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,16.0,21.0,328,17.329268292682926,2.4786585365853657,2.0,4.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,21.0,29.0,31,22.29032258064516,2.903225806451613,3.0,4.5
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,1.0,2.0,127,1.0,1.0,1.0,1.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,2.0,3.0,184,2.0,1.0543478260869565,1.0,1.8499999999999943
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,3.0,5.0,462,3.5432900432900434,1.1861471861471862,1.0,2.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,5.0,6.0,272,5.0,1.349264705882353,1.0,2.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,6.0,8.0,522,6.490421455938697,1.475095785440613,1.0,3.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,8.0,11.0,949,9.002107481559536,1.7060063224446786,2.0,3.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,11.0,15.0,1202,12.436772046589018,1.9991680532445923,2.0,3.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,15.0,21.0,942,16.8067940552017,2.367303609341826,2.0,4.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,21.0,28.0,99,22.262626262626263,3.01010101010101,3.0,5.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,1.0,2.0,419,1.0,1.0,1.0,1.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,2.0,3.0,530,2.0,1.0716981132075472,1.0,2.0
