seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,scenario_id,family,run_index,drive_value,events_per_100_periods,avalanche_period_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_duration_generations,mean_weighted_branching_ratio
2026061410,True,240,4320,9,162,18,18,4320,162,1006,14,14,1155,219,0.07,False,3433,3433,1006,0.4789819399941744,0.8142251674919896,0,107,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,10,18.0,91.25,0.9125,0.9541284403669725,0.5251788493560444,1.447488584474886,0.09807020731678266
2026061411,True,240,4320,2,36,18,18,4320,36,1230,16,16,1056,216,0.08,False,3977,3977,1230,0.5096995222529546,0.7945297963288913,0,118,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,11,18.0,90.0,0.9,0.9395348837209302,0.44235859594462296,1.3935185185185186,0.0964616402116402
2026061412,True,240,4320,1,18,18,18,4320,18,767,17,17,1182,223,0.085,False,3660,3660,767,0.47569672131147556,0.8168469945355192,0,111,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,12,18.0,92.91666666666667,0.9291666666666667,0.9504504504504504,0.516346446027496,1.4035874439461884,0.09278563987084167
2026061413,True,240,4320,3,54,18,18,4320,54,1416,11,11,1016,228,0.055,False,4109,4109,1416,0.5029459722560234,0.793578729617912,0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,13,18.0,95.0,0.95,0.9647577092511013,0.3980613851091988,1.280701754385965,0.08064605959342801
2026061414,True,240,4320,5,90,18,18,4320,90,804,14,14,1272,228,0.07,False,4258,4258,804,0.5540065758572101,0.8512376702677313,0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,14,18.0,95.0,0.95,0.9647577092511013,0.5463365408471216,1.4956140350877194,0.11368211466895678
2026061415,True,240,4320,1,18,18,18,4320,18,1092,13,13,1074,221,0.065,False,4771,4771,1092,0.5457042548731923,0.8126860197023686,0,138,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,15,18.0,92.08333333333333,0.9208333333333333,0.9454545454545454,0.46898805974368674,1.407239819004525,0.11825396825396826
2026061416,True,240,4320,1,18,18,18,4320,18,944,16,16,1125,227,0.08,False,4321,4321,944,0.5469509372830363,0.8672055079842631,0,122,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,16,18.0,94.58333333333333,0.9458333333333333,0.9513274336283186,0.5322774326223652,1.4140969162995596,0.1091986574365429
2026061417,True,240,4320,4,72,18,18,4320,72,965,16,16,1105,223,0.08,False,3786,3786,965,0.5042366613840465,0.8202826201796092,0,112,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,17,18.0,92.91666666666667,0.9291666666666667,0.9504504504504504,0.537607423950636,1.4170403587443947,0.10425111759192475
2026061418,True,240,4320,7,126,18,18,4320,126,1016,14,14,1201,223,0.07,False,3926,3926,1016,0.48268976057055535,0.8052394294447276,0,121,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,18,18.0,92.91666666666667,0.9291666666666667,0.963963963963964,0.5275174444699062,1.4125560538116593,0.0984856573421596
2026061419,True,240,4320,1,18,18,18,4320,18,966,12,12,1171,225,0.06,False,3840,3840,966,0.49793750000000014,0.80096875,0,112,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,18,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-18,fixed_k_transition,19,18.0,93.75,0.9375,0.9464285714285714,0.4228050657665616,1.4044444444444444,0.10154192720859388
2026071400,True,240,4800,6,120,20,20,4800,120,1202,13,13,1164,228,0.065,False,3890,3890,1202,0.47043187660668395,0.8101388174807198,0,116,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,0,20.0,95.0,0.95,0.9779735682819384,0.4323568347295602,1.3771929824561404,0.0867726449963292
2026071401,True,240,4800,1,20,20,20,4800,20,993,14,14,1227,228,0.07,False,4111,4111,993,0.4942483580637316,0.821127462904403,0,127,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,1,20.0,95.0,0.95,0.9559471365638766,0.4445631279431986,1.381578947368421,0.08893648992333202
2026071402,True,240,4800,1,20,20,20,4800,20,862,16,16,1489,230,0.08,False,4665,4665,862,0.5850964630225082,0.8796237942122187,0,132,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,2,20.0,95.83333333333333,0.9583333333333334,0.9606986899563319,0.5756579812587017,1.5260869565217392,0.10899052638183071
2026071403,True,240,4800,2,40,20,20,4800,40,699,17,17,1654,230,0.085,False,3860,3860,699,0.5194222797927461,0.8539093264248705,0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,3,20.0,95.83333333333333,0.9583333333333334,0.9694323144104804,0.6075420094905493,1.5217391304347827,0.11209104301495605
2026071404,True,240,4800,1,20,20,20,4800,20,864,15,15,1258,225,0.075,False,3836,3836,864,0.48308394160583945,0.841055787278415,0,117,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,4,20.0,93.75,0.9375,0.9464285714285714,0.5427627370560791,1.4355555555555555,0.10961391694725027
2026071405,True,240,4800,1,20,20,20,4800,20,865,16,16,1610,230,0.08,False,4187,4187,865,0.5290458562216385,0.8526689754000478,0,127,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,5,20.0,95.83333333333333,0.9583333333333334,0.9650655021834061,0.6638091845370454,1.5782608695652174,0.11971374036591426
2026071406,True,240,4800,2,40,20,20,4800,40,898,14,14,1251,226,0.07,False,4227,4227,898,0.5119576531819259,0.829345871776674,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,6,20.0,94.16666666666667,0.9416666666666667,0.9644444444444444,0.6137520052828923,1.3495575221238938,0.0835582436246153
2026071407,True,240,4800,3,60,20,20,4800,60,962,17,17,1429,230,0.085,False,3383,3383,962,0.4841664203369791,0.8320440437481527,0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,7,20.0,95.83333333333333,0.9583333333333334,0.9650655021834061,0.5932409903077432,1.565217391304348,0.11097415265893525
2026071408,True,240,4800,5,100,20,20,4800,100,902,18,18,1383,227,0.09,False,4177,4177,902,0.5387275556619584,0.8586413694038786,0,128,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,8,20.0,94.58333333333333,0.9458333333333333,0.9734513274336283,0.5974839766401303,1.475770925110132,0.10323138682169519
2026071409,True,240,4800,4,80,20,20,4800,80,1304,14,14,1252,227,0.07,False,4280,4280,1304,0.503801401869159,0.8142266355140189,0,137,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,9,20.0,94.58333333333333,0.9458333333333333,0.9690265486725663,0.5672297453021616,1.3744493392070485,0.08451459211371105
2026071410,True,240,4800,1,20,20,20,4800,20,729,17,17,1595,232,0.085,False,3697,3697,729,0.521754124966189,0.8673776034622669,0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,10,20.0,96.66666666666667,0.9666666666666667,0.9653679653679653,0.6207264012194235,1.6551724137931034,0.11808820968303725
2026071411,True,240,4800,1,20,20,20,4800,20,968,15,15,1348,230,0.075,False,3700,3700,968,0.486418918918919,0.8406297297297298,0,113,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,11,20.0,95.83333333333333,0.9583333333333334,0.9606986899563319,0.5779277707778191,1.4304347826086956,0.09964419638332682
2026071412,True,240,4800,2,40,20,20,4800,40,763,17,17,1540,227,0.085,False,4158,4158,763,0.5178956228956231,0.8774458874458875,0,121,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,12,20.0,94.58333333333333,0.9458333333333333,0.9601769911504425,0.5897679905677061,1.5814977973568283,0.12394357967045191
2026071413,True,240,4800,2,40,20,20,4800,40,1482,17,17,1145,229,0.085,False,4007,4007,1482,0.46471799351135523,0.766157973546294,0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,13,20.0,95.41666666666667,0.9541666666666667,0.9605263157894737,0.37761916964218933,1.314410480349345,0.0747618102421596
2026071414,True,240,4800,2,40,20,20,4800,40,899,17,17,1574,227,0.085,False,4239,4239,899,0.5545329087048834,0.8613670677046474,0,131,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,14,20.0,94.58333333333333,0.9458333333333333,0.9734513274336283,0.6169318631046079,1.6343612334801763,0.13687773313323975
2026071415,True,240,4800,2,40,20,20,4800,40,958,15,15,1432,233,0.075,False,3743,3743,958,0.5031993053700241,0.8467926796687151,0,115,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,15,20.0,97.08333333333333,0.9708333333333333,0.978448275862069,0.5170937909907218,1.4163090128755365,0.09039087998315466
2026071416,True,240,4800,2,40,20,20,4800,40,947,17,17,1278,226,0.085,False,4173,4173,947,0.5084531512101607,0.8513359693266236,0,125,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,16,20.0,94.16666666666667,0.9416666666666667,0.9688888888888889,0.5343075370443695,1.4513274336283186,0.10387535276915807
2026071417,True,240,4800,3,60,20,20,4800,60,1127,16,16,1300,221,0.08,False,3753,3753,1127,0.5006648014921398,0.8426258992805757,0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,17,20.0,92.08333333333333,0.9208333333333333,0.9590909090909091,0.5468787995577897,1.48868778280543,0.10904284252700541
2026071418,True,240,4800,2,40,20,20,4800,40,601,19,19,1736,233,0.095,False,3509,3509,601,0.544504132231405,0.8813664861783985,0,105,200,20.0,lognormal,biased,random,0.02,0.2,0.18,5.0,1.0,0.1,240,0,0.0,True,True,fixed,20,continue_after_avalanche,period_end,fixed_k_transition__N-200__fixed-K-20,fixed_k_transition,18,20.0,97.08333333333333,0.9708333333333333,0.9741379310344828,0.6931484567077869,1.6051502145922747,0.11996155966113047
