n_nodes,events,mean_size,p95_size,max_size,p95_size_fraction,max_size_fraction,mean_duration_generations,p95_duration_generations,max_duration_generations,mean_weighted_branching,avalanche_period_occupancy,one_period_wait_fraction,pooled_size_lag1_correlation
100,4562,4.925471284524331,10.0,16,0.1,0.16,1.4861902674265672,3.0,6,0.1305345380422101,0.9504166666666667,0.9583883751651255,0.5416031089054971
200,4729,8.143159230281244,15.0,27,0.075,0.135,1.6464368788327342,3.0,6,0.11933801159072473,0.9852083333333334,0.9874708005946061,0.6349051012299344
500,4798,20.976865360566904,37.0,55,0.074,0.11,2.1248436848686953,4.0,8,0.12622672704134424,0.9995833333333334,0.9995814148179154,0.8324462014975366
