scenario_id,family,n_nodes,period_length_rule,drive_value,period_waiting_time,count,probability,ccdf
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,1,4662,0.9881305637982196,1.0
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,2,51,0.010809665112335736,0.011869436201780416
income_c_transition__N-200__income-c-0.18,income_c_transition,200,income,0.18,3,5,0.00105977108944468,0.00105977108944468
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,1,4706,0.993036505591897,1.0
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,2,28,0.005908419497784343,0.006963494408102976
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,3,3,0.0006330449461911796,0.0010550749103186326
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,4,1,0.00021101498206372652,0.00042202996412745304
income_c_transition__N-200__income-c-0.20,income_c_transition,200,income,0.2,5,1,0.00021101498206372652,0.00021101498206372652
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,1,4353,0.9583883751651255,1.0
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,2,156,0.034346103038309116,0.0416116248348745
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,3,26,0.005724350506384853,0.00726552179656539
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,4,4,0.0008806693086745927,0.0015411712901805372
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,5,1,0.00022016732716864817,0.0006605019815059445
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,6,1,0.00022016732716864817,0.00044033465433729633
size_scaling_income_c018__N-100__income-c-0.18,size_scaling_income_c018,100,income,0.18,7,1,0.00022016732716864817,0.00022016732716864817
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,1,4650,0.9874708005946061,1.0
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,2,51,0.010830324909747292,0.012529199405393926
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,3,6,0.0012741558717349756,0.0016988744956466342
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,4,1,0.00021235931195582927,0.00042471862391165854
size_scaling_income_c018__N-200__income-c-0.18,size_scaling_income_c018,200,income,0.18,5,1,0.00021235931195582927,0.00021235931195582927
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,1,4776,0.9995814148179154,1.0
size_scaling_income_c018__N-500__income-c-0.18,size_scaling_income_c018,500,income,0.18,2,2,0.0004185851820845542,0.0004185851820845542
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,1,4917,0.9939357186173439,1.0
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,2,26,0.005255710531635335,0.006064281382656155
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,3,2,0.0004042854255104103,0.0008085708510208206
long_run_attractor__N-200__fixed-K-20,long_run_attractor,200,fixed,20.0,4,2,0.0004042854255104103,0.0004042854255104103
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,1,4962,0.9973869346733668,1.0
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,2,10,0.0020100502512562816,0.0026130653266331657
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,3,2,0.0004020100502512563,0.0006030150753768845
long_run_attractor__N-200__fixed-K-30,long_run_attractor,200,fixed,30.0,4,1,0.00020100502512562814,0.00020100502512562814
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,1,4956,0.9963811821471653,1.0
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,2,16,0.003216726980297547,0.0036188178528347406
long_run_attractor__N-200__income-c-0.18,long_run_attractor,200,income,0.18,3,2,0.0004020908725371934,0.0004020908725371934
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,1,4985,0.998997995991984,1.0
long_run_attractor__N-200__income-c-0.20,long_run_attractor,200,income,0.2,2,5,0.001002004008016032,0.001002004008016032
