protocol_id,mechanism_id,scenario_id,time_quartile,macro_periods,active_avalanche_macro_periods,avalanche_active_macro_rate,mean_macro_event_size,macro_critical_rate
boundary_fixed_k20,reference_period_end,boundary_fixed_k20__reference_period_end,3,3000,3000,1.0,16.660333333333334,0.12833333333333333
boundary_fixed_k20,reference_period_end,boundary_fixed_k20__reference_period_end,4,3000,3000,1.0,17.522333333333332,0.21
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,1,3000,2842,0.9473333333333334,6.474313863476425,0.0003518648838845883
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,2,3000,3000,1.0,13.556,0.024333333333333332
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,3,3000,3000,1.0,16.660333333333334,0.12833333333333333
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,4,3000,3000,1.0,17.522333333333332,0.21
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,1,3000,2859,0.953,7.104582021685904,0.0
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,2,3000,3000,1.0,14.955666666666668,0.033
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,3,3000,3000,1.0,17.816,0.15
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,4,3000,3000,1.0,18.610333333333333,0.26266666666666666
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,1,3000,2853,0.951,4.557658604977217,0.0
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,2,3000,3000,1.0,8.581666666666667,0.0
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,3,3000,3000,1.0,9.664,0.0
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,4,3000,3000,1.0,9.95,0.0
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,1,3000,2863,0.9543333333333334,2.735242752357667,0.0
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,2,3000,3000,1.0,4.216666666666667,0.0
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,3,3000,3000,1.0,4.258333333333334,0.0
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,4,3000,3000,1.0,4.174666666666667,0.0
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,1,3000,2864,0.9546666666666667,1.9591480446927374,0.0
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,2,3000,3000,1.0,2.459,0.0
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,3,3000,3000,1.0,2.333,0.0
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,4,3000,3000,1.0,2.2226666666666666,0.0
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,1,3000,2878,0.9593333333333334,7.058026407227241,0.0010423905489923557
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,2,3000,3000,1.0,13.988,0.034
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,3,3000,3000,1.0,16.598333333333333,0.11866666666666667
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,4,3000,3000,1.0,17.490333333333332,0.20733333333333334
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,1,3000,2879,0.9596666666666667,7.233067037165682,0.0010420284821118443
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,2,3000,3000,1.0,13.914333333333333,0.025333333333333333
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,3,3000,3000,1.0,16.542666666666666,0.121
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,4,3000,3000,1.0,17.411666666666665,0.206
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,1,3000,2321,0.7736666666666666,2.6324859974149075,0.0
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,2,3000,2552,0.8506666666666667,3.4690438871473352,0.0035266457680250786
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,3,3000,2732,0.9106666666666666,3.952415812591508,0.00841874084919473
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,4,3000,2763,0.921,4.2761491132826634,0.006152732537097358
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,1,3000,1179,0.393,1.659033078880407,0.0
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,2,3000,303,0.101,1.2541254125412542,0.0
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,3,3000,42,0.014,1.0,0.0
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,4,3000,7,0.0023333333333333335,1.0,0.0
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,1,3000,1971,0.657,1.9898528665651953,0.0
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,2,3000,2031,0.677,2.1413096996553422,0.0
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,3,3000,2083,0.6943333333333334,2.211713874219875,0.0
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,4,3000,2143,0.7143333333333334,2.2445170321978534,0.0
