protocol_id,mechanism_id,scenario_id,runs,default_run_rate,run_critical_rate_10pct,mean_avalanche_count,mean_avalanche_active_macro_rate,mean_max_collapse,mean_total_collapse,mean_unique_default_nodes,mean_repeat_default_occurrences,mean_repeat_default_share,mean_total_credit_issued,mean_final_active_credit,mean_active_credit_after_settlement,mean_final_active_nodes,mean_creditor_loss,mean_actual_recovery,mean_external_reset_cash_flow,mean_final_gini,capped_macro_periods,events,event_critical_rate_10pct,mean_event_size,median_event_size,p90_event_size,max_event_size,mean_credit_before_event,mean_credit_after_event,repeat_nodes_in_events
high_risk_income_c020,reference_period_end,high_risk_income_c020__reference_period_end,12,1.0,1.0,997.8333333333334,0.9978333333333333,29.25,16823.25,195.83333333333334,16627.416666666668,0.9883023257450395,23900.75,72.66666666666667,368.43558333333334,200.0,20845.333333333332,0.0,0.0,0.9874790146426586,0,11974,0.3388174377818607,16.859779522298314,18.0,23.0,33,391.97878737264074,368.0989644229163,199529
high_risk_income_c020,check_only_b10,high_risk_income_c020__check_only_b10,12,1.0,1.0,997.8333333333334,0.9978333333333333,29.25,16823.25,195.83333333333334,16627.416666666668,0.9883023257450395,23900.75,72.66666666666667,368.43558333333334,200.0,20845.333333333332,0.0,0.0,0.9874790146426586,0,11974,0.3388174377818607,16.859779522298314,18.0,23.0,33,391.97878737264074,368.0989644229163,199529
high_risk_income_c020,flow_split_b10_check_q10,high_risk_income_c020__flow_split_b10_check_q10,12,1.0,1.0,999.25,0.99925,28.083333333333332,19249.416666666668,198.0,19051.416666666668,0.9896516143955977,25192.583333333332,36.0,318.2227666666667,200.0,22890.333333333332,0.0,0.0,0.9937616112248291,0,11991,0.6422316737553165,19.263864565090486,21.0,25.0,31,330.89775665082146,305.7222917187891,228617
high_risk_income_c020,flow_split_b10_check_q5,high_risk_income_c020__flow_split_b10_check_q5,12,1.0,0.16666666666666666,1983.8333333333333,0.9984166666666666,18.25,19913.75,198.0,19715.75,0.9900091636761318,25197.833333333332,35.5,303.375825,200.0,22987.166666666668,0.0,0.0,0.9930028562104142,0,23806,8.401243384020835e-05,10.038015626312694,10.0,14.0,20,308.2432159959674,295.5595228093758,236589
high_risk_income_c020,flow_split_b10_check_q2,high_risk_income_c020__flow_split_b10_check_q2,12,1.0,0.0,4834.666666666667,0.9985833333333334,9.25,20321.166666666668,198.25,20122.916666666668,0.9901836616315706,25174.833333333332,32.083333333333336,301.78070833333334,200.0,23019.583333333332,0.0,0.0,0.9929230526983993,0,58016,0.0,4.203219801434087,4.0,6.0,11,291.73248758963047,286.5319739382239,241475
high_risk_income_c020,flow_split_b10_check_q1,high_risk_income_c020__flow_split_b10_check_q1,12,1.0,0.0,9216.833333333334,0.9986666666666667,7.916666666666667,20372.583333333332,198.25,20174.333333333332,0.9902055600160469,25195.583333333332,25.333333333333332,314.36056666666667,200.0,23012.916666666668,0.0,0.0,0.9929381780515608,0,110602,0.0,2.210366901141028,2.0,3.0,10,282.21364893944053,279.48274895571507,242092
high_risk_income_c020,recovery_50pct,high_risk_income_c020__recovery_50pct,12,1.0,1.0,998.5,0.9984999999999999,29.25,17067.75,196.25,16871.5,0.9884426248547982,23859.166666666668,57.25,375.9529166666667,200.0,20340.042046524544,602.9579534754556,0.0,0.9887100402397864,0,11982,0.3556167584710399,17.09339008512769,18.0,23.0,33,399.69045234518444,375.8527791687531,202458
high_risk_income_c020,recovery_90pct,high_risk_income_c020__recovery_90pct,12,1.0,1.0,998.5833333333334,0.9985833333333334,28.583333333333332,17002.5,195.83333333333334,16806.666666666668,0.9884349220284182,23893.333333333332,75.0,384.84833333333336,200.0,20311.547216793148,603.4527832068526,0.0,0.9877409998094472,0,11983,0.3390636735375115,17.026621046482518,18.0,22.0,32,408.5844112492698,384.73228740716013,201680
high_risk_income_c020,keep_defaulted_assets,high_risk_income_c020__keep_defaulted_assets,12,1.0,0.9166666666666666,912.8333333333334,0.9128333333333334,30.583333333333332,3660.3333333333335,193.33333333333334,3467.0,0.9455157789776006,23051.916666666668,1294.8333333333333,1445.3233333333335,200.0,21757.083333333332,0.0,0.0,0.8756225930973244,0,10954,0.005386160306737265,4.009859412086909,3.0,8.0,53,1457.0429067007485,1433.2082344349096,41604
high_risk_income_c020,permanent_exit,high_risk_income_c020__permanent_exit,12,1.0,0.0,117.91666666666667,0.11791666666666667,6.416666666666667,199.0,199.0,0.0,0.0,15639.166666666666,0.0,1050.7546666666667,1.0,8183.333333333333,0.0,0.0,0.9662005705415734,0,1415,0.0,1.6876325088339224,1.0,3.0,8,1193.9851590106007,1061.356183745583,0
high_risk_income_c020,reset_to_initial_cash,high_risk_income_c020__reset_to_initial_cash,12,1.0,1.0,964.5,0.9645,67.66666666666667,18134.5,181.66666666666666,17952.833333333332,0.9899389433453593,197523.41666666666,2579.75,1789.9453333333333,200.0,117117.08333333333,0.0,136438.41666666666,0.9511034062945717,2002,11574,0.3913945049248315,18.80196993260757,13.0,45.0,73,2009.360117504752,1807.2412303438741,215434
boundary_fixed_k20,reference_period_end,boundary_fixed_k20__reference_period_end,12,1.0,1.0,986.8333333333334,0.9868333333333333,25.666666666666668,13468.0,194.91666666666666,13273.083333333334,0.985520057114783,20000.0,86.5,431.29025,200.0,17131.166666666668,0.0,0.0,0.9878056411214162,0,11842,0.09196081742948826,13.647694646174633,15.0,19.0,28,453.15943252828913,432.980239824354,159277
boundary_fixed_k20,check_only_b10,boundary_fixed_k20__check_only_b10,12,1.0,1.0,986.8333333333334,0.9868333333333333,25.666666666666668,13468.0,194.91666666666666,13273.083333333334,0.985520057114783,20000.0,86.5,431.29025,200.0,17131.166666666668,0.0,0.0,0.9878056411214162,0,11842,0.09196081742948826,13.647694646174633,15.0,19.0,28,453.15943252828913,432.980239824354,159277
boundary_fixed_k20,flow_split_b10_check_q10,boundary_fixed_k20__flow_split_b10_check_q10,12,1.0,1.0,988.25,0.98825,23.083333333333332,14538.166666666666,197.08333333333334,14341.083333333334,0.9864400728110767,20000.0,48.0,379.25829999999996,200.0,17768.916666666668,0.0,0.0,0.9912665515293959,0,11859,0.11274137785648031,14.711021165359643,17.0,20.0,24,391.3360317058774,371.1468083312252,172093
boundary_fixed_k20,flow_split_b10_check_q5,boundary_fixed_k20__flow_split_b10_check_q5,12,1.0,0.0,1945.3333333333333,0.98775,14.083333333333334,14870.416666666666,197.41666666666666,14673.0,0.9867144539412402,20000.0,35.583333333333336,393.2986,200.0,17780.5,0.0,0.0,0.9918481989171695,0,23344,0.0,7.644148389307745,8.0,10.0,18,397.97314084989716,387.71041809458535,176076
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,12,1.0,0.0,4635.583333333333,0.9885833333333333,8.333333333333334,15241.25,197.5,15043.75,0.9870390367841256,20000.0,41.416666666666664,357.8729416666667,200.0,17864.166666666668,0.0,0.0,0.9915423519303515,0,55627,0.0,3.287881784025743,4.0,4.0,11,339.1585381199777,334.85302101497473,180525
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,12,1.0,0.0,8559.833333333334,0.9886666666666667,6.833333333333333,15198.583333333334,197.5,15001.083333333334,0.9869986238227684,20000.0,39.75,373.3584333333333,200.0,17818.583333333332,0.0,0.0,0.9913557079494844,0,102718,0.0,1.77557000720419,2.0,2.0,11,322.96204170641954,320.6301913978076,180013
