protocol_id,mechanism_id,scenario_id,threshold_fraction,threshold_nodes,runs,run_critical_rate,events,critical_events,event_critical_rate
boundary_fixed_k20,flow_split_b10_check_q2,boundary_fixed_k20__flow_split_b10_check_q2,0.2,40,12,0.0,55627,0,0.0
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,0.05,10,12,0.08333333333333333,102718,1,9.735392044237622e-06
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,0.1,20,12,0.0,102718,0,0.0
boundary_fixed_k20,flow_split_b10_check_q1,boundary_fixed_k20__flow_split_b10_check_q1,0.2,40,12,0.0,102718,0,0.0
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,0.05,10,12,1.0,11878,9527,0.8020710557332884
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,0.1,20,12,1.0,11878,1083,0.09117696581916147
boundary_fixed_k20,recovery_50pct,boundary_fixed_k20__recovery_50pct,0.2,40,12,0.0,11878,0,0.0
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,0.05,10,12,1.0,11879,9565,0.8052024581193703
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,0.1,20,12,1.0,11879,1060,0.08923310042932907
boundary_fixed_k20,recovery_90pct,boundary_fixed_k20__recovery_90pct,0.2,40,12,0.0,11879,0,0.0
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,0.05,10,12,1.0,10368,483,0.04658564814814815
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,0.1,20,12,1.0,10368,49,0.00472608024691358
boundary_fixed_k20,keep_defaulted_assets,boundary_fixed_k20__keep_defaulted_assets,0.2,40,12,0.16666666666666666,10368,2,0.00019290123456790122
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,0.05,10,12,0.25,1531,3,0.001959503592423253
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,0.1,20,12,0.0,1531,0,0.0
boundary_fixed_k20,permanent_exit,boundary_fixed_k20__permanent_exit,0.2,40,12,0.0,1531,0,0.0
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,0.05,10,12,0.8333333333333334,8228,15,0.0018230432668935343
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,0.1,20,12,0.0,8228,0,0.0
boundary_fixed_k20,reset_to_initial_cash,boundary_fixed_k20__reset_to_initial_cash,0.2,40,12,0.0,8228,0,0.0
