seed,ended_by_default,macro_periods_completed,settlements_completed,checks_completed,uncapped_total_drive_steps,total_drive_steps,capped_macro_periods,time_steps_completed,total_credit_issued,failed_credit_events,avalanche_count,active_avalanche_macro_periods,avalanche_active_macro_rate,max_collapse_size,total_collapse_size,collapse_fraction,critical_event,unique_default_nodes,total_default_occurrences,repeat_default_occurrences,repeat_default_share,initial_total_money,final_cash_total,external_reset_cash_flow,final_active_credit,mean_active_credit_after_settlement,final_active_nodes,initial_money_gini,final_net_worth_gini,total_target_recovery,total_actual_recovery,total_creditor_loss,realized_recovery_share,total_income_last_macro,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_macro_periods,default_threshold,drive_rule,fixed_drive_steps,max_drive_steps_per_macro,settlement_mode,settlement_batches,default_check_every_settlements,recovery_rate,wipe_defaulted_assets,default_node_mode,validate_accounting,scenario_id,protocol_id,mechanism_id,run_index
2026186002,True,1000,1000,1000,20000,20000,0,20000,20000,0,985,985,0.985,25,13442,0.125,True,194,13442,13248,0.9855676238654962,4166.0,4166.0,0.0,102.0,445.902,200,0.5348007681228997,0.9869827172347576,0.0,0.0,17100.0,0.0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,2
2026186003,True,1000,1000,1000,20000,20000,0,20000,20000,0,987,987,0.987,25,12970,0.125,True,194,12970,12776,0.9850424055512722,4222.0,4222.0,0.0,115.0,483.811,200,0.5427854097584084,0.9894528659403128,0.0,0.0,16905.0,0.0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,3
2026186004,True,1000,1000,1000,20000,20000,0,20000,20000,0,980,980,0.98,25,13895,0.125,True,196,13895,13699,0.9858942065491184,3902.0,3902.0,0.0,57.0,379.013,200,0.5331573552024604,0.9897514095335727,0.0,0.0,17344.0,0.0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,4
2026186005,True,1000,1000,1000,20000,20000,0,20000,20000,0,982,982,0.982,25,13650,0.125,True,194,13650,13456,0.9857875457875458,4483.0,4483.0,0.0,112.0,392.861,200,0.5631820209681018,0.9867019852777159,0.0,0.0,17178.0,0.0,128,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,5
2026186006,True,1000,1000,1000,20000,20000,0,20000,20000,0,992,992,0.992,28,13567,0.14,True,196,13567,13371,0.9855531805115354,3150.0,3150.0,0.0,50.0,394.074,200,0.4777809523809524,0.9867650793650795,0.0,0.0,17204.0,0.0,91,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,6
2026186007,True,1000,1000,1000,20000,20000,0,20000,20000,0,991,991,0.991,27,13499,0.135,True,197,13499,13302,0.9854063263945477,4508.0,4508.0,0.0,33.0,439.871,200,0.5628416149068325,0.986510647737356,0.0,0.0,17178.0,0.0,123,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,7
2026186008,True,1000,1000,1000,20000,20000,0,20000,20000,0,984,984,0.984,25,13208,0.125,True,195,13208,13013,0.985236220472441,3941.0,3941.0,0.0,77.0,470.141,200,0.5037135244861712,0.9861240801826949,0.0,0.0,17009.0,0.0,112,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,8
2026186009,True,1000,1000,1000,20000,20000,0,20000,20000,0,988,988,0.988,27,13466,0.135,True,194,13466,13272,0.9855933462052577,3765.0,3765.0,0.0,101.0,441.9,200,0.5078791500664013,0.9890451527224438,0.0,0.0,17159.0,0.0,113,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,9
2026186010,True,1000,1000,1000,20000,20000,0,20000,20000,0,993,993,0.993,25,13991,0.125,True,197,13991,13794,0.98591951969123,3620.0,3620.0,0.0,33.0,359.734,200,0.5213287292817681,0.9917071823204422,0.0,0.0,17427.0,0.0,103,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,10
2026186011,True,1000,1000,1000,20000,20000,0,20000,20000,0,985,985,0.985,24,13033,0.12,True,196,13033,12837,0.9849612522059388,3714.0,3714.0,0.0,57.0,514.263,200,0.4782014001077006,0.990961227786753,0.0,0.0,16903.0,0.0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,period_end,1,1,0.0,True,continue,False,boundary_fixed_k20__reference_period_end,boundary_fixed_k20,reference_period_end,11
2026186000,True,1000,1000,11000,20000,20000,0,20000,20000,0,995,995,0.995,27,13849,0.135,True,195,13849,13654,0.985919560979132,3533.0,3533.0,0.0,81.0,378.8,200,0.5094041890744412,0.9887786583639968,0.0,0.0,17287.0,0.0,103,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,0
2026186001,True,1000,1000,11000,20000,20000,0,20000,20000,0,980,980,0.98,25,13046,0.125,True,191,13046,12855,0.9853594971638816,3936.0,3936.0,0.0,220.0,475.113,200,0.4802616869918701,0.98088668699187,0.0,0.0,16880.0,0.0,113,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,1
2026186002,True,1000,1000,11000,20000,20000,0,20000,20000,0,985,985,0.985,25,13442,0.125,True,194,13442,13248,0.9855676238654962,4166.0,4166.0,0.0,102.0,445.902,200,0.5348007681228997,0.9869827172347576,0.0,0.0,17100.0,0.0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,2
2026186003,True,1000,1000,11000,20000,20000,0,20000,20000,0,987,987,0.987,25,12970,0.125,True,194,12970,12776,0.9850424055512722,4222.0,4222.0,0.0,115.0,483.811,200,0.5427854097584084,0.9894528659403128,0.0,0.0,16905.0,0.0,119,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,3
2026186004,True,1000,1000,11000,20000,20000,0,20000,20000,0,980,980,0.98,25,13895,0.125,True,196,13895,13699,0.9858942065491184,3902.0,3902.0,0.0,57.0,379.013,200,0.5331573552024604,0.9897514095335727,0.0,0.0,17344.0,0.0,109,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,4
2026186005,True,1000,1000,11000,20000,20000,0,20000,20000,0,982,982,0.982,25,13650,0.125,True,194,13650,13456,0.9857875457875458,4483.0,4483.0,0.0,112.0,392.861,200,0.5631820209681018,0.9867019852777159,0.0,0.0,17178.0,0.0,128,200,20.0,lognormal,biased,random,0.02,0.2,0.2,5.0,1.0,0.1,1000,0.0,fixed,20,500,check_only,10,1,0.0,True,continue,False,boundary_fixed_k20__check_only_b10,boundary_fixed_k20,check_only_b10,5
