family,scenario_id,scenario_index,run_index,seed,n_nodes,money_distribution,control_name,control_value,time_bin,period_count,event_count,avalanche_occupancy,one_period_wait_fraction,size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,mean_total_income,first_active_credit,last_active_credit,first_gini,last_gini,unique_default_nodes_in_window,total_default_occurrences_in_window,repeated_default_occurrences_in_window,repeated_default_share_in_window
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,1,120,120,1.0,1.0,0.7840113166526437,20.7,23.0,30.0,36.620000000000005,38,72,0.6,16.558333333333334,4.141666666666667,0.2000805152979066,0.0,768.65,0.8321166884199844,54.825,54.825,175.70833333333334,281,551,0.6219023276049598,0.931691320426365,161,2484,2323,0.9351851851851852
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,2,120,120,1.0,1.0,-0.1378387722099702,32.05833333333333,32.0,37.10000000000001,40.0,47,120,1.0,21.233333333333334,10.825,0.33766571354302055,0.0,362.6333333333333,0.9593447356971941,45.59166666666667,45.59166666666667,151.8,554,246,0.9331335653687189,0.9782238416358495,184,3847,3663,0.9521705224850533
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,3,120,120,1.0,1.0,-0.11248660727379264,33.63333333333333,34.0,38.0,41.81,42,120,1.0,17.483333333333334,16.15,0.4801783944499504,0.0,127.74166666666666,0.9847464107026318,42.34166666666667,42.34166666666667,140.93333333333334,250,82,0.9783913421796826,0.9890569936915381,194,4036,3842,0.9519326065411299
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,4,120,120,1.0,1.0,-0.2512547938793697,33.45,34.0,38.10000000000001,44.81,48,120,1.0,14.541666666666666,18.908333333333335,0.5652715495764823,0.0,71.0,0.9912797114059898,40.516666666666666,40.516666666666666,135.225,78,46,0.9891483576245379,0.9929377855122907,196,4014,3818,0.9511709018435476
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,5,120,120,1.0,1.0,-0.1725321895008801,32.225,32.5,37.0,41.620000000000005,46,119,0.9916666666666667,11.783333333333333,20.441666666666666,0.6343418670804241,0.0,30.866666666666667,0.9934668443187586,39.108333333333334,39.108333333333334,130.48333333333332,49,39,0.9929638894931478,0.9938492495105504,198,3867,3669,0.9487975174553918
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,6,120,120,1.0,1.0,-0.1405010224890513,33.05,33.0,37.0,41.0,42,120,1.0,11.275,21.775,0.6588502269288956,0.0,28.358333333333334,0.9944074033790152,38.791666666666664,38.791666666666664,129.43333333333334,38,43,0.9939253861213837,0.9948803567544051,198,3966,3768,0.9500756429652042
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,7,120,120,1.0,1.0,-0.3086697417006301,31.716666666666665,32.0,37.0,42.81,44,119,0.9916666666666667,9.041666666666666,22.675,0.7149238045191803,0.0,34.475,0.9949210173301428,37.96666666666667,37.96666666666667,126.20833333333333,25,30,0.9948977594083099,0.9948520774418099,198,3806,3608,0.9479768786127167
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,8,120,120,1.0,1.0,-0.09607474323364505,31.983333333333334,32.0,37.0,39.81,45,120,1.0,9.408333333333333,22.575,0.7058363731109953,0.0,36.516666666666666,0.9949061525632658,37.975,37.975,126.325,31,33,0.9949129867304765,0.9949347400478574,198,3838,3640,0.9484106305367379
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,9,120,120,1.0,1.0,-0.18764884835275178,31.625,31.5,37.0,42.43000000000001,44,118,0.9833333333333333,9.041666666666666,22.583333333333332,0.7140974967061924,0.0,18.091666666666665,0.9949205278805022,37.86666666666667,37.86666666666667,126.05833333333334,40,3,0.994949967370024,0.9949760713508811,199,3795,3596,0.9475625823451911
income,income__N200__c0p30__lognormal__biased__random,0,0,2026900000,200,lognormal,c,0.3,10,120,120,1.0,1.0,-0.16092975510782892,32.266666666666666,32.0,38.0,41.0,42,119,0.9916666666666667,8.908333333333333,23.358333333333334,0.7239152892561983,0.0,6.55,0.9949453085345519,37.858333333333334,37.858333333333334,125.99166666666666,6,19,0.9949673700239288,0.9949673700239288,199,3872,3673,0.9486053719008265
income,income__N200__c0p30__lognormal__biased__random,0,1,2026900001,200,lognormal,c,0.3,1,120,120,1.0,1.0,0.6701296437285827,15.016666666666667,15.0,24.0,29.620000000000005,31,36,0.3,12.541666666666666,2.475,0.16481687014428412,0.008333333333333333,820.8666666666667,0.7631889120370371,44.71666666666667,44.71666666666667,141.75833333333333,278,717,0.5721111111111112,0.8685555555555557,144,1802,1658,0.9200887902330743
