money_distribution,critical_event,events,mean_credit_scale_before_cascade,median_credit_scale_before_cascade,p10_credit_scale_before_cascade,p90_credit_scale_before_cascade,mean_time_steps_completed,median_period,mean_collapse_size
lognormal,False,11534,852.271544997399,877.0,585.3,1069.0,2864.9250043350094,99.0,9.224466793826947
lognormal,True,364,712.8296703296703,702.0,504.20000000000005,933.7,5056.645604395604,171.0,21.692307692307693
pareto,False,9126,1485.7335086565856,1519.0,1060.0,1862.0,3504.0257506026737,123.0,6.443348674117905
pareto,True,63,554.7301587301587,363.0,126.0,1094.6000000000004,4910.31746031746,181.0,21.253968253968253
uniform,False,11739,1540.993525853991,1671.0,733.0,2118.0,2996.0320299855184,103.0,5.6220291336570405
