seed,ended_by_default,periods_completed,time_steps_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,topology,target_mean_degree,sw_rewire_probability,topology_seed,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length,scenario_id,scenario_base_id,run_index,spending_label,topology_label,topology_family,target_mean_degree_requested
2026074808,True,120,9648,1,300,68,300,9648,300,1365,5,5,191,89,0.041666666666666664,False,2214,2214,1365,0.4558416139716952,0.27736374585968093,0,137,120,20.0,lognormal,uniform,preferential_debt,0.02,0.2,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,sw,24,0.1,2026082808,120,1440,24.0,0.20168067226890757,0.5730182022331147,1.5,0.0625,28,1,120,1.0,2.0208683473389355,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k24,money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k24,1,baseline,sw_k24,sw,24
2026074809,True,120,11231,1,300,88,300,11231,300,1289,7,7,203,96,0.058333333333333334,False,2666,2666,1289,0.5078707176794199,0.25149412353088274,0,177,120,20.0,lognormal,uniform,preferential_debt,0.02,0.2,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,sw,24,0.1,2026082809,120,1440,24.0,0.20168067226890757,0.5365439530104243,1.4719601443879744,0.06133167268283227,27,1,120,1.0,1.9579831932773109,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k24,money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k24,2,baseline,sw_k24,sw,24
2026074801,True,120,9198,1,300,72,300,9198,300,1555,7,7,154,80,0.058333333333333334,False,2110,2110,1555,0.5173696682464455,0.29200631911532393,0,142,120,20.0,lognormal,uniform,preferential_debt,0.02,0.2,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,sw,6,0.1,2026082801,120,360,6.0,0.05042016806722689,0.46444444444444427,0.7637626158259734,0.1272937693043289,8,1,120,1.0,3.8677871148459384,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k6,money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k6,0,baseline,sw_k6,sw,6
2026074802,True,120,10882,1,300,87,300,10882,300,1457,8,8,165,84,0.06666666666666667,False,2552,2552,1457,0.5813153082549634,0.24586598746081512,0,171,120,20.0,lognormal,uniform,preferential_debt,0.02,0.2,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,sw,6,0.1,2026082802,120,360,6.0,0.05042016806722689,0.47718253968253993,0.6708203932499369,0.11180339887498948,8,1,120,1.0,4.148599439775911,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k6,money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k6,1,baseline,sw_k6,sw,6
2026074803,True,120,11035,1,300,78,300,11035,300,1912,6,6,159,81,0.05,False,2611,2611,1912,0.5397389250606408,0.2925986212179241,0,156,120,20.0,lognormal,uniform,preferential_debt,0.02,0.2,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,sw,6,0.1,2026082803,120,360,6.0,0.05042016806722689,0.4487103174603175,0.8850612031567836,0.1475102005261306,9,1,120,1.0,3.7058823529411766,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k6,money-lognormal__income-uniform__growth-preferential_debt__spend-baseline__topo-sw_k6,2,baseline,sw_k6,sw,6
2026074885,True,120,63738,1,300,555,560,63738,300,991,15,15,1068,120,0.125,True,2745,2745,991,0.5287037037037037,0.2565421979356406,0,1102,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,12,0.1,2026082885,120,720,12.0,0.10084033613445378,0.19411381073859796,8.01664934163062,0.6680541118025517,55,1,120,1.0,2.13781512605042,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k12,0,high_both,ba_k12,ba,12
2026074886,True,120,56264,1,300,476,494,56264,300,786,16,16,1076,120,0.13333333333333333,True,2414,2414,786,0.5038180060756698,0.21471969069317876,0,950,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,12,0.1,2026082886,120,720,12.0,0.10084033613445378,0.1751377597233656,7.314369419163897,0.6095307849303248,45,1,120,1.0,2.150140056022409,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k12,1,high_both,ba_k12,ba,12
2026074887,True,120,66936,1,300,584,588,66936,300,737,15,15,1071,120,0.125,True,2897,2897,737,0.6028966747209759,0.19154009895293989,0,1167,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,12,0.1,2026082887,120,720,12.0,0.10084033613445378,0.20124922684982977,7.872949468485959,0.6560791223738299,49,1,120,1.0,2.1401960784313725,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k12,2,high_both,ba_k12,ba,12
2026074888,True,120,54683,1,300,468,484,54683,300,915,18,18,1104,120,0.15,True,2347,2347,915,0.5505574492259622,0.269098849595228,0,939,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,24,0.1,2026082888,120,1440,24.0,0.20168067226890757,0.2671927230937399,10.169398540064535,0.4237249391693556,60,1,120,1.0,1.8095238095238095,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k24,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k24,0,high_both,ba_k24,ba,24
2026074889,True,120,53353,1,300,462,468,53353,300,772,16,16,1099,120,0.13333333333333333,True,2283,2283,772,0.47135713242809163,0.23081106730909617,0,927,120,20.0,lognormal,uniform,preferential_debt,0.04,0.4,0.5,5.0,1.0,0.1,120,0,0.0,True,True,income,100,continue_after_avalanche,period_end,ba,24,0.1,2026082889,120,1440,24.0,0.20168067226890757,0.3022849994551178,11.713240371477058,0.48805168214487743,69,1,120,1.0,1.8096638655462185,c-0p50__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k24,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-ba_k24,1,high_both,ba_k24,ba,24
