scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
stage2__c-0p500__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,89520.20833333333,81.91666666666667,1966,81.91666666666667,0.34131944444444445,0.00508646998982706,1.9150559511698881,0.015958799593082364,1.0,4.0,9.0,30,1.21617497456765,0.698880976602238,0.3649402390438247,0.6350597609561753,5423.125,23048.333333333332,0.0,0.2765402199074074,119.0,1.0,0.0
stage2__c-0p505__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.505,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,94355.25,88.95833333333333,2135,88.95833333333333,0.3706597222222222,0.006088992974238876,2.008430913348946,0.01673692427790785,1.0,4.0,10.0,29,1.2491803278688525,0.7592505854800937,0.37803171641791045,0.6219682835820896,5449.0,22578.708333333332,0.0,0.2749502314814815,119.0,1.0,0.0
stage2__c-0p510__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.51,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.6666666666666666,240.0,99422.58333333333,96.66666666666667,2320,96.66666666666667,0.4027777777777778,0.008189655172413794,2.0668103448275863,0.017223419540229847,1.0,4.0,10.809999999999945,21,1.2991379310344828,0.7676724137931035,0.37142857142857144,0.6285714285714286,5737.666666666667,22290.708333333332,0.0,0.28495746527777777,119.0,1.0,0.0
stage2__c-0p515__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.515,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.6666666666666666,240.0,103995.41666666667,101.95833333333333,2447,101.95833333333333,0.4248263888888889,0.0073559460563955865,2.1025745811197383,0.01752145484266445,1.0,4.0,9.539999999999964,25,1.2913771965672252,0.8111973845525133,0.3858114674441205,0.6141885325558795,4853.333333333333,21130.875,0.0,0.2816044560185185,119.0,1.0,0.0
stage2__c-0p520__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.52,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.625,240.0,109372.5,110.29166666666667,2647,110.29166666666667,0.4595486111111111,0.009066868152625614,2.1605591235360784,0.01800465936280062,1.0,4.0,11.0,25,1.3358519078201738,0.8247072157159048,0.38171008917642946,0.6182899108235705,5195.291666666667,19927.416666666668,0.0,0.28474739583333336,119.0,1.0,0.0
stage2__c-0p525__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,114951.25,116.29166666666667,2791,116.29166666666667,0.48454861111111114,0.006091006807595844,2.2300250806162665,0.01858354233846885,2.0,4.0,10.099999999999909,23,1.3704765317090648,0.8595485489072017,0.38544344473007713,0.6145565552699229,5255.083333333333,19551.291666666668,0.0,0.2844563078703704,119.0,1.0,0.0
stage2__c-0p530__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.53,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5,240.0,120407.95833333333,122.79166666666667,2947,122.79166666666667,0.5116319444444445,0.008143875127248049,2.2690872073294877,0.01890906006107903,2.0,4.0,11.0,19,1.3939599592806244,0.8751272480488632,0.38567369522954986,0.6143263047704501,5758.958333333333,19033.791666666668,0.0,0.2918310185185185,119.0,1.0,0.0
stage2__c-0p535__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.535,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.75,240.0,126986.5,126.08333333333333,3026,126.08333333333333,0.5253472222222222,0.008592200925313946,2.375743555849306,0.01979786296541085,2.0,5.0,11.0,20,1.4355584930601455,0.9401850627891606,0.39574349700931977,0.6042565029906802,5410.25,19824.125,0.0,0.28449681712962965,119.0,1.0,0.0
stage2__c-0p540__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.54,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.625,240.0,133213.70833333334,132.75,3186,132.75,0.553125,0.006905210295040804,2.4579409918392967,0.02048284159866077,2.0,5.0,11.0,20,1.4783427495291903,0.9795982423101067,0.3985442472225769,0.601455752777423,5573.0,18655.875,0.0,0.2884976851851852,119.0,1.0,0.0
stage2__c-0p545__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.545,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.625,240.0,140386.20833333334,138.29166666666666,3319,138.29166666666666,0.5762152777777778,0.007532389273877674,2.5423320277191923,0.021186100230993234,2.0,5.0,11.0,23,1.507080445917445,1.0352515818017476,0.4072054989333965,0.5927945010666035,5704.5,17560.25,0.0,0.28466261574074075,119.0,1.0,0.0
