scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,protocol
critical__base0037__c-0p225__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.225,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,8857.166666666666,193.16666666666666,4636,193.16666666666666,0.8048611111111111,0.4758412424503883,10.82916307161346,0.0902430255967788,11.0,19.0,24.0,30,8.972174288179465,1.8569887834339949,0.1714803601306669,0.8285196398693331,1290.9583333333333,675.8333333333334,0.0,0.8758718171296297,24.0,0.20127844436736483,0.18314017620132783,period_end_critical_refined
critical__base0038__c-0p250__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.25,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,10106.625,201.08333333333334,4826,201.08333333333334,0.8378472222222222,0.6031910484873602,13.611065064235392,0.11342554220196158,14.0,23.0,28.0,33,10.820348114380439,2.7907169498549522,0.20503295933746404,0.794967040662536,1373.6666666666667,539.2083333333334,0.0,0.9066744791666667,24.0,0.20165577441789495,0.1843183927047861,period_end_critical_refined
critical__base0039__c-0p275__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.275,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,11397.833333333334,206.95833333333334,4967,206.95833333333334,0.8623263888888889,0.6895510368431649,16.086571371048922,0.13405476142540765,17.0,26.0,32.0,36,12.334809744312462,3.7517616267364606,0.23322319841806213,0.7667768015819378,1392.7916666666667,433.7916666666667,0.0,0.9212476851851852,24.0,0.20182500031629372,0.181536154623837,period_end_critical_refined
critical__base0040__c-0p300__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.3,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,12658.0,213.33333333333334,5120,213.33333333333334,0.8888888888888888,0.7615234375,19.2181640625,0.16015136718749998,21.0,30.0,35.0,42,13.964453125,5.2537109375,0.2733721556551521,0.726627844344848,1302.75,326.2916666666667,0.0,0.9383489583333332,24.0,0.20092341004296163,0.18031965709073008,period_end_critical_refined
critical__base0041__c-0p325__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.325,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,13968.958333333334,216.45833333333334,5195,216.45833333333334,0.9019097222222222,0.8015399422521655,21.840038498556304,0.18200032082130252,25.0,33.0,38.0,44,15.176323387872955,6.663715110683349,0.30511462290342767,0.6948853770965723,1442.375,255.58333333333334,0.0,0.947175636574074,24.0,0.2006717311528137,0.1790617069168925,period_end_critical_refined
critical__base0042__c-0p350__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.35,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,15321.625,219.79166666666666,5275,219.79166666666666,0.9157986111111112,0.8346919431279621,24.454976303317537,0.2037914691943128,27.0,36.0,41.0,46,16.351469194312795,8.10350710900474,0.3313643410852713,0.6686356589147286,1363.375,214.95833333333334,0.0,0.9550043402777778,24.0,0.20242540919439964,0.17569443132873575,period_end_critical_refined
critical__base0043__c-0p375__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.375,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,16679.666666666668,224.16666666666666,5380,224.16666666666666,0.9340277777777778,0.8661710037174721,26.94256505576208,0.224521375464684,30.0,38.0,43.0,50,17.481226765799256,9.461338289962825,0.351166946071431,0.6488330539285689,1418.5833333333333,212.91666666666666,0.0,0.9595101273148149,24.0,0.20087679610530282,0.18140537779263602,period_end_critical_refined
critical__base0044__c-0p400__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.4,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,18021.291666666668,225.375,5409,225.375,0.9390625,0.8848215936402293,29.481419855795895,0.2456784987982991,33.0,41.0,46.0,51,18.285265298576448,11.19615455721945,0.3797698554541749,0.6202301445458251,1426.1666666666667,174.33333333333334,0.0,0.9652884837962964,24.0,0.2029284145964608,0.17959433750106935,period_end_critical_refined
critical__base0027__c-0p400__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.4,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.0,240.0,41298.958333333336,9.708333333333334,233,9.708333333333334,0.04045138888888889,0.0,1.1201716738197425,0.009334763948497821,1.0,1.0,3.0,4,1.03862660944206,0.0815450643776824,0.07279693486590039,0.9272030651340997,10380.958333333334,36614.0,0.0,0.2437861689814815,119.0,1.0,0.0,period_end_critical_refined
critical__base0028__c-0p425__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.425,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.0,240.0,48448.166666666664,18.541666666666668,445,18.541666666666668,0.07725694444444445,0.0,1.3393258426966292,0.011161048689138541,1.0,2.0,5.0,10,1.0382022471910113,0.30112359550561796,0.22483221476510068,0.7751677852348994,9568.583333333334,36755.625,0.0,0.2694866898148148,119.0,1.0,0.0,period_end_critical_refined
