seed,ended_by_default,periods_completed,time_steps_completed,settlements_completed,checks_completed,first_cascade_period,first_cascade_time_steps,last_period_length_steps,max_period_length_steps,max_period_length_steps_cap,max_uncapped_period_length_steps,capped_periods,total_credit_issued,credit_scale_before_cascade,active_credit_after_cascade,collapse_size,max_collapse_size,total_collapse_size,avalanche_count,avalanche_period_count,avalanche_timestep_rate,avalanche_period_occupancy,collapse_fraction,critical_event,initial_total_money,final_cash_total,final_active_credit,initial_money_gini,final_net_worth_gini,failed_credit_events,total_income_last_period,total_default_occurrences,unique_default_nodes,repeat_default_occurrences,repeat_default_share,n_nodes,mean_initial_money,money_distribution,income_distribution_rule,growth_rule,consumption_wealth_propensity,consumption_income_propensity,investment_income_propensity,initial_income_per_capita,income_bias_floor,collapse_threshold_fraction,max_periods,max_time_steps,default_threshold,wipe_defaulted_assets,validate_accounting,period_length_rule,fixed_period_length_steps,avalanche_protocol,default_check_mode,topology,target_mean_degree,topology_seed,topology_nodes,topology_edges,topology_mean_degree,topology_density,topology_clustering,topology_degree_std,topology_degree_cv,topology_max_degree,topology_components,topology_lcc_nodes,topology_lcc_fraction,topology_lcc_average_path_length,scenario_id,scenario_base_id,scenario_index,run_index,protocol,spending_label,topology_label,topology_family,target_mean_degree_requested,sw_rewire_probability
2026060910,False,20,204,204,204,0,0,7,60,500,60,0,204,204,204,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,204,0.0,0.1018472222222222,0,60,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,complete,119,2026069910.0,120,7140,119.0,1.0,1.0,0.0,0.0,119,1,120,1.0,1.0,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-complete,money-equal__income-uniform__growth-random__spend-baseline__topo-complete,10,0,timestep_settle_check,baseline,complete,complete,0,
2026060911,False,20,210,210,210,0,0,6,60,500,60,0,210,210,210,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,210,0.0,0.1207430555555555,0,59,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,6,,120,360,6.0,0.0504201680672268,0.0387277999777999,2.4392621835300936,0.4065436972550156,13,3,118,0.9833333333333332,2.8118209474141675,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k6,money-equal__income-uniform__growth-random__spend-baseline__topo-er_k6,11,0,timestep_settle_check,baseline,er_k6,er,6,0.1
2026060912,False,20,210,210,210,0,0,7,60,500,60,0,210,210,210,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,210,0.0,0.0993263888888889,0,78,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,12,,120,720,12.0,0.1008403361344537,0.0953128081069256,3.1937438845342623,0.2661453237111885,19,1,120,1.0,2.1600840336134453,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k12,money-equal__income-uniform__growth-random__spend-baseline__topo-er_k12,12,0,timestep_settle_check,baseline,er_k12,er,12,0.1
2026060913,False,20,212,212,212,0,0,7,60,500,60,0,212,212,212,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,212,0.0,0.1110138888888889,0,75,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,er,24,,120,1440,24.0,0.2016806722689075,0.2007537611029994,3.905124837953327,0.1627135349147219,32,1,120,1.0,1.8029411764705885,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-er_k24,money-equal__income-uniform__growth-random__spend-baseline__topo-er_k24,13,0,timestep_settle_check,baseline,er_k24,er,24,0.1
2026060914,False,20,216,216,216,0,0,7,60,500,60,0,216,216,216,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,216,0.0,0.1153263888888889,0,65,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,6,,120,360,6.0,0.0504201680672268,0.1612972792458086,5.305657357952923,0.8842762263254872,35,1,120,1.0,2.6217086834733894,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k6,money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k6,14,0,timestep_settle_check,baseline,ba_k6,ba,6,0.1
2026060915,False,20,213,213,213,0,0,6,60,500,60,0,213,213,213,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,213,0.0,0.1102361111111112,0,77,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,12,,120,720,12.0,0.1008403361344537,0.1765873213131434,7.076957915187382,0.5897464929322819,39,1,120,1.0,2.168487394957983,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k12,money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k12,15,0,timestep_settle_check,baseline,ba_k12,ba,12,0.1
2026060916,False,20,214,214,214,0,0,8,60,500,60,0,214,214,214,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,214,0.0,0.1178472222222222,0,74,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,ba,24,,120,1440,24.0,0.2016806722689075,0.2930129269180001,11.293803610830144,0.470575150451256,59,1,120,1.0,1.8096638655462185,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k24,money-equal__income-uniform__growth-random__spend-baseline__topo-ba_k24,16,0,timestep_settle_check,baseline,ba_k24,ba,24,0.1
2026060917,False,20,220,220,220,0,0,9,60,500,60,0,220,220,220,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,220,0.0,0.1011944444444443,0,76,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,6,,120,360,6.0,0.0504201680672268,0.4268849206349207,0.7637626158259734,0.1272937693043289,8,1,120,1.0,3.77156862745098,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k6,money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k6,17,0,timestep_settle_check,baseline,sw_k6,sw,6,0.1
2026060918,False,20,214,214,214,0,0,7,60,500,60,0,214,214,214,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,214,0.0,0.1016666666666668,0,77,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,12,,120,720,12.0,0.1008403361344537,0.5119797794797794,1.0165300454651272,0.0847108371220939,15,1,120,1.0,2.6247899159663866,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k12,money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k12,18,0,timestep_settle_check,baseline,sw_k12,sw,12,0.1
2026060919,False,20,212,212,212,0,0,7,60,500,60,0,212,212,212,0,0,0,0,0,0.0,0.0,0.0,False,2400,2400,212,0.0,0.1064097222222222,0,83,0,0,0,0.0,120,20.0,equal,uniform,random,0.02,0.2,0.1,5.0,1.0,0.1,20,0,0.0,True,False,income,100,continue_after_avalanche,timestep_settle_check,sw,24,,120,1440,24.0,0.2016806722689075,0.5580539782208355,1.6278820596099706,0.0678284191504154,28,1,120,1.0,1.9980392156862743,c-0p10__money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k24,money-equal__income-uniform__growth-random__spend-baseline__topo-sw_k24,19,0,timestep_settle_check,baseline,sw_k24,sw,24,0.1
