axis,value,scenarios,mean_large_event_rate,mean_event_fraction,mean_event_occupancy,mean_propagated_share,saturated_share,max_large_event_rate,max_event_fraction
growth_rule,random,4000,0.34144942191678784,0.11091764594032427,0.6172604166666666,0.18201016245051063,0.5285,1.0,0.5973842592592593
growth_rule,preferential_debt,4000,0.30048840963291795,0.10903496111217242,0.7127506944444444,0.09146512039222292,0.58225,1.0,0.7690046296296297
income_distribution_rule,biased,4000,0.5025880766049249,0.18238829425493708,0.8329930555555557,0.16575898629795505,0.7375,1.0,0.7690046296296297
income_distribution_rule,uniform,4000,0.13934975494478102,0.037564312797559625,0.4970180555555555,0.10771629654477854,0.37325,0.9916666666666668,0.1881481481481481
money_distribution,lognormal,1600,0.3489203330536989,0.11663853080207842,0.7071006944444445,0.1447486887448458,0.60625,1.0,0.7593287037037038
money_distribution,pareto,1600,0.32972808840760565,0.11103659628855196,0.6553142361111111,0.1505320025499027,0.541875,1.0,0.7690046296296297
money_distribution,uniform,1600,0.3197941092930414,0.1098962595506297,0.6879322916666666,0.12740477104936004,0.58,1.0,0.7601157407407407
money_distribution,normal,1600,0.31073236041743224,0.10798874687916162,0.67,0.12928206840985376,0.561875,0.9972222222222222,0.7492824074074075
money_distribution,equal,1600,0.2956696877024865,0.10432138411082008,0.6046805555555556,0.13172067635287163,0.486875,0.9971988795518208,0.7479629629629629
spending_label,high_both,1600,0.47823546928547583,0.17247679111741568,0.7892499999999998,0.18561640501002075,0.716875,1.0,0.7608564814814814
spending_label,high_income,1600,0.41637877439359045,0.1390028197785432,0.7326319444444445,0.15561677137666569,0.6475,1.0,0.7690046296296297
spending_label,high_wealth,1600,0.3414882886200426,0.11961271933861131,0.7038194444444444,0.15139570426338833,0.5975,1.0,0.715625
spending_label,baseline,1600,0.253548323432306,0.08284010283509144,0.6267013888888888,0.11615977041479388,0.49375,1.0,0.6484027777777778
spending_label,low,1600,0.11519372314284991,0.035949084561580094,0.47262499999999996,0.07489955604196527,0.32125,1.0,0.2794212962962963
topology_label,complete,800,0.29034341516351697,0.1162823237232848,0.6191215277777777,0.16766715777869848,0.51375,1.0,0.7690046296296297
topology_label,ba_k24,800,0.3346436649006253,0.113189620286755,0.6966006944444445,0.14715928035711848,0.58,1.0,0.5492997198879552
topology_label,er_k24,800,0.30745793296656104,0.1123755758697435,0.6472222222222223,0.14704108285554582,0.535,1.0,0.5991643454038997
topology_label,er_k12,800,0.32150503784332346,0.11218793445730645,0.6617881944444445,0.13418554071844732,0.55,1.0,0.5653472222222221
topology_label,sw_k24,800,0.2928063107357564,0.1104387299967944,0.6244201388888889,0.1419128837686304,0.52875,1.0,0.6622685185185185
topology_label,sw_k12,800,0.29953711170981173,0.11001791277501681,0.6264722222222222,0.12897303547685013,0.52625,1.0,0.6368287037037037
topology_label,ba_k12,800,0.35151137913113123,0.10935526638578832,0.7220034722222222,0.1352855385085366,0.60125,1.0,0.5036778398510242
topology_label,er_k6,800,0.3400646746166957,0.10668920583687155,0.6812708333333333,0.1305503743037406,0.575,1.0,0.4963425925925926
topology_label,sw_k6,800,0.3046113250375291,0.10611021136020517,0.6258333333333332,0.11577448203695848,0.51875,1.0,0.5961342592592592
topology_label,ba_k6,800,0.3672083056435786,0.10311625457071752,0.7453229166666668,0.1188270384091415,0.625,1.0,0.4226157407407407
