scenario_id,scenario_base_id,c,money_distribution,income_distribution_rule,growth_rule,spending_label,topology_label,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
c-0p80__money-uniform__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k24,money-uniform__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k24,0.8,uniform,uniform,preferential_debt,high_wealth,er_k24,360,24,2,29,80,ok,22,11.257723879461537,0.08888889636733122,169,19,-312.4476859072038,12,12,0.07692307692307693,0.03442044847258106,0.0531375460940152,ok,0.6434599156118144,0.4408955450876648,-3.683390110997533,-6.187457874108602,6.114217865465506e-10,3.1093317822286872,0.10221055806327797,True,False,24,-12.18508397387366,-3.0845269726750564,0.002038761225992092,ok,120,22,11.257720608654964,0.08888879241585179,169,19,-312.4476823275785,12,12,0.07692307692307693,0.031184845004855105,0.040892366007782455,3.5796252859654487e-06
c-0p70__money-uniform__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k6,money-uniform__income-uniform__growth-preferential_debt__spend-high_both__topo-er_k6,0.7,uniform,uniform,preferential_debt,high_both,er_k6,360,25,2,30,80,ok,22,11.478599288208914,0.059428529724350976,116,17,-211.80291904379942,12,12,0.15384615384615385,0.03395475881564475,0.056491721224118996,ok,0.6386292834890965,0.4484311439916078,-1.8038264107762925,-3.3772287452175487,0.0007322013160483622,3.0343958861139537,0.13477458207936696,True,False,24,-3.939981085603694,-1.7376353208959712,0.082275092027483,ok,120,22,11.47859561819336,0.059428431876376975,116,17,-211.80291736401603,12,12,0.38461538461538464,0.0459547300640308,0.07550095178822318,1.679783395047707e-06
c-0p70__money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k24,money-lognormal__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k24,0.7,lognormal,uniform,preferential_debt,high_both,sw_k24,360,23,2,28,80,ok,23,12.553662599605628,0.10164177753605586,126,19,-222.50026502480554,12,12,0.07692307692307693,0.03955947519163334,0.0663702510227935,ok,0.6193353474320241,0.4791083962386548,-2.587648774257601,-5.585171754770752,2.3346936143489608e-08,3.15947260828192,0.08521488749869713,True,False,24,-10.44114182682601,-2.826906725181263,0.004700001577818497,ok,120,23,12.5536625324358,0.10164177780461181,126,19,-222.50026454064982,12,12,0.07692307692307693,0.03919882790511279,0.0569272316617133,4.841557199597446e-07
c-0p80__money-pareto__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k6,money-pareto__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k6,0.8,pareto,uniform,preferential_debt,high_both,sw_k6,360,26,1,31,80,ok,24,11.5699371114987,0.07781882680712171,103,19,-196.07010839873186,12,12,0.15384615384615385,0.050188344521152166,0.07809349222408517,ok,0.6600660066006601,0.4154154389613325,-1.8496274266527553,-3.721353018667111,0.0001981581917206248,3.158997885089809,0.11856073639521507,True,False,24,-4.796741421012407,-1.9220215341365925,0.05460304819439041,ok,120,24,11.569930753896736,0.0778186352180964,103,19,-196.07010514129797,12,12,0.15384615384615385,0.05074430151117353,0.07721022434363789,3.257433888848027e-06
c-0p80__money-pareto__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k6,money-pareto__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k6,0.8,pareto,uniform,preferential_debt,high_income,sw_k6,360,25,1,33,80,ok,24,13.262336304265553,0.07299383847229562,98,19,-171.0221479179871,12,12,0.15384615384615385,0.04353828127703765,0.07080773860976915,ok,0.615686274509804,0.48501773981011803,-1.1573482519888487,-2.589204808234214,0.009619786080370148,3.0938440046608835,0.12786705722344632,True,False,24,-2.4941075844321245,-1.3408069157767115,0.17998315025686107,ok,120,24,13.262336230840209,0.072993837438459,98,19,-171.0221477225278,12,12,0.15384615384615385,0.03873679534578055,0.0684035336619276,1.95459307406054e-07
c-0p70__money-lognormal__income-uniform__growth-preferential_debt__spend-high_income__topo-er_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_income__topo-er_k12,0.7,lognormal,uniform,preferential_debt,high_income,er_k12,360,25,4,29,80,ok,23,13.79692265344806,0.04373512109128297,102,19,-169.10530327069392,12,12,0.5384615384615384,0.043887303287061384,0.0536002923241865,ok,0.5887096774193548,0.5298221244566459,-1.1287679461911042,-2.813432722147233,0.004901564180565347,3.0447620229923453,0.12546232652681305,True,False,24,-2.4071903457377792,-1.5094018771626183,0.13119611366308367,ok,120,23,13.79692113991517,0.04373508367758305,102,19,-169.10530322191858,12,12,0.38461538461538464,0.03992209715923238,0.05609128090035363,4.877534820479923e-08
c-0p80__money-uniform__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k12,money-uniform__income-uniform__growth-preferential_debt__spend-high_both__topo-sw_k12,0.8,uniform,uniform,preferential_debt,high_both,sw_k12,360,26,2,34,80,ok,24,13.665129059256381,0.053043349052801725,125,19,-213.87622588026534,12,12,0.07692307692307693,0.033443722259414714,0.04463521222073568,ok,0.6069182389937107,0.4993611938752913,-0.7823097775996166,-1.311075760498152,0.18983216916107115,2.864797264715728,0.18555472067990322,True,False,24,-0.9768064972058035,-0.8055882235471138,0.4204803181222039,ok,120,24,13.665129656977193,0.05304336552909128,125,19,-213.87622575110888,12,12,0.07692307692307693,0.03661732631977533,0.05136910509871916,1.291564615257812e-07
c-0p80__money-pareto__income-uniform__growth-preferential_debt__spend-high_wealth__topo-ba_k6,money-pareto__income-uniform__growth-preferential_debt__spend-high_wealth__topo-ba_k6,0.8,pareto,uniform,preferential_debt,high_wealth,ba_k6,360,21,6,27,80,ok,21,14.515034885292811,0.08373778742472815,122,15,-184.3554082104568,12,12,0.07692307692307693,0.03838257579421405,0.07694388243465107,ok,0.539622641509434,0.616885195726315,-1.5043539087319762,-3.4295529831509306,0.0006045763827306384,3.002191792728241,0.10191306163909941,True,False,24,-4.252840593771468,-1.6912366429376071,0.09079161515266317,ok,120,21,14.515034169807315,0.08373776855789994,122,15,-184.3554082054647,12,12,0.07692307692307693,0.03971855429864098,0.0703977067316565,4.9921027311938815e-09
c-0p70__money-lognormal__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k12,money-lognormal__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k12,0.7,lognormal,uniform,preferential_debt,high_income,sw_k12,360,24,5,30,80,ok,22,10.377226983986887,0.08484718988181827,152,17,-295.79495375215487,12,12,0.07692307692307693,0.04168249395757214,0.06675934779247485,ok,0.6709956709956709,0.398992593602547,-3.13122545957504,-4.690683987054697,2.7229324998134985e-06,3.078137767629103,0.1299588755209177,True,False,24,-7.6250373060892205,-2.417642400585275,0.015621420322604974,ok,120,22,10.377212018162366,0.08484666734511925,152,17,-295.7949390895661,12,12,0.07692307692307693,0.03112370618087447,0.04515036488432354,1.4662588739611238e-05
c-0p80__money-uniform__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k6,money-uniform__income-uniform__growth-preferential_debt__spend-high_wealth__topo-er_k6,0.8,uniform,uniform,preferential_debt,high_wealth,er_k6,360,25,3,29,80,ok,23,12.105244167443336,0.07521013339007732,112,19,-202.5032587816013,12,12,0.07692307692307693,0.04136008916949011,0.06134975065426825,ok,0.6327868852459017,0.45762158770252603,-1.9792469600342202,-4.261680223461632,2.0289563191964498e-05,3.1253782437843576,0.10834332944454614,True,False,24,-5.738197431137824,-2.1516471454784223,0.03142515592541478,ok,120,23,12.10524205754243,0.07521006870278557,112,19,-202.50325786900214,12,12,0.07692307692307693,0.03832501472149502,0.058107028523370095,9.125991482505924e-07
c-0p80__money-uniform__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k12,money-uniform__income-uniform__growth-preferential_debt__spend-high_income__topo-sw_k12,0.8,uniform,uniform,preferential_debt,high_income,sw_k12,360,30,2,33,80,ok,25,13.591664479009852,0.06385694345240478,87,22,-152.92216699514285,12,12,0.23076923076923078,0.04666084021035762,0.07528663528900005,ok,0.6200873362445415,0.47789494595297893,-0.861276683549807,-2.055222367691377,0.03985753163459388,3.0858300074764107,0.1409180926981553,True,False,24,-1.569332960467823,-1.1076096659234953,0.2680304271638311,ok,120,25,13.591665071623945,0.06385696197052981,87,22,-152.9221668240382,12,12,0.15384615384615385,0.04054757366234888,0.07586415190743376,1.711046593300125e-07
c-0p70__money-uniform__income-biased__growth-random__spend-low__topo-ba_k6,money-uniform__income-biased__growth-random__spend-low__topo-ba_k6,0.7,uniform,biased,random,low,ba_k6,360,24,9,32,80,ok,23,10.910989813024461,0.06868205811314698,106,15,-204.62982110020425,12,12,0.15384615384615385,0.03906340549985065,0.06809503027007942,ok,0.6677115987460815,0.4038989370754194,-1.8136345838255101,-3.3926681979875113,0.0006921542337971459,3.088332370365899,0.13816605067642346,True,False,24,-3.9366160963864445,-1.7651792381523088,0.07753364679901152,ok,120,23,10.91098105298859,0.06868178415530524,106,15,-204.62981470508842,12,12,0.15384615384615385,0.04982421171843699,0.07631850759605026,6.395115832447118e-06
c-0p50__money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k24,money-uniform__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k24,0.5,uniform,biased,preferential_debt,high_both,sw_k24,360,63,8,72,80,ok,55,11.801644615308902,0.10896935802385449,112,50,-303.8594482570793,12,12,0.07692307692307693,0.05191223377915841,0.0760683144057226,ok,0.8313253012048193,0.18473410319933853,-2.5504961347343817,-5.846428432489637,5.022395002809915e-09,4.045966312621111,0.09075202591550836,True,False,24,-9.849059012476193,-2.8341912224097348,0.004594183210777404,ok,120,55,11.783788805533494,0.10851749711781117,112,50,-303.8380293049438,12,12,0.07692307692307693,0.04427524969646529,0.062227787785739085,0.021418952135491054
c-0p50__money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-ba_k6,money-equal__income-biased__growth-preferential_debt__spend-high_both__topo-ba_k6,0.5,equal,biased,preferential_debt,high_both,ba_k6,360,38,3,46,80,ok,39,17.905767937560334,0.09513861779090915,148,32,-279.8825126370926,12,12,0.07692307692307693,0.03806006666961518,0.0657295100840346,ok,0.6581986143187067,0.41824854773383924,-1.7999093056689381,-5.1101055400324675,3.2197889627646054e-07,3.6594260008573043,0.07052005688317758,True,False,24,-7.815066487031094,-2.493077244240562,0.01266412923177254,ok,120,39,17.905763927691396,0.09513853404652495,148,32,-279.88251201146545,12,12,0.07692307692307693,0.03496727375248606,0.04529745509098183,6.256271376514633e-07
c-0p50__money-pareto__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k6,money-pareto__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k6,0.5,pareto,biased,preferential_debt,high_both,sw_k6,360,54,1,67,80,ok,55,16.90357135109295,0.12264893512109937,142,46,-326.3912749732637,12,12,0.07692307692307693,0.045508430299347515,0.056820484780117066,ok,0.7568493150684932,0.2785911007505289,-2.455511059300755,-7.242983822905981,4.389192818634561e-13,4.0411664217603915,0.05434220130718163,True,False,24,-16.51177008083198,-3.2997398892317085,0.0009677447869260251,ok,120,55,16.90289970781078,0.12263549762582743,142,46,-326.39080347003977,12,12,0.07692307692307693,0.03471820080051204,0.052088013136514066,0.00047150322393463284
c-0p60__money-pareto__income-biased__growth-preferential_debt__spend-high_wealth__topo-ba_k6,money-pareto__income-biased__growth-preferential_debt__spend-high_wealth__topo-ba_k6,0.6,pareto,biased,preferential_debt,high_wealth,ba_k6,360,39,7,45,80,ok,39,20.949222545242197,0.11284886916374992,94,33,-161.66195713879603,12,12,0.07692307692307693,0.049018396148015696,0.07474093964101973,ok,0.6083333333333333,0.49703230163365497,-0.9848918395156802,-4.458126829879069,8.267897992158529e-06,3.661538083904796,0.05821682253426741,True,False,24,-5.210451343853857,-2.1746959184077825,0.02965291096775786,ok,120,39,20.949224221569175,0.11284889494688483,94,33,-161.6619571264273,12,12,0.07692307692307693,0.04531116648959799,0.07713309163203498,1.2368730040179798e-08
c-0p50__money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k6,money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k6,0.5,uniform,biased,preferential_debt,high_income,ba_k6,360,33,9,42,80,ok,30,9.826505509918496,0.1144305342400247,159,25,-369.5997287612087,12,12,0.07692307692307693,0.03218772973974284,0.0496159150468759,ok,0.7601809954751131,0.2741987221144939,-4.372117528968476,-6.609581809526898,3.85407189366108e-11,3.445420795136223,0.10976177591450313,True,False,24,-14.23618317976529,-3.168883117168138,0.0015302592087550178,ok,120,30,9.826058428110237,0.11441477094025376,159,25,-369.5990849262224,12,12,0.07692307692307693,0.03834276007392639,0.057645539648375925,0.0006438349863060466
c-0p50__money-normal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k6,money-normal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k6,0.5,normal,biased,preferential_debt,high_income,ba_k6,360,36,5,42,80,ok,34,14.010211512256657,0.1087380677223278,126,29,-255.76890857309013,12,12,0.07692307692307693,0.03920356693906427,0.06978874464529762,ok,0.6941747572815534,0.36503153852967374,-2.0924668114493015,-5.06500231440122,4.0839538903059566e-07,3.5332977992566494,0.08623878849146856,True,False,24,-7.815187594509434,-2.463719442732396,0.013750369514764394,ok,120,34,14.01019892279409,0.10873775595232255,126,29,-255.76890115740179,12,12,0.07692307692307693,0.036978624295941266,0.06231349909240093,7.4156883442810795e-06
c-0p70__money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,money-equal__income-biased__growth-preferential_debt__spend-baseline__topo-ba_k6,0.7,equal,biased,preferential_debt,baseline,ba_k6,360,40,5,46,80,ok,36,17.650601177516112,0.09448318889912388,98,32,-179.08064846989146,12,12,0.07692307692307693,0.04927307455466575,0.08094027596216727,ok,0.6410256410256411,0.44468582126144557,-0.8592067307284934,-2.5510316260063863,0.010740457907569141,3.516846059968139,0.096130704471824,True,False,24,-2.37627786013636,-1.2228253312159134,0.22139567568890128,ok,120,36,17.65059947372871,0.09448315968832827,98,32,-179.08064832614022,12,12,0.07692307692307693,0.046860749026300115,0.06869549984314043,1.437512366919691e-07
c-0p80__money-normal__income-biased__growth-preferential_debt__spend-low__topo-ba_k6,money-normal__income-biased__growth-preferential_debt__spend-low__topo-ba_k6,0.8,normal,biased,preferential_debt,low,ba_k6,360,33,6,39,80,ok,27,8.17787159800108,0.09106501955904045,168,24,-411.50065734399294,12,12,0.07692307692307693,0.041088318631227166,0.058660078495124425,ok,0.7843388960205392,0.2429140866991529,-5.360243204272299,-6.0935007492907936,1.1046781779844505e-09,3.3395544352706907,0.14281147180786377,True,False,24,-13.20245388336772,-3.149358306177958,0.0016362943689505233,ok,120,27,8.176372114476802,0.09100814545815483,168,24,-411.4974506285788,12,12,0.07692307692307693,0.04209841151819768,0.06548209442855667,0.0032067154141373067
c-0p50__money-pareto__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k6,money-pareto__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k6,0.5,pareto,biased,preferential_debt,high_income,ba_k6,360,38,5,44,80,ok,31,10.265678648090917,0.07397321772412804,114,28,-262.6596029287072,12,12,0.15384615384615385,0.046225886663367806,0.07226890087123089,ok,0.7574468085106383,0.27780196385207384,-2.2771997180735313,-4.032108864716017,5.5278568048698684e-05,3.412717496190641,0.13799101493205462,True,False,24,-5.15613023599676,-2.096364765822531,0.03604984547602084,ok,120,31,10.26532546774271,0.07396554732755259,114,28,-262.6592640639551,12,12,0.07692307692307693,0.04493234109999206,0.06272520334686507,0.00033886475210920253
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-er_k6,money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-er_k6,0.6,lognormal,biased,preferential_debt,baseline,er_k6,360,30,8,38,80,ok,29,13.86677478637394,0.06407981768921445,94,22,-176.97840014367722,12,12,0.38461538461538464,0.05098158465913862,0.08251613800018238,ok,0.6556776556776557,0.4220859893442047,-1.2043688370587475,-2.9461683814910997,0.003217372042263518,3.3170444392658354,0.1117384449378895,True,False,24,-3.058055747125203,-1.4825040516770918,0.138206226322045,ok,120,29,13.866772895312328,0.06407977192509007,94,22,-176.97839931107956,12,12,0.23076923076923078,0.04908242720194452,0.07522224296793042,8.325976637024723e-07
c-0p50__money-normal__income-biased__growth-random__spend-high_both__topo-sw_k24,money-normal__income-biased__growth-random__spend-high_both__topo-sw_k24,0.5,normal,biased,random,high_both,sw_k24,360,52,4,63,80,ok,51,14.972194354711279,0.08481535119971495,128,42,-302.0960219040621,12,12,0.15384615384615385,0.04449903882257214,0.072886235890472,ok,0.7706093189964157,0.2605737536937029,-1.591234412673141,-3.656931131218702,0.00025525292399732297,3.894582043949254,0.10142727123592743,True,False,24,-4.429953354818682,-1.8483733326836795,0.06454835376418244,ok,120,51,14.971289122390044,0.0847950462576359,128,42,-302.09534369010777,12,12,0.07692307692307693,0.036020736321088744,0.051286381780891635,0.0006782139543588528
c-0p50__money-normal__income-biased__growth-random__spend-high_both__topo-er_k12,money-normal__income-biased__growth-random__spend-high_both__topo-er_k12,0.5,normal,biased,random,high_both,er_k12,360,53,2,65,80,ok,54,18.194609870153037,0.07981727808430666,83,45,-182.43754764202913,12,12,0.23076923076923078,0.053866958528651004,0.08062234975487874,ok,0.7365079365079366,0.305835267159323,-0.7840070856562198,-2.8729728596912767,0.004066290473144236,3.9445867399868275,0.08729327684849479,True,False,24,-2.449995916314231,-1.3691313894691246,0.17095820793901206,ok,120,54,18.194396728235112,0.07981464620524714,83,45,-182.4374756459386,12,12,0.23076923076923078,0.05393853821289457,0.08677752590182583,7.199609052577216e-05
