c,mean_large_event_rate,mean_event_fraction,mean_event_occupancy,mean_propagated_share,saturated_scenarios,scenarios
0.1,0.0001314032368509839,0.009436809691061088,0.19125277777777774,0.02761965103261464,43,1000
0.2,0.03706633757912722,0.019492540061228053,0.37198055555555554,0.05719557951126502,194,1000
0.3,0.1176994994409426,0.03716331013341995,0.5324249999999999,0.08864385201992012,359,1000
0.4,0.21236153050700987,0.06407541424358058,0.6654638888888889,0.12161329480867512,527,1000
0.5,0.3250685758366184,0.1074693365677857,0.7798305555555555,0.15354363826326528,653,1000
0.6,0.5026141644581393,0.16521467262948508,0.8709972222222223,0.18743459223453163,804,1000
0.7,0.6152572356129522,0.21329046756009284,0.9331583333333333,0.21532630992403182,897,1000
0.8,0.757552579527183,0.26366787732333347,0.9749361111111111,0.24252421357663062,966,1000
