scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-sw_k24,0.6,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,sw_k24,sw,24,3,1.0,1.0,120.0,83763.66666666667,120.0,360,120.0,1.0,1.0,64.025,0.5335416666666667,68.0,78.0,82.0,87,58.84166666666667,5.183333333333334,0.0809579591305479,0.919042040869452,360.0,31.666666666666668,0.487333991440414,0.9273976682219812,24.0,0.5449760775908316,0.0672436730982259
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-er_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-er_k24,0.6,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,er_k24,er,24,3,1.0,1.0,120.0,100450.66666666669,120.0,360,120.0,1.0,1.0,63.94166666666667,0.5328472222222221,66.0,73.0,78.0,82,59.13611111111111,4.805555555555555,0.0751553064859463,0.9248446935140536,360.0,20.33333333333333,0.5555751856744978,0.9160142991770716,24.0,0.2035275194513927,0.1819461050242485
c-0p80__money-lognormal__income-biased__growth-random__spend-high_both__topo-er_k24,money-lognormal__income-biased__growth-random__spend-high_both__topo-er_k24,0.8,120,lognormal,biased,random,high_both,0.04,0.4,er_k24,er,24,3,1.0,1.0,120.0,25087.33333333333,120.0,360,120.0,1.0,1.0,63.92777777777778,0.5327314814814815,65.0,71.10000000000002,77.0,82,24.36111111111111,39.56666666666667,0.6189276092813071,0.381072390718693,480.0,90.0,0.4845531539809249,0.9876749218850815,24.0,0.2002121186306581,0.1848293515875556
c-0p70__money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k6,money-uniform__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k6,0.7,120,uniform,biased,preferential_debt,high_income,0.02,0.4,sw_k6,sw,6,3,1.0,1.0,120.0,137555.33333333334,120.0,360,120.0,1.0,1.0,63.90833333333333,0.5325694444444444,66.0,72.0,76.41000000000003,81,60.266666666666666,3.6416666666666666,0.0569826574520798,0.9430173425479202,420.0,28.0,0.334168941310971,0.8707297037267621,6.0,0.4497619047619047,0.124681426052172
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k6,money-lognormal__income-biased__growth-preferential_debt__spend-high_wealth__topo-sw_k6,0.8,120,lognormal,biased,preferential_debt,high_wealth,0.04,0.2,sw_k6,sw,6,3,1.0,1.0,120.0,92776.33333333331,120.0,360,120.0,1.0,1.0,63.769444444444446,0.5314120370370371,65.0,71.0,74.41000000000003,76,60.81944444444444,2.95,0.0462603998780328,0.9537396001219672,480.0,17.666666666666668,0.5302047503070836,0.8749277123866118,6.0,0.4707407407407409,0.1150564308256628
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-sw_k12,money-lognormal__income-biased__growth-preferential_debt__spend-baseline__topo-sw_k12,0.8,120,lognormal,biased,preferential_debt,baseline,0.02,0.2,sw_k12,sw,12,3,1.0,1.0,120.0,74323.66666666667,120.0,360,120.0,1.0,1.0,63.75833333333333,0.5313194444444445,66.0,72.0,76.0,80,60.87222222222222,2.886111111111111,0.0452664139763865,0.9547335860236136,480.0,14.333333333333334,0.5335143484338075,0.91126968620164,12.0,0.522079032079032,0.0906464099860284
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-ba_k24,0.8,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,ba_k24,ba,24,3,1.0,1.0,120.0,204407.0,120.0,360,120.0,1.0,1.0,63.452777777777776,0.5287731481481482,64.0,71.0,75.0,78,54.85,8.602777777777778,0.1355776386639233,0.8644223613360767,480.0,35.333333333333336,0.5416721384948148,0.8428312456399828,24.0,0.2808979860052751,0.4498150876517529
c-0p80__money-pareto__income-biased__growth-random__spend-high_both__topo-er_k12,money-pareto__income-biased__growth-random__spend-high_both__topo-er_k12,0.8,120,pareto,biased,random,high_both,0.04,0.4,er_k12,er,12,3,1.0,1.0,120.0,26251.33333333333,119.0,357,119.0,0.9916666666666668,1.0,63.09803921568628,0.5258169934640522,64.0,71.0,78.88,82,23.63305322128852,39.46498599439776,0.6254550297434076,0.3745449702565924,1127.6666666666667,12.0,0.2979951618954715,0.9864901852795352,12.0,0.106163653741053,0.2689885496029717
c-0p60__money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k12,money-lognormal__income-biased__growth-preferential_debt__spend-high_income__topo-sw_k12,0.6,120,lognormal,biased,preferential_debt,high_income,0.02,0.4,sw_k12,sw,12,3,1.0,1.0,120.0,69179.33333333333,120.0,360,120.0,1.0,1.0,62.891666666666666,0.5240972222222222,66.0,72.0,77.0,79,59.64722222222223,3.2444444444444445,0.051587827392783,0.948412172607217,360.0,25.33333333333333,0.5215587418908735,0.9071926669135352,12.0,0.5094067044067044,0.0922801886521472
c-0p80__money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-ba_k24,money-lognormal__income-biased__growth-preferential_debt__spend-high_both__topo-ba_k24,0.8,120,lognormal,biased,preferential_debt,high_both,0.04,0.4,ba_k24,ba,24,3,1.0,1.0,120.0,220971.66666666663,120.0,360,120.0,1.0,1.0,62.74444444444445,0.5228703703703704,64.0,70.10000000000002,74.41000000000003,76,53.48888888888889,9.255555555555556,0.147511953249513,0.852488046750487,480.0,40.0,0.5013047576200992,0.8104275722714164,24.0,0.2825802080643866,0.4577610442052187
