family,metric,log_log_slope,slope_stderr,r_squared,p_value,n_sizes
finite_fixed,mean_size,0.9722531096573033,0.01619347289045226,0.999445488671547,0.0002772941102382464,4
finite_fixed,second_moment,1.9309149749004972,0.03252206757687266,0.9994329600495026,0.00028356017843611525,4
finite_fixed,moment_ratio_m2_m1,0.9586618652431939,0.01633164984886291,0.9994198942072111,0.0002900949739413905,4
finite_fixed,p99,0.896899539008878,0.017436720437993682,0.9992446576444683,0.0003777425224724683,4
finite_fixed,max_size,0.8169800065219991,0.029411033007544225,0.9974147444455629,0.001293464302169034,4
finite_income,mean_size,0.9834657291561025,0.02016163548657908,0.9991601568987285,0.0004200097547327754,4
finite_income,second_moment,1.9246114104410121,0.037997077795807147,0.999221056681217,0.0003895475330317754,4
finite_income,moment_ratio_m2_m1,0.9411456812849098,0.018624931133013622,0.9992173535722038,0.0003913998108040495,4
finite_income,p99,0.8539328108949488,0.022434668855752557,0.9986214490848105,0.0006895131718017699,4
finite_income,max_size,0.7617666189657937,0.032914151352644166,0.9962800860519085,0.0018616899187224865,4
