family,n_nodes,fixed_k,k_per_node,c,runs,events,events_per_run,mean_size,second_moment,moment_ratio_m2_m1,p90,p95,p99,max_size,p99_fraction,max_fraction,event_critical_rate
finite_fixed,100,14,0.14,0.2,30,7125,237.5,6.087157894736842,46.88519298245614,7.7023126051970205,10.0,11.0,13.0,18,0.13,0.18,0.1511578947368421
finite_fixed,200,28,0.14,0.2,30,7328,244.26666666666668,11.411572052401747,163.30731441048036,14.310676360853344,19.0,21.0,23.0,29,0.115,0.145,0.0779203056768559
finite_fixed,500,70,0.14,0.2,30,7473,249.1,28.046300013381508,972.8858557473571,34.68856338565771,45.0,48.0,53.0,67,0.106,0.134,0.029573129934430616
finite_fixed,1000,140,0.14,0.2,30,7492,249.73333333333332,56.91444207154298,3974.634943940203,69.83526147799148,90.0,94.44999999999982,102.0,114,0.102,0.114,0.015616657768286172
finite_income,100,100,,0.18,30,6992,233.06666666666666,4.33566933638444,24.815932494279178,5.723668151080323,8.0,9.0,11.0,15,0.11,0.15,0.030463386727688786
finite_income,200,100,,0.18,30,7408,246.93333333333334,9.009719222462204,101.56857451403887,11.273223061248949,15.0,17.0,19.0,25,0.095,0.125,0.008774298056155507
finite_income,500,100,,0.18,30,7494,249.8,20.780224179343474,523.9045903389379,25.211690972021554,33.0,36.0,41.0,47,0.082,0.094,0.0
finite_income,1000,100,,0.18,30,7500,250.0,42.83826666666667,2190.719866666667,51.139320918680184,67.0,71.0,79.0,89,0.079,0.089,0.0
