family,scenario_id,scenario_index,n_nodes,money_distribution,control_name,control_value,window,runs,period_count,event_count,runs_with_events,avalanche_occupancy,one_period_wait_fraction,pooled_size_lag1_correlation,mean_event_size,median_event_size,p90_event_size,p95_event_size,p99_event_size,max_event_size,large_event_count,large_event_rate,mean_initial_default_count,mean_propagated_default_count,propagated_default_share,single_initial_default_fraction,mean_active_credit,mean_final_net_worth_gini,mean_period_length_steps,mean_issued_credit,unique_default_nodes_within_runs,total_default_occurrences_within_runs,repeated_default_occurrences_within_runs,repeated_default_share
fixed,fixed__N200__K24__lognormal__biased__random,36,200,lognormal,fixed_k,24.0,early,12,4800,4699,12,0.9789583333333334,0.9854917857904844,0.7597818582576819,11.5754415833156,12.0,19.0,20.0,22.0,26,302,0.06426899340285167,9.735475633113428,1.8399659502021706,0.1589542772047874,0.03298574164715897,761.3579166666667,0.8156420012282839,24.0,24.0,2086,54393,52307,0.9616494769547552
fixed,fixed__N200__K24__lognormal__biased__random,36,200,lognormal,fixed_k,24.0,late,12,4800,4800,12,1.0,1.0,-0.2297677158039636,21.5,22.0,25.0,26.0,29.0,34,3663,0.763125,8.703333333333333,12.796666666666667,0.5951937984496124,0.0,31.577708333333334,0.9932113542620367,24.0,24.0,2382,103200,100818,0.9769186046511628
fixed,fixed__N200__K24__pareto__biased__random,37,200,pareto,fixed_k,24.0,early,12,4800,4064,12,0.8466666666666667,0.9597729516288253,0.7907006042628939,10.227608267716535,10.0,18.0,20.0,23.0,29,243,0.05979330708661417,8.491141732283465,1.7364665354330708,0.16978226873571514,0.07012795275590551,1081.2647916666667,0.7501710290095859,24.0,24.0,2047,41565,39518,0.9507518344761218
fixed,fixed__N200__K24__pareto__biased__random,37,200,pareto,fixed_k,24.0,late,12,4800,4800,12,1.0,1.0,-0.24564734571914187,21.500208333333333,22.0,25.0,26.0,29.0,34,3658,0.7620833333333333,8.784375,12.715833333333334,0.5914283776319997,0.0,35.25958333333333,0.9930507707766094,24.0,24.0,2380,103201,100821,0.9769382079631012
fixed,fixed__N200__K26__lognormal__biased__random,38,200,lognormal,fixed_k,26.0,early,12,4800,4716,12,0.9825,0.9883078231292517,0.7767391491286304,13.42005937234945,14.0,21.0,22.0,25.0,30,761,0.16136556403731978,10.945080576759967,2.4749787955894824,0.18442383352557318,0.026293469041560644,694.1427083333333,0.8335531790437462,26.0,26.0,2128,63289,61161,0.9663764635244672
fixed,fixed__N200__K26__lognormal__biased__random,38,200,lognormal,fixed_k,26.0,late,12,4800,4800,12,1.0,1.0,-0.25051386341545007,22.972708333333333,23.0,27.0,28.0,31.0,37,4167,0.868125,9.311666666666667,13.661041666666666,0.5946639581387334,0.0,54.40145833333333,0.9921656710741081,26.0,26.0,2375,110269,107894,0.9784617616918626
fixed,fixed__N200__K26__pareto__biased__random,39,200,pareto,fixed_k,26.0,early,12,4800,4117,12,0.8577083333333333,0.9661388550548112,0.816436753275099,11.641000728685936,12.0,21.0,23.0,26.0,31,552,0.1340782122905028,9.308234151080883,2.332766577605052,0.20039227141843677,0.0638814670876852,1068.6372916666667,0.7598248478444305,26.0,26.0,2098,47926,45828,0.9562241789425364
fixed,fixed__N200__K26__pareto__biased__random,39,200,pareto,fixed_k,26.0,late,12,4800,4800,12,1.0,1.0,-0.23823526006421314,23.128541666666667,23.0,27.0,28.0,31.0,37,4167,0.868125,8.641875,14.486666666666666,0.6263545222803715,0.00020833333333333335,22.601875,0.9940346971742404,26.0,26.0,2384,111017,108633,0.9785258113622238
fixed,fixed__N200__K30__lognormal__biased__random,40,200,lognormal,fixed_k,30.0,early,12,4800,4737,12,0.986875,0.9925925925925926,0.8066058473816452,16.521849271690943,18.0,25.0,26.0,29.0,36,1913,0.4038420941524171,12.855393709098585,3.666455562592358,0.22191556782173158,0.022165927802406588,621.680625,0.8569678301819986,30.0,30.0,2210,78264,76054,0.9717622406214863
fixed,fixed__N200__K30__lognormal__biased__random,40,200,lognormal,fixed_k,30.0,late,12,4800,4800,12,1.0,1.0,-0.20207190366776268,26.221458333333334,26.0,30.0,32.0,35.0,42,4614,0.96125,8.832083333333333,17.389375,0.6631734504977634,0.0,16.4975,0.9947047408358524,30.0,30.0,2387,125863,123476,0.9810349348100713
