family,control_value,events,p_initial_default_count_eq_1,mean_initial_defaults,mean_propagated_defaults,mean_total_size,propagated_share_of_total_size
fixed,18.0,17025,0.08117474302496329,5.474361233480177,0.6906901615271659,6.1650513950073424,0.11203315548780488
fixed,20.0,17275,0.06448625180897251,6.510043415340087,0.8792474674384949,7.389290882778582,0.1189894242068155
fixed,22.0,17424,0.04924242424242424,7.6225321395775945,1.1425619834710743,8.765094123048668,0.1303536467984521
fixed,24.0,17525,0.041768901569186875,8.711840228245364,1.4385734664764622,10.150413694721825,0.14172559954127925
fixed,26.0,17601,0.037100164763365716,9.608885858758025,1.6685415601386284,11.277427418896654,0.1479540943303072
income,0.12,16615,0.15486006620523624,3.6421907914535057,0.4155281372253987,4.057718928678905,0.10240436672154733
income,0.14,17233,0.08750652817269193,5.056461440259966,0.6295479603087101,5.686009400568676,0.11071876881627155
income,0.16,17525,0.05072753209700428,6.637660485021398,0.9303281027104137,7.567988587731811,0.12292937442037563
income,0.18,17764,0.03383247016437739,8.142535464985365,1.3195226300382796,9.462058095023643,0.13945408248256824
income,0.2,17897,0.02045035480806839,10.009722299826787,1.826116108845058,11.835838408671844,0.15428700914901852
