money_distribution,metric,old_c020,new_c020,absolute_delta,relative_delta
lognormal,mean_events_per_run,298.28333333333336,298.23333333333335,-0.05000000000001137,-0.00016762585908258743
lognormal,event_large_event_rate,0.08180141923227356,0.09008606236727394,0.00828464313500038,0.10127749876168157
lognormal,mean_event_size,11.835838408671844,11.971219403151894,0.13538099448004992,0.011438225988355866
lognormal,p99_event_size,24.0,25.0,1.0,0.04166666666666674
lognormal,propagated_share_of_total_size,0.15428700914901852,0.1584637720399789,0.004176762890960389,0.02707138413011978
lognormal,wait_equal_1_fraction,0.9945058025452711,0.9950095323539307,0.0005037298086596476,0.0005065126893883942
pareto,mean_events_per_run,251.46666666666667,253.1,1.6333333333333258,0.00649522799575819
pareto,event_large_event_rate,0.04188759278897137,0.05485315422099302,0.012965561432021648,0.3095322640606688
pareto,mean_event_size,9.634080063626723,9.6659423152904,0.031862251663676844,0.003307243810851457
pareto,p99_event_size,22.0,23.0,1.0,0.045454545454545414
pareto,propagated_share_of_total_size,0.15597933392497196,0.18651515461178442,0.03053582068681246,0.1957683746841783
pareto,wait_equal_1_fraction,0.9577455416555762,0.957754859182864,9.317527287722172e-06,9.728604188241619e-06
