money_distribution,band,scenario_count,mean_events_per_run,event_large_event_rate,mean_event_size,p99_event_size,propagated_share_of_total_size,wait_equal_1_fraction,late_over_early_event_rate
lognormal,0.30<=c<=0.40,2,299.98333333333335,0.8483199336963366,30.096693589411167,45.5,0.34507192629062455,0.9999442524250195,1.0001111358079573
lognormal,c<=0.20,2,276.5,0.04504303118363697,7.3931067577057386,16.5,0.12911568801859508,0.9359981327867118,1.1426336719860204
lognormal,c>=0.50,4,300.0,0.9971111111111112,60.24847222222222,78.0,0.5454485619286285,1.0,1.0
pareto,0.30<=c<=0.40,2,287.64166666666665,0.7811075584557892,28.155599587893086,43.5,0.36473054983842834,0.9889950098463065,1.092166051382683
pareto,c<=0.20,2,196.95833333333331,0.02742657711049651,5.8432090556212914,15.0,0.15163142769544175,0.8245682151439413,2.5023548405461913
pareto,c>=0.50,4,298.80833333333334,0.9822762161362346,58.96057913787493,75.11499999999978,0.5808829631606298,0.9998877791493659,1.0080183486368914
