scenario_id,c,money_distribution,events,unique_sizes,sample_min,sample_max,min_tail_required,fit_status,xmin,alpha,ks,tail_n,candidate_count,powerlaw_loglikelihood,bootstrap_samples_requested,bootstrap_samples_valid,bootstrap_p,bootstrap_ks_mean,bootstrap_ks_p95,bootstrap_status,exponential_q,exponential_lambda,pl_vs_exponential_R,pl_vs_exponential_z,pl_vs_exponential_p,lognormal_mu,lognormal_sigma,lognormal_optimization_success,lognormal_optimization_at_boundary,lognormal_optimization_starts,pl_vs_lognormal_R,pl_vs_lognormal_z,pl_vs_lognormal_p,bounded_fit_status,bounded_xmax,bounded_xmin,bounded_alpha,bounded_ks,bounded_tail_n,bounded_candidate_count,bounded_powerlaw_loglikelihood,bounded_bootstrap_samples_requested,bounded_bootstrap_samples_valid,bounded_bootstrap_p,bounded_bootstrap_ks_mean,bounded_bootstrap_ks_p95,bounded_vs_unbounded_R_same_xmin
income__c0p10__lognormal__biased__random,0.1,lognormal,15286,13,1,16,100,ok,8,8.40545189896571,0.02790288366410676,283,9,-338.7971749517334,40,40,0.1951219512195122,0.01992379854112767,0.034296763357336925,ok,0.4259634888438134,0.8534016433252214,-2.500205632391778,-1.5627792778395775,0.11810451987367251,1.6431772787500705,0.2910834254115127,True,False,24,-2.6102403436226855,-1.2437155475233153,0.2136042717920683,ok,200,8,8.405451616726667,0.027902869834227184,283,9,-338.79717494372903,40,40,0.17073170731707318,0.018793318705671164,0.03238220020388913,8.00434918346582e-09
income__c0p20__lognormal__biased__random,0.2,lognormal,17894,32,1,32,100,ok,23,13.154898756666377,0.03416014160791814,503,26,-861.1896847816324,40,40,0.024390243902439025,0.016896661951450898,0.02528159458910856,ok,0.60641627543036,0.5001886055841329,-4.515398640545511,-4.262146581751874,2.0247255650384723e-05,2.954733184319864,0.15799792334477814,True,False,24,-7.198594898235838,-2.3886845270303323,0.0169088146830022,ok,200,23,13.15489844996262,0.03416013376980653,503,26,-861.1896847801825,40,40,0.024390243902439025,0.0165131400570919,0.025927751739875455,1.4499619283014908e-09
income__c0p30__lognormal__biased__random,0.3,lognormal,17998,48,1,50,100,ok,39,20.340484107321238,0.029262227625991066,285,41,-499.22931305534115,40,40,0.07317073170731707,0.020742369919421293,0.028888567562004207,ok,0.62,0.4780358009429998,-1.1812181322601878,-2.1712188111445463,0.02991463605003027,3.4307267052991093,0.12750538716504667,True,False,24,-1.927456048093922,-1.2241630763627955,0.22089071509193603,ok,200,39,20.34048301537749,0.029262210601197214,285,41,-499.2293130553365,40,40,0.21951219512195122,0.021413955271032105,0.03332003456986612,4.661160346586257e-12
income__c0p40__lognormal__biased__random,0.4,lognormal,18000,62,1,62,100,ok,48,21.300316347206373,0.035497836238589375,798,53,-1522.3246764753421,40,40,0.024390243902439025,0.014622796112242773,0.02159079139856129,ok,0.6649874055415617,0.4079871775408743,-3.390439583178773,-3.7324170254365017,0.00018965117864221104,3.668727351048181,0.1176933132773318,True,False,24,-6.024944953481328,-2.046293355341014,0.04072751706219042,ok,200,48,21.300315927543544,0.035497828752226956,798,53,-1522.3246764751748,40,40,0.024390243902439025,0.015312315254953607,0.025873490113161646,1.673470251262188e-10
income__c0p50__lognormal__biased__random,0.5,lognormal,18000,68,6,73,100,ok,60,22.819645017210107,0.03767174878239843,752,60,-1545.4310620370406,40,40,0.024390243902439025,0.014864864782071649,0.023910892053893865,ok,0.7034700315457413,0.3517300024171619,-3.808280036152016,-5.198471218210622,2.0093422906629952e-07,3.972030791491182,0.09445121638476345,True,False,24,-8.965172020250524,-2.6691830345651684,0.007603600207188531,ok,200,60,22.81964529615521,0.03767175326386896,752,60,-1545.4310620347155,40,40,0.024390243902439025,0.014894028488636597,0.02275073751572866,2.325123205082491e-09
income__c0p60__lognormal__biased__random,0.6,lognormal,18000,76,7,83,100,ok,69,24.464133992073275,0.0389858018691622,923,68,-1956.0873632417588,40,40,0.024390243902439025,0.013862481730659118,0.020675814414492587,ok,0.7190258751902587,0.3298579341614033,-5.2211639606868285,-7.15001218881667,8.67701955397726e-13,4.159818087116028,0.07730227081172317,True,False,24,-16.021846452542523,-3.5203336018675513,0.0004310043327608711,ok,200,69,24.464132596189355,0.0389857874838139,923,68,-1956.0873632312148,40,40,0.024390243902439025,0.013493805446595031,0.0211137218629083,1.0543999451329e-08
income__c0p70__lognormal__biased__random,0.7,lognormal,18000,81,11,95,100,ok,78,28.02043357435252,0.023492196568693502,770,71,-1614.0104424663987,40,40,0.0975609756097561,0.014508546211603215,0.024474886421546924,ok,0.7141796585003712,0.33662072574465746,-2.0104476992911744,-2.932327600037995,0.003364316538229465,4.13147520176862,0.10306532668975196,True,False,24,-3.6178524315255958,-1.6188115752692687,0.10548781082433231,ok,200,78,28.020435861102666,0.023492225827274005,770,71,-1614.01044246097,40,40,0.14634146341463414,0.015289719309741772,0.025744952010714105,5.428773874882609e-09
income__c0p80__lognormal__biased__random,0.8,lognormal,18000,83,16,106,100,ok,90,29.75688917263057,0.027585858476701086,392,71,-852.4923893108212,40,40,0.14634146341463414,0.020255782877380873,0.030188621860374586,ok,0.7331518039482642,0.3104024990174887,-0.3273660066871711,-0.663197174380628,0.5072042809425565,3.800738436810463,0.1626695495323971,True,False,24,-0.3142431816798119,-0.5065408620473489,0.6124770117238685,ok,200,90,29.756884710426167,0.02758589445546039,392,71,-852.4923892775894,40,40,0.0975609756097561,0.02013847010287874,0.027760562965802826,3.323179953440558e-08
income__c0p10__pareto__biased__random,0.1,pareto,8449,12,1,12,100,ok,6,6.079417406346073,0.03255132217068191,232,7,-307.20717090049925,40,40,0.12195121951219512,0.01877109383715132,0.03802373842281915,ok,0.4727272727272727,0.7492366472109889,-2.8772818635422377,-1.743401418774485,0.0812635206561206,1.2658002488405171,0.39859648383561,True,False,24,-2.6409290260905682,-1.5534556451853427,0.12031431791927526,ok,200,6,6.0794160209657635,0.03255123127337867,232,7,-307.2071680783704,40,40,0.14634146341463414,0.020997240172185093,0.03327866662100028,2.8221288630447816e-06
income__c0p20__pareto__biased__random,0.2,pareto,15186,31,1,32,100,ok,23,15.900842160101972,0.017236008064474007,219,24,-328.42088636388985,40,40,0.6829268292682927,0.022771773298327917,0.038026569459539396,ok,0.5399159663865546,0.6163417693362002,-0.0012503976190253452,-0.0017679793188770435,0.9985893573325355,1.1823281688056857,0.37262692172040957,True,False,24,-0.08896611298137103,-0.280351190131321,0.7792080806526057,ok,200,23,15.90084253431105,0.017236013417085472,219,24,-328.42088636388746,40,40,0.7317073170731707,0.02225221718318718,0.03305220344249669,2.3874235921539366e-12
income__c0p30__pareto__biased__random,0.3,pareto,16873,44,1,44,100,ok,36,25.350774595901555,0.025977126553610286,421,38,-605.7917581053218,40,40,0.0975609756097561,0.016082919580536148,0.027649870196153763,ok,0.5177548682703322,0.6582533760073709,-1.224786121800212,-2.0698018954319863,0.03847089981508123,3.3583532694870697,0.10874237714375028,True,False,24,-2.1907114511940513,-1.1447200781164295,0.25232513148510893,ok,200,36,25.350776696006992,0.025977156826368364,421,38,-605.7917581053248,40,40,0.07317073170731707,0.01598359545147611,0.025694332790447517,-2.9558577807620168e-12
income__c0p40__pareto__biased__random,0.4,pareto,17644,57,1,57,100,ok,46,23.704973086855002,0.02173690127822958,1159,51,-2028.6904600471328,40,40,0.04878048780487805,0.011695782749198184,0.01745007863366799,ok,0.62,0.4780358009429998,-3.2948740266031606,-3.4400616330881113,0.0005815817297503418,3.5422875461557215,0.1254875278778877,True,False,24,-4.951171715419223,-1.995858148811096,0.04594936525555558,ok,200,46,23.70497296513415,0.02173689930832068,1159,51,-2028.6904600471303,40,40,0.024390243902439025,0.011091013004733608,0.019434578310339463,2.5011104298755527e-12
income__c0p50__pareto__biased__random,0.5,pareto,17882,68,1,68,100,ok,58,29.360292340216915,0.0251880929496886,657,61,-1151.6094466360757,40,40,0.04878048780487805,0.01486548308063188,0.023744949359070375,ok,0.6206697459584296,0.47695614856061724,-2.0199045243972495,-3.555983465683531,0.00037656776141008056,3.9072795166794103,0.08578384735586901,True,False,24,-4.634832299704947,-1.8463992002539413,0.06483426326645722,ok,200,58,29.360285557267012,0.0251880114386952,657,61,-1151.609446636076,40,40,0.0975609756097561,0.01580597546357653,0.027092219091477375,-2.2737367544323206e-13
income__c0p60__pareto__biased__random,0.6,pareto,17929,81,1,81,100,ok,72,40.22373059935422,0.02273035287191516,115,72,-188.4819689809407,40,40,0.7317073170731707,0.0258973326729514,0.03295163448018276,ok,0.5863309352517985,0.5338709128838749,0.0482231317803723,0.2492436876186934,0.8031722876446135,-11.815015854084871,0.6415990160376674,True,False,24,0.0010413691597648267,0.0905358818786595,0.9278613814057706,ok,200,72,40.22373554664949,0.02273032102931416,115,72,-188.4819689809425,40,40,0.6829268292682927,0.025660050612049855,0.036377588009880855,-1.7905676941154525e-12
income__c0p70__pareto__biased__random,0.7,pareto,17948,90,1,91,100,ok,77,31.446630158967782,0.019614412739792586,626,80,-1227.6883271429424,40,40,0.24390243902439024,0.016067937712241846,0.025282302408672436,ok,0.6801226366888095,0.3854821490009645,-1.0857715413764337,-1.8938534002990695,0.05824447131272339,4.042244913277578,0.10827991227495691,True,False,24,-1.677665980614118,-1.104549327798638,0.2693549181391154,ok,200,77,31.446632368972498,0.019614436600600582,626,80,-1227.6883271428223,40,40,0.1951219512195122,0.014407455192812443,0.023885394612911972,1.2005330063402653e-10
income__c0p80__pareto__biased__random,0.8,pareto,17955,103,1,113,100,ok,89,23.375076339672514,0.02217505781535356,308,88,-746.1754081854774,40,40,0.5121951219512195,0.02086345226530303,0.02760244470119755,ok,0.7853658536585366,0.24160561415394513,0.0707852938240967,0.11455901135351569,0.9087946699432832,1.6347285275629995,0.3623212698795676,True,False,24,-0.03214454951923784,-0.16066257950105603,0.8723591637154079,ok,200,89,23.3750717212544,0.022175115936468814,308,88,-746.1754046977496,40,40,0.3170731707317073,0.019782866808763684,0.02722515751646329,3.4877277812483953e-06
