scenario_id,factor_family,money_distribution,income_distribution_rule,growth_rule,a,b,topology,target_mean_degree,runs,seeds,default_run_rate,critical_run_rate,mean_first_cascade_credit,mean_max_collapse_size,mean_avalanche_count,event_count,critical_event_rate,mean_event_size,p90_event_size,max_event_size,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,mean_topology_lcc_fraction,mean_topology_path_length
money_distribution__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,lognormal,biased,random,0.02,0.2,er,12,8,2026060496;2026060497;2026060498;2026060499;2026060500;2026060501;2026060502;2026060503,1.0,0.0,72.5,16.25,227.25,1818,0.0,6.1545654565456545,11.0,18,0.5213441127707619,0.8459554639258612,12.0,0.061478043555592214,0.2733769628636893,1.0,2.399001256281407
money_distribution__money-pareto__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,money_distribution,pareto,biased,random,0.02,0.2,er,12,8,2026060504;2026060505;2026060506;2026060507;2026060508;2026060509;2026060510;2026060511,1.0,0.0,607.5,13.0,169.125,1353,0.0,4.446415373244641,9.0,17,0.3377388002652061,0.8072854091991117,12.0,0.06121878444188769,0.28306558421430195,1.0,2.399403266331658
income_rule__money-lognormal__income-uniform__growth-random__a-0.020__b-0.200__topo-er__k-12,income_rule,lognormal,uniform,random,0.02,0.2,er,12,8,2026060512;2026060513;2026060514;2026060515;2026060516;2026060517;2026060518;2026060519,0.75,0.0,450.0,0.75,0.875,7,0.0,1.0,1.0,1,0.4911141969685771,0.13131174645022248,12.0,0.06055918353999896,0.2840739463608425,1.0,2.399572864321608
income_rule__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,income_rule,lognormal,biased,random,0.02,0.2,er,12,8,2026060520;2026060521;2026060522;2026060523;2026060524;2026060525;2026060526;2026060527,1.0,0.0,72.5,15.875,228.75,1830,0.0,6.203825136612022,11.0,18,0.5287699068189744,0.8569264891274961,12.0,0.0637924641094629,0.27425635538238374,1.0,2.399918341708543
ab_grid__money-lognormal__income-biased__growth-random__a-0.010__b-0.100__topo-er__k-12,ab_grid,lognormal,biased,random,0.01,0.1,er,12,8,2026060528;2026060529;2026060530;2026060531;2026060532;2026060533;2026060534;2026060535,1.0,0.0,115.0,16.375,224.375,1795,0.0,7.061838440111421,12.0,18,0.5006815053964639,0.868731057697195,12.0,0.06098305070706087,0.27383900078421397,1.0,2.3996293969849245
ab_grid__money-lognormal__income-biased__growth-random__a-0.010__b-0.200__topo-er__k-12,ab_grid,lognormal,biased,random,0.01,0.2,er,12,8,2026060536;2026060537;2026060538;2026060539;2026060540;2026060541;2026060542;2026060543,1.0,0.0,42.5,16.5,228.875,1831,0.0,7.103768432550519,12.0,18,0.5156225542391674,0.8679809617073302,12.0,0.061130230781710565,0.2732790922094,1.0,2.4021293969849244
ab_grid__money-lognormal__income-biased__growth-random__a-0.010__b-0.300__topo-er__k-12,ab_grid,lognormal,biased,random,0.01,0.3,er,12,8,2026060544;2026060545;2026060546;2026060547;2026060548;2026060549;2026060550;2026060551,1.0,0.0,52.5,16.25,232.0,1856,0.0,7.085129310344827,12.0,18,0.5036858030209846,0.8742678105918473,12.0,0.059974253105892585,0.2761527486909395,1.0,2.39910175879397
ab_grid__money-lognormal__income-biased__growth-random__a-0.020__b-0.100__topo-er__k-12,ab_grid,lognormal,biased,random,0.02,0.1,er,12,8,2026060552;2026060553;2026060554;2026060555;2026060556;2026060557;2026060558;2026060559,1.0,0.0,62.5,16.625,226.0,1808,0.0,6.193030973451328,11.0,19,0.523312526475101,0.843790583050498,12.0,0.059899586698981336,0.2814291703226851,1.0,2.39947864321608
ab_grid__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,ab_grid,lognormal,biased,random,0.02,0.2,er,12,8,2026060560;2026060561;2026060562;2026060563;2026060564;2026060565;2026060566;2026060567,1.0,0.0,62.5,15.875,225.875,1807,0.0,6.338129496402877,11.0,18,0.5283668144048802,0.8553902955391183,12.0,0.05852850352841094,0.27910344982204705,1.0,2.3973052763819096
ab_grid__money-lognormal__income-biased__growth-random__a-0.020__b-0.300__topo-er__k-12,ab_grid,lognormal,biased,random,0.02,0.3,er,12,8,2026060568;2026060569;2026060570;2026060571;2026060572;2026060573;2026060574;2026060575,1.0,0.0,35.0,16.125,232.5,1860,0.0,6.513978494623656,11.0,18,0.5039880422218855,0.846086450310092,12.0,0.059735319950265146,0.2689172489615167,1.0,2.3994221105527638
ab_grid__money-lognormal__income-biased__growth-random__a-0.040__b-0.100__topo-er__k-12,ab_grid,lognormal,biased,random,0.04,0.1,er,12,8,2026060576;2026060577;2026060578;2026060579;2026060580;2026060581;2026060582;2026060583,1.0,0.0,95.0,12.0,220.5,1764,0.0,4.387755102040816,8.0,14,0.523761569250593,0.7901923757395416,12.0,0.05923810615329911,0.277451702054747,1.0,2.39731783919598
ab_grid__money-lognormal__income-biased__growth-random__a-0.040__b-0.200__topo-er__k-12,ab_grid,lognormal,biased,random,0.04,0.2,er,12,8,2026060584;2026060585;2026060586;2026060587;2026060588;2026060589;2026060590;2026060591,1.0,0.0,40.0,13.875,229.5,1836,0.0,4.616013071895424,8.0,16,0.5096987521949616,0.7865082523108844,12.0,0.0599340187085446,0.28304799686268334,1.0,2.401218592964824
ab_grid__money-lognormal__income-biased__growth-random__a-0.040__b-0.300__topo-er__k-12,ab_grid,lognormal,biased,random,0.04,0.3,er,12,8,2026060592;2026060593;2026060594;2026060595;2026060596;2026060597;2026060598;2026060599,1.0,0.0,35.0,12.125,226.5,1812,0.0,4.419426048565121,8.0,13,0.5113883482166575,0.7806421496643996,12.0,0.06081715885388145,0.2729740019335595,1.0,2.3985489949748744
topology_growth__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-er__k-12,topology_growth,lognormal,biased,random,0.02,0.2,er,12,8,2026060600;2026060601;2026060602;2026060603;2026060604;2026060605;2026060606;2026060607,1.0,0.0,37.5,15.625,227.375,1819,0.0,6.309510720175921,11.0,17,0.5155505821976893,0.8574388904152073,12.0,0.05948608691504979,0.2701698226944372,1.0,2.3984736180904522
topology_growth__money-lognormal__income-biased__growth-preferential_debt__a-0.020__b-0.200__topo-er__k-12,topology_growth,lognormal,biased,preferential_debt,0.02,0.2,er,12,8,2026060608;2026060609;2026060610;2026060611;2026060612;2026060613;2026060614;2026060615,1.0,0.0,30.0,5.75,151.375,1211,0.0,1.6977704376548308,3.0,8,0.5115917464534923,0.570032406666554,12.0,0.058498175350462374,0.2715766155010501,1.0,2.39803391959799
topology_growth__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-ba__k-12,topology_growth,lognormal,biased,random,0.02,0.2,ba,12,8,2026060616;2026060617;2026060618;2026060619;2026060620;2026060621;2026060622;2026060623,1.0,0.125,70.0,16.25,230.0,1840,0.0005434782608695652,6.789673913043479,11.0,23,0.5296843518282415,0.847198372964508,12.0,0.13378666028983327,0.733577019531394,1.0,2.337638190954774
topology_growth__money-lognormal__income-biased__growth-preferential_debt__a-0.020__b-0.200__topo-ba__k-12,topology_growth,lognormal,biased,preferential_debt,0.02,0.2,ba,12,8,2026060624;2026060625;2026060626;2026060627;2026060628;2026060629;2026060630;2026060631,1.0,0.0,40.0,5.375,169.625,1357,0.0,1.7649226234340456,3.0,8,0.4989335292049327,0.5612874554934453,12.0,0.13067649687929,0.7241296353324888,1.0,2.3428768844221106
topology_growth__money-lognormal__income-biased__growth-random__a-0.020__b-0.200__topo-sw__k-12,topology_growth,lognormal,biased,random,0.02,0.2,sw,12,8,2026060632;2026060633;2026060634;2026060635;2026060636;2026060637;2026060638;2026060639,1.0,0.125,55.0,15.875,227.625,1821,0.0005491488193300384,6.234486545853926,11.0,20,0.5199387653891268,0.8442915448005519,12.0,0.5096924863331115,0.08809499673902153,1.0,2.96053391959799
topology_growth__money-lognormal__income-biased__growth-preferential_debt__a-0.020__b-0.200__topo-sw__k-12,topology_growth,lognormal,biased,preferential_debt,0.02,0.2,sw,12,8,2026060640;2026060641;2026060642;2026060643;2026060644;2026060645;2026060646;2026060647,1.0,0.0,40.0,5.375,162.75,1302,0.0,1.7165898617511521,3.0,7,0.5327097878239226,0.5943029836255722,12.0,0.5080393356643357,0.09031143075381079,1.0,2.9682223618090453
