scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,protocol,fit_status,alpha,bootstrap_p,bounded_alpha,bounded_bootstrap_p,pl_vs_exponential_R,pl_vs_lognormal_R,gate_event_count,gate_not_saturated,gate_has_transition,gate_propagation,gate_tail_plausible,gate_alternative_not_better,soc_screen_score,quick_soc_candidate
critical__base0067__c-0p200__money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,0.2,120,pareto,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,7400.875,213.5,5124,213.5,0.8895833333333333,0.594847775175644,12.931108508977362,0.1077592375748112,14.0,21.0,26.0,32,9.517564402810304,3.413544106167057,0.2639792330098552,0.7360207669901447,662.625,188.04166666666663,0.3057797034022657,0.9567178372208494,119.0,1.0,0.0,period_end_critical_refined,ok,22.043939361564966,0.8571428571428571,22.04393693121233,0.9523809523809523,0.1324456900438573,0.0016132344476034177,True,False,True,True,True,True,5,True
critical__base0059__c-0p225__money-pareto__income-biased__growth-random__spend-high_income__topo-complete,money-pareto__income-biased__growth-random__spend-high_income__topo-complete,0.225,120,pareto,biased,random,high_income,0.02,0.4,complete,complete,0,24,1.0,1.0,240.0,6543.125,216.125,5187,216.125,0.9005208333333333,0.5787545787545788,12.047426257952576,0.1003952188162714,13.0,19.0,23.0,30,9.074416811258915,2.9730094466936574,0.2467754840774524,0.7532245159225476,643.0,189.70833333333331,0.3169538632035254,0.955931440142386,119.0,1.0,0.0,period_end_critical_refined,ok,22.356727091487027,0.3333333333333333,22.356728431686115,0.47619047619047616,0.08111355588244495,0.001319036192668932,True,False,True,True,True,True,5,True
critical__base0047__c-0p250__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.25,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,10115.708333333334,197.16666666666663,4732,197.16666666666663,0.8215277777777777,0.5703719357565511,12.761622992392224,0.1063468582699351,13.0,23.0,27.0,35,10.046703296703296,2.7149196956889265,0.2127409419089885,0.7872590580910115,1486.4583333333333,592.4583333333334,0.0,0.9029985532407409,119.0,1.0,0.0,period_end_critical_refined,ok,17.941832135990563,0.6666666666666666,17.941832431209964,0.5714285714285714,0.23298388618554933,0.0024614425806532836,True,False,True,True,True,True,5,True
critical__base0058__c-0p200__money-pareto__income-biased__growth-random__spend-high_income__topo-complete,money-pareto__income-biased__growth-random__spend-high_income__topo-complete,0.2,120,pareto,biased,random,high_income,0.02,0.4,complete,complete,0,24,1.0,1.0,240.0,5630.583333333333,208.58333333333331,5006,208.58333333333331,0.8690972222222222,0.4200958849380743,9.84858170195765,0.0820715141829803,10.0,16.0,20.0,25,7.725928885337595,2.122652816620056,0.215528781793842,0.784471218206158,599.8333333333334,259.375,0.318243869574471,0.9424054042133976,119.0,1.0,0.0,period_end_critical_refined,ok,17.31728040793274,0.9047619047619048,17.317279591264057,0.9523809523809523,0.015553154495052013,-0.043444397749585306,True,False,True,True,True,True,5,True
critical__base0046__c-0p225__money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,money-equal__income-biased__growth-random__spend-high_wealth__topo-complete,0.225,120,equal,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,8867.458333333334,187.04166666666663,4489,187.04166666666663,0.7793402777777778,0.4038761416796614,9.94163510804188,0.0828469592336823,10.0,18.0,23.0,28,8.195589218088662,1.746045889953219,0.1756296495473693,0.8243703504526306,1385.7916666666667,804.4166666666666,0.0,0.8710842013888889,119.0,1.0,0.0,period_end_critical_refined,ok,18.970910783194743,0.23809523809523808,18.970912116582348,0.23809523809523808,-0.6193520978282515,-1.6583206455978512,True,True,True,True,True,False,5,True
critical__base0064__c-0p125__money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,money-pareto__income-biased__growth-random__spend-high_wealth__topo-complete,0.125,120,pareto,biased,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.875,240.0,4295.833333333333,183.79166666666663,4411,183.79166666666663,0.7657986111111111,0.0408070732260258,4.778734980729993,0.0398227915060832,4.0,9.0,14.0,21,4.050328723645432,0.7284062570845613,0.152426585701409,0.847573414298591,581.7083333333334,704.875,0.3283228046713978,0.8558273651059295,119.0,1.0,0.0,period_end_critical_refined,ok,9.571560574979616,0.9523809523809523,9.571558797271848,0.8571428571428571,-0.23380293147209552,-0.21213268218498005,True,True,True,True,True,False,5,True
critical__base0076__c-0p800__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,277439.9166666667,205.25,4926,205.25,0.8552083333333333,0.0365408038976857,4.210515631343889,0.035087630261199,3.0,8.0,15.0,30,2.282379212342672,1.928136419001218,0.4579335615447664,0.5420664384552336,4588.583333333333,14563.791666666666,0.0,0.3023677662037037,119.0,1.0,0.0,period_end_critical_refined,ok,7.155989848785532,0.7142857142857143,7.155811514243627,0.9047619047619048,0.6447712937426111,-0.0011165055364337206,True,False,True,True,True,True,5,True
critical__base0090__c-0p800__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,273685.3333333333,207.0,4968,207.0,0.8625,0.0354267310789049,4.226449275362318,0.0352204106280192,3.0,8.0,15.0,27,2.281400966183575,1.945048309178744,0.4602086012287469,0.539791398771253,1525.7916666666667,14378.708333333334,0.2834266726167953,0.3034947420898723,119.0,1.0,0.0,period_end_critical_refined,ok,7.313993487746608,0.2857142857142857,7.313904104237978,0.47619047619047616,0.9008698642174571,-0.0023605645671693765,True,False,True,True,True,True,5,True
critical__base0096__c-0p775__money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,money-pareto__income-uniform__growth-random__spend-high_wealth__topo-complete,0.775,120,pareto,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,227314.0833333333,193.75,4650,193.75,0.8072916666666666,0.0225806451612903,3.5316129032258066,0.0294301075268816,3.0,7.0,14.0,32,1.9941935483870967,1.5374193548387096,0.4353306540007307,0.5646693459992693,2671.833333333333,15300.5,0.3050734390267061,0.2945182678103652,119.0,1.0,0.0,period_end_critical_refined,ok,5.999499026036913,0.2857142857142857,5.99902185400458,0.38095238095238093,0.929927240665926,-0.12534785225997958,True,False,True,True,True,True,5,True
critical__base0075__c-0p775__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.775,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,227267.66666666663,189.5,4548,189.5,0.7895833333333333,0.0219876868953386,3.567062445030783,0.0297255203752564,3.0,7.0,14.0,24,1.9797713280562883,1.5872911169744943,0.4449855143931455,0.5550144856068545,5140.333333333333,15562.708333333334,0.0,0.3042358217592593,119.0,1.0,0.0,period_end_critical_refined,ok,5.810574662110165,0.3333333333333333,5.809887351748305,0.23809523809523808,-1.2914203378254956,-1.1659024076420712,True,True,True,True,True,False,5,True
