scenario_id,scenario_base_id,c,n_nodes,money_distribution,income_distribution_rule,growth_rule,spending_label,a,b,topology_label,topology_family,target_mean_degree_requested,runs,run_default_rate,run_large_event_rate,mean_periods_completed,mean_time_steps_completed,mean_avalanche_count,event_count,events_per_run,event_occupancy,event_large_event_rate,mean_event_size,mean_event_fraction,median_event_size,p90_event_size,p99_event_size,max_event_size,mean_initial_default_count,mean_propagated_default_count,propagated_share_total,initial_share_total,mean_first_cascade_credit,mean_final_active_credit,mean_initial_gini,mean_final_net_worth_gini,mean_topology_degree,mean_topology_clustering,mean_topology_degree_cv,protocol
critical__base0040__c-0p300__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.3,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,12658.0,213.33333333333331,5120,213.33333333333331,0.8888888888888888,0.7615234375,19.2181640625,0.1601513671874999,21.0,30.0,35.0,42,13.964453125,5.2537109375,0.2733721556551521,0.726627844344848,1302.75,326.2916666666667,0.0,0.9383489583333332,24.0,0.2009234100429616,0.18031965709073,period_end_critical_refined
critical__base0041__c-0p325__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.325,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,13968.958333333334,216.45833333333331,5195,216.45833333333331,0.9019097222222222,0.8015399422521655,21.840038498556304,0.1820003208213025,25.0,33.0,38.0,44,15.176323387872957,6.663715110683349,0.3051146229034276,0.6948853770965723,1442.375,255.58333333333331,0.0,0.947175636574074,24.0,0.2006717311528137,0.1790617069168925,period_end_critical_refined
critical__base0042__c-0p350__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.35,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,15321.625,219.79166666666663,5275,219.79166666666663,0.9157986111111112,0.8346919431279621,24.454976303317537,0.2037914691943128,27.0,36.0,41.0,46,16.351469194312795,8.10350710900474,0.3313643410852713,0.6686356589147286,1363.375,214.95833333333331,0.0,0.9550043402777778,24.0,0.2024254091943996,0.1756944313287357,period_end_critical_refined
critical__base0043__c-0p375__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.375,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,16679.666666666668,224.16666666666663,5380,224.16666666666663,0.9340277777777778,0.8661710037174721,26.94256505576208,0.224521375464684,30.0,38.0,43.0,50,17.481226765799256,9.461338289962825,0.351166946071431,0.6488330539285689,1418.5833333333333,212.91666666666663,0.0,0.9595101273148148,24.0,0.2008767961053028,0.181405377792636,period_end_critical_refined
critical__base0044__c-0p400__money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,money-equal__income-biased__growth-random__spend-high_wealth__topo-er_k24,0.4,120,equal,biased,random,high_wealth,0.04,0.2,er_k24,er,24,24,1.0,1.0,240.0,18021.291666666668,225.375,5409,225.375,0.9390625,0.8848215936402293,29.48141985579589,0.2456784987982991,33.0,41.0,46.0,51,18.285265298576448,11.19615455721945,0.3797698554541749,0.6202301445458251,1426.1666666666667,174.33333333333334,0.0,0.9652884837962964,24.0,0.2029284145964608,0.1795943375010693,period_end_critical_refined
critical__base0027__c-0p400__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.4,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.0,240.0,41298.958333333336,9.708333333333334,233,9.708333333333334,0.0404513888888888,0.0,1.1201716738197425,0.0093347639484978,1.0,1.0,3.0,4,1.03862660944206,0.0815450643776824,0.0727969348659003,0.9272030651340996,10380.958333333334,36614.0,0.0,0.2437861689814815,119.0,1.0,0.0,period_end_critical_refined
critical__base0028__c-0p425__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.425,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.0,240.0,48448.16666666666,18.541666666666668,445,18.541666666666668,0.0772569444444444,0.0,1.3393258426966292,0.0111610486891385,1.0,2.0,5.0,10,1.0382022471910113,0.3011235955056179,0.2248322147651006,0.7751677852348994,9568.583333333334,36755.625,0.0,0.2694866898148148,119.0,1.0,0.0,period_end_critical_refined
critical__base0029__c-0p450__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.45,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.1666666666666666,240.0,58366.5,32.666666666666664,784,32.666666666666664,0.1361111111111111,0.0051020408163265,1.5688775510204085,0.0130739795918367,1.0,3.0,8.169999999999959,27,1.0994897959183674,0.4693877551020408,0.2991869918699187,0.7008130081300813,7532.416666666667,33124.625,0.0,0.2672861689814814,119.0,1.0,0.0,period_end_critical_refined
critical__base0030__c-0p475__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.475,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.2916666666666667,240.0,72151.5,56.083333333333336,1346,56.083333333333336,0.2336805555555555,0.0059435364041604,1.8172362555720651,0.0151436354631005,1.0,3.0,10.0,23,1.1478454680534915,0.6693907875185735,0.3683565004088307,0.6316434995911693,6481.083333333333,26176.45833333333,0.0,0.2783289930555555,119.0,1.0,0.0,period_end_critical_refined
critical__base0031__c-0p500__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.4166666666666667,240.0,90316.41666666669,85.58333333333333,2054,85.58333333333333,0.3565972222222222,0.0063291139240506,1.9644595910418696,0.0163704965920155,1.0,4.0,10.0,28,1.244888023369036,0.7195715676728335,0.3662949194547708,0.6337050805452292,6046.583333333333,22690.125,0.0,0.2854085648148148,119.0,1.0,0.0,period_end_critical_refined
critical__base0032__c-0p525__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.5416666666666666,240.0,114525.41666666669,113.5,2724,113.5,0.4729166666666666,0.0069750367107195,2.2536710719530104,0.018780592266275,2.0,5.0,11.0,19,1.3770190895741556,0.8766519823788547,0.3889884345984688,0.6110115654015312,5973.541666666667,20328.041666666668,0.0,0.289667824074074,119.0,1.0,0.0,period_end_critical_refined
critical__base0033__c-0p550__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.55,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.875,240.0,148787.70833333334,147.29166666666666,3535,147.29166666666666,0.6137152777777778,0.0113154172560113,2.6495049504950496,0.022079207920792,2.0,5.0,12.0,26,1.5657708628005658,1.0837340876944836,0.4090326713645099,0.5909673286354901,5551.208333333333,17018.541666666668,0.0,0.2924438657407407,119.0,1.0,0.0,period_end_critical_refined
critical__base0034__c-0p575__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.575,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9583333333333334,240.0,189351.54166666663,175.5,4212,175.5,0.73125,0.0118708452041785,3.115622032288699,0.0259635169357391,2.0,6.0,12.0,24,1.8046058879392213,1.3110161443494777,0.4207879295892707,0.5792120704107293,5377.375,16349.666666666666,0.0,0.2949780092592593,119.0,1.0,0.0,period_end_critical_refined
critical__base0035__c-0p600__money-equal__income-uniform__growth-random__spend-high_both__topo-complete,money-equal__income-uniform__growth-random__spend-high_both__topo-complete,0.6,120,equal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,235331.5,197.0,4728,197.0,0.8208333333333333,0.024746192893401,3.8405245346869714,0.0320043711223913,3.0,8.0,14.0,20,2.1222504230118444,1.718274111675127,0.4474061019936116,0.5525938980063884,4878.541666666667,14334.958333333334,0.0,0.2976779513888889,119.0,1.0,0.0,period_end_critical_refined
critical__base0072__c-0p700__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.7,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.7083333333333334,240.0,121215.79166666669,122.20833333333331,2933,122.20833333333331,0.5092013888888889,0.0095465393794749,2.2853733378793044,0.0190447778156608,2.0,4.0,11.0,21,1.3883395840436412,0.8970337538356632,0.3925108160525138,0.6074891839474862,4697.25,19481.375,0.0,0.2854389467592593,119.0,1.0,0.0,period_end_critical_refined
critical__base0073__c-0p725__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.725,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.8333333333333334,240.0,148354.875,144.375,3465,144.375,0.6015625,0.0103896103896103,2.6147186147186146,0.0217893217893217,2.0,5.0,12.0,24,1.5471861471861472,1.0675324675324676,0.4082781456953642,0.5917218543046358,5062.958333333333,18870.166666666668,0.0,0.2931550925925926,119.0,1.0,0.0,period_end_critical_refined
critical__base0074__c-0p750__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.75,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.9166666666666666,240.0,184925.41666666663,168.5,4044,168.5,0.7020833333333333,0.014589515331355,3.0435212660731947,0.0253626772172765,2.0,6.0,13.0,22,1.7425816023738872,1.3009396636993076,0.4274455638609035,0.5725544361390965,5020.0,16637.5,0.0,0.2958961226851852,119.0,1.0,0.0,period_end_critical_refined
critical__base0075__c-0p775__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.775,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,227267.66666666663,189.5,4548,189.5,0.7895833333333333,0.0219876868953386,3.567062445030783,0.0297255203752564,3.0,7.0,14.0,24,1.9797713280562883,1.5872911169744943,0.4449855143931455,0.5550144856068545,5140.333333333333,15562.708333333334,0.0,0.3042358217592593,119.0,1.0,0.0,period_end_critical_refined
critical__base0076__c-0p800__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.8,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,277439.9166666667,205.25,4926,205.25,0.8552083333333333,0.0365408038976857,4.210515631343889,0.035087630261199,3.0,8.0,15.0,30,2.282379212342672,1.928136419001218,0.4579335615447664,0.5420664384552336,4588.583333333333,14563.791666666666,0.0,0.3023677662037037,119.0,1.0,0.0,period_end_critical_refined
critical__base0077__c-0p825__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.825,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,326671.9166666667,217.66666666666663,5224,217.66666666666663,0.9069444444444444,0.0541730474732006,4.903713629402756,0.0408642802450229,4.0,10.0,16.0,26,2.628445635528331,2.275267993874426,0.4639887574657454,0.5360112425342546,4431.958333333333,13907.083333333334,0.0,0.3029684606481481,119.0,1.0,0.0,period_end_critical_refined
critical__base0078__c-0p850__money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-equal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.85,120,equal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,1.0,240.0,370679.9583333333,222.29166666666663,5335,222.29166666666663,0.9262152777777778,0.0768509840674789,5.650796626054358,0.0470899718837862,5.0,11.0,17.0,27,2.9756326148078727,2.6751640112464856,0.4734136066606959,0.5265863933393041,5135.125,13324.125,0.0,0.2958680555555555,119.0,1.0,0.0,period_end_critical_refined
critical__base0009__c-0p500__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.5,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.375,240.0,89902.75,84.375,2025,84.375,0.3515625,0.0044444444444444,1.9165432098765431,0.0159711934156378,1.0,4.0,9.0,27,1.2182716049382716,0.6982716049382716,0.3643390878639526,0.6356609121360474,1673.8333333333333,23671.70833333333,0.2771504180417083,0.2731804690103555,119.0,1.0,0.0,period_end_critical_refined
critical__base0010__c-0p525__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.525,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7916666666666666,240.0,114330.66666666669,120.16666666666669,2884,120.16666666666669,0.5006944444444444,0.007628294036061,2.1955617198335644,0.0182963476652796,1.0,4.0,10.0,26,1.364077669902913,0.8314840499306518,0.3787113076437144,0.6212886923562856,1206.9166666666667,19386.33333333333,0.2762580334478104,0.2862526397108438,119.0,1.0,0.0,period_end_critical_refined
critical__base0011__c-0p550__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.55,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9166666666666666,240.0,148906.0,149.70833333333334,3593,149.70833333333334,0.6237847222222223,0.0094628444197049,2.588922905649875,0.0215743575470822,2.0,5.0,11.0,22,1.5552463122738658,1.0336765933760088,0.3992689744141044,0.6007310255858955,2115.625,17098.583333333332,0.2725849070702701,0.2811713300796161,119.0,1.0,0.0,period_end_critical_refined
critical__base0012__c-0p575__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.575,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.7916666666666666,240.0,189634.54166666663,177.58333333333334,4262,177.58333333333334,0.7399305555555555,0.010793054903801,3.142890661661192,0.0261907555138432,2.0,6.0,12.0,23,1.82238385734397,1.320506804317222,0.4201567749160134,0.5798432250839866,2008.75,15547.416666666666,0.2779584333690675,0.2926744973273855,119.0,1.0,0.0,period_end_critical_refined
critical__base0013__c-0p600__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.6,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,0.9583333333333334,240.0,239079.5833333333,197.75,4746,197.75,0.8239583333333333,0.0176991150442477,3.731352718078382,0.0310946059839864,3.0,7.0,13.0,21,2.1125158027812896,1.6188369152970925,0.4338471963408436,0.5661528036591563,1468.5833333333333,14761.875,0.2689318485097514,0.2911296461120019,119.0,1.0,0.0,period_end_critical_refined
critical__base0014__c-0p625__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.625,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,275687.0,212.29166666666663,5095,212.29166666666663,0.8845486111111112,0.034936211972522,4.4314033366045145,0.0369283611383709,4.0,9.0,15.0,26,2.4671246319921494,1.964278704612365,0.4432633537071485,0.5567366462928515,1878.0,13225.708333333334,0.2707216136759302,0.2918666094546524,119.0,1.0,0.0,period_end_critical_refined
critical__base0015__c-0p650__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.65,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,312193.6666666667,221.08333333333331,5306,221.08333333333331,0.9211805555555556,0.048435733132303,5.001507727101394,0.0416792310591782,4.0,9.0,16.0,26,2.766490765171504,2.2350169619298907,0.4468686411937599,0.5531313588062401,1639.375,12393.666666666666,0.2811828583866056,0.2909869206747755,119.0,1.0,0.0,period_end_critical_refined
critical__base0016__c-0p675__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.675,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,339174.0833333333,224.83333333333331,5396,224.83333333333331,0.9368055555555556,0.0681986656782802,5.565789473684211,0.0463815789473683,5.0,10.0,16.0,25,3.0606004447739066,2.505189028910304,0.4501048846269104,0.5498951153730895,1349.5,12044.166666666666,0.2684805544943737,0.2936836838258731,119.0,1.0,0.0,period_end_critical_refined
critical__base0017__c-0p700__money-normal__income-uniform__growth-random__spend-high_both__topo-complete,money-normal__income-uniform__growth-random__spend-high_both__topo-complete,0.7,120,normal,uniform,random,high_both,0.04,0.4,complete,complete,0,24,1.0,1.0,240.0,366253.3333333333,229.0,5496,229.0,0.9541666666666668,0.0786026200873362,5.984352256186317,0.0498696021348859,5.0,11.0,17.0,27,3.3205967976710333,2.663755458515284,0.4451200972940103,0.5548799027059896,1497.5833333333333,11449.541666666666,0.2765650471455087,0.2928916804589023,119.0,1.0,0.0,period_end_critical_refined
critical__base0086__c-0p700__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.7,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.75,240.0,120093.375,124.0,2976,124.0,0.5166666666666667,0.0084005376344086,2.225470430107527,0.0185455869175626,2.0,4.0,11.0,20,1.3686155913978495,0.8568548387096774,0.3850218934017816,0.6149781065982183,1675.0,21729.416666666668,0.2766485527813216,0.2864338525734172,119.0,1.0,0.0,period_end_critical_refined
critical__base0087__c-0p725__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.725,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.875,240.0,147576.29166666666,148.5,3564,148.5,0.61875,0.0086980920314253,2.5614478114478114,0.0213453984287317,2.0,5.0,11.0,22,1.530864197530864,1.0305836139169473,0.4023441778946215,0.5976558221053785,1311.375,17903.333333333332,0.2750764592899681,0.2918292429648567,119.0,1.0,0.0,period_end_critical_refined
critical__base0088__c-0p750__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.75,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.9166666666666666,240.0,185601.0,169.375,4065,169.375,0.7057291666666666,0.0152521525215252,3.005658056580566,0.0250471504715046,2.0,6.0,13.0,19,1.7217712177121771,1.2838868388683886,0.4271566541168767,0.5728433458831232,1778.0,17528.0,0.2704060785496705,0.2936741491142836,119.0,1.0,0.0,period_end_critical_refined
critical__base0089__c-0p775__money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,money-normal__income-uniform__growth-random__spend-high_wealth__topo-complete,0.775,120,normal,uniform,random,high_wealth,0.04,0.2,complete,complete,0,24,1.0,0.9583333333333334,240.0,226111.0833333333,192.95833333333331,4631,192.95833333333331,0.8039930555555556,0.0226732887065428,3.538544590801123,0.0294878715900093,3.0,7.0,14.0,20,1.9712805009717125,1.5672640898294106,0.4429120644413254,0.5570879355586745,1085.0833333333333,15314.583333333334,0.2784948242847582,0.3064750489767032,119.0,1.0,0.0,period_end_critical_refined
